16,8.9454,0
14,9.7108,0.001
14,8.9454,0.001
14,8.18,0.002
14,8.9454,0.003
18,8.9454,0.004
14,8.9454,0.005
15,8.9454,0.006
15,8.9454,0.007
16,8.9454,0.008
15,8.18,0.009
15,9.7108,0.009
15,8.9454,0.01
18,8.9454,0.011
15,9.7108,0.012
15,9.7108,0.013
18,9.7108,0.014
15,8.9454,0.015
15,9.7108,0.016
15,8.9454,0.017
15,9.7108,0.018
14,9.7108,0.02
14,8.9454,0.022
15,9.7108,0.023
15,8.9454,0.024
13,8.9454,0.026
16,8.9454,0.027
15,8.9454,0.028
15,8.9454,0.029
15,8.9454,0.031
14,8.9454,0.032
15,9.7108,0.033
15,8.9454,0.034
15,8.9454,0.036
13,9.7108,0.037
17,9.7108,0.038
14,8.9454,0.039
15,9.7108,0.041
14,8.9454,0.042
17,9.7108,0.043
12,8.9454,0.044
13,8.9454,0.046
15,9.7108,0.047
16,8.9454,0.048
16,8.9454,0.049
15,8.9454,0.051
15,8.18,0.052
15,8.9454,0.053
15,9.7108,0.054
15,9.7108,0.056
15,9.7108,0.057
14,8.9454,0.058
16,9.7108,0.059
15,8.9454,0.061
15,8.18,0.062
13,8.9454,0.063
15,8.9454,0.065
15,8.9454,0.067
16,8.9454,0.068
12,9.7108,0.069
15,8.9454,0.07
15,9.7108,0.072
15,8.9454,0.073
15,9.7108,0.074
15,9.7108,0.075
16,8.9454,0.077
15,8.9454,0.078
15,9.7108,0.079
14,8.9454,0.08
16,9.7108,0.082
16,8.9454,0.083
14,8.9454,0.084
15,8.9454,0.085
15,8.9454,0.086
14,8.9454,0.088
15,9.7108,0.089
15,9.7108,0.09
15,9.7108,0.091
15,8.9454,0.093
15,8.9454,0.094
16,8.9454,0.095
19,9.7108,0.096
15,8.9454,0.098
14,9.7108,0.099
16,10.476,0.1
16,9.7108,0.102
16,8.9454,0.103
16,9.7108,0.104
15,8.9454,0.105
16,9.7108,0.108
16,8.9454,0.109
16,8.9454,0.11
16,8.9454,0.112
15,9.7108,0.113
16,9.7108,0.114
15,9.7108,0.116
15,9.7108,0.117
16,9.7108,0.118
15,9.7108,0.12
12,9.7108,0.121
15,9.7108,0.122
16,9.7108,0.124
15,9.7108,0.125
16,9.7108,0.126
15,9.7108,0.128
15,9.7108,0.129
17,9.7108,0.13
16,9.7108,0.132
16,9.7108,0.133
15,9.7108,0.134
15,9.7108,0.136
16,9.7108,0.137
19,9.7108,0.138
19,9.7108,0.14
12,9.7108,0.141
11,9.7108,0.142
15,9.7108,0.144
16,9.7108,0.145
18,9.7108,0.146
17,9.7108,0.148
13,9.7108,0.15
16,9.7108,0.151
13,9.7108,0.153
13,9.7108,0.154
15,9.7108,0.155
16,9.7108,0.157
13,9.7108,0.158
15,9.7108,0.159
15,9.7108,0.161
15,9.7108,0.162
15,9.7108,0.163
16,9.7108,0.165
15,9.7108,0.166
16,9.7108,0.167
15,8.9454,0.169
14,9.7108,0.17
14,9.7108,0.171
14,9.7108,0.173
15,9.7108,0.174
15,9.7108,0.175
16,9.7108,0.177
16,9.7108,0.178
15,9.7108,0.179
15,9.7108,0.181
16,9.7108,0.182
15,9.7108,0.183
16,9.7108,0.185
16,9.7108,0.186
15,9.7108,0.187
20,8.9454,0.189
16,9.7108,0.19
12,9.7108,0.191
15,8.9454,0.193
15,9.7108,0.195
15,9.7108,0.196
15,8.9454,0.197
15,9.7108,0.199
15,8.9454,0.2
15,9.7108,0.201
14,9.7108,0.203
14,9.7108,0.204
16,9.7108,0.205
15,9.7108,0.207
16,9.7108,0.208
15,9.7108,0.209
16,8.9454,0.211
16,9.7108,0.212
14,8.9454,0.213
12,9.7108,0.215
15,9.7108,0.216
19,9.7108,0.217
17,9.7108,0.219
17,9.7108,0.22
15,9.7108,0.221
15,9.7108,0.223
16,9.7108,0.224
15,9.7108,0.225
16,9.7108,0.227
15,9.7108,0.228
16,9.7108,0.229
16,9.7108,0.231
16,9.7108,0.232
16,9.7108,0.233
15,9.7108,0.236
15,9.7108,0.237
16,9.7108,0.238
12,9.7108,0.24
15,9.7108,0.241
17,9.7108,0.242
15,9.7108,0.244
15,9.7108,0.245
16,9.7108,0.246
15,8.9454,0.248
19,9.7108,0.249
14,9.7108,0.25
15,9.7108,0.252
16,9.7108,0.253
15,9.7108,0.254
16,9.7108,0.256
15,9.7108,0.257
16,9.7108,0.258
16,9.7108,0.26
15,9.7108,0.261
15,9.7108,0.262
16,9.7108,0.264
16,9.7108,0.265
15,9.7108,0.266
16,9.7108,0.268
15,9.7108,0.269
15,9.7108,0.27
16,9.7108,0.272
16,9.7108,0.273
15,10.476,0.274
15,9.7108,0.276
15,9.7108,0.278
15,9.7108,0.279
14,9.7108,0.28
15,9.7108,0.282
14,9.7108,0.283
16,9.7108,0.284
16,9.7108,0.286
18,9.7108,0.287
16,9.7108,0.288
15,9.7108,0.29
16,9.7108,0.291
14,9.7108,0.292
14,9.7108,0.294
16,9.7108,0.295
13,9.7108,0.296
15,9.7108,0.298
15,9.7108,0.299
14,9.7108,0.3
16,8.9454,0.302
16,9.7108,0.303
14,9.7108,0.304
16,9.7108,0.306
16,9.7108,0.307
17,10.476,0.308
16,9.7108,0.31
12,9.7108,0.311
16,9.7108,0.312
16,9.7108,0.314
16,9.7108,0.315
15,9.7108,0.316
14,9.7108,0.318
16,9.7108,0.319
16,9.7108,0.321
