15.172,-7.128,0
15.855,-7.8934,0.001
15.855,-7.128,0.001
15.855,-7.8934,0.002
15.855,-7.8934,0.003
15.855,-7.8934,0.004
15.172,-7.8934,0.005
15.855,-7.128,0.006
15.855,-7.8934,0.007
15.855,-7.8934,0.008
15.855,-8.6588,0.009
15.855,-4.8318,0.009
15.855,-7.8934,0.01
19.954,-7.8934,0.011
16.538,-7.8934,0.012
18.588,-7.128,0.013
18.588,-7.128,0.014
17.222,-7.128,0.015
17.905,-7.8934,0.016
17.905,-9.4242,0.017
17.222,-8.6588,0.018
17.222,-7.8934,0.02
16.538,-7.8934,0.021
15.855,-7.8934,0.023
16.538,-10.955,0.024
16.538,-8.6588,0.026
16.538,-7.8934,0.027
16.538,-7.8934,0.028
17.222,-7.8934,0.029
17.222,-7.128,0.031
17.905,-7.128,0.032
17.222,-8.6588,0.033
17.905,-7.128,0.034
17.222,-8.6588,0.036
17.222,-1.0048,0.037
17.222,-7.128,0.038
16.538,-7.8934,0.039
17.222,-7.8934,0.041
17.222,-7.8934,0.042
17.222,-7.8934,0.043
16.538,-7.8934,0.044
16.538,-7.8934,0.046
17.222,-7.128,0.047
17.222,-7.128,0.048
17.905,-7.8934,0.049
17.222,-7.128,0.051
17.222,-7.8934,0.052
17.222,-7.8934,0.053
17.222,-8.6588,0.054
17.222,-7.8934,0.056
17.222,-7.8934,0.057
17.222,-7.8934,0.058
16.538,-7.128,0.059
17.222,-7.128,0.061
17.222,-7.128,0.062
17.222,-7.8934,0.063
16.538,-7.128,0.064
17.222,-7.128,0.067
17.222,-4.8318,0.068
17.222,-7.128,0.069
16.538,-7.8934,0.07
17.222,-7.8934,0.072
17.222,-7.8934,0.073
16.538,-7.8934,0.074
17.222,-7.128,0.075
17.222,-5.5972,0.077
17.222,-7.8934,0.078
16.538,-7.128,0.079
16.538,-7.128,0.08
17.222,-8.6588,0.082
16.538,-7.128,0.083
16.538,-7.128,0.084
16.538,-7.128,0.085
17.222,-7.128,0.086
17.222,-7.8934,0.088
17.222,-7.128,0.089
15.855,-7.128,0.09
17.222,-7.8934,0.091
16.538,-5.5972,0.093
17.222,-7.8934,0.094
16.538,-7.8934,0.095
16.538,-7.128,0.096
17.222,-5.5972,0.098
17.222,-7.8934,0.099
17.222,-7.8934,0.1
17.222,-7.8934,0.102
17.222,-6.3626,0.103
17.222,-7.128,0.104
17.222,-7.8934,0.105
17.222,-8.6588,0.108
16.538,-7.128,0.109
17.222,-7.128,0.11
17.222,-7.8934,0.112
17.222,-7.8934,0.113
17.222,-7.128,0.114
17.222,-8.6588,0.116
17.222,-7.8934,0.117
16.538,-7.128,0.118
17.222,-8.6588,0.12
17.222,-7.8934,0.121
17.222,-7.128,0.122
17.222,-7.8934,0.124
17.222,-7.8934,0.125
17.222,-7.8934,0.126
17.222,-7.8934,0.128
17.222,-7.128,0.129
17.222,-7.8934,0.13
17.222,-8.6588,0.132
17.222,-7.8934,0.133
16.538,-7.128,0.134
17.222,-7.128,0.136
16.538,-7.8934,0.137
16.538,-7.128,0.138
17.222,-6.3626,0.14
16.538,-7.8934,0.141
17.222,-7.128,0.142
17.222,-7.128,0.144
17.222,-7.8934,0.145
16.538,-7.128,0.146
17.222,-7.8934,0.148
16.538,-7.128,0.149
17.222,-7.8934,0.151
17.222,-4.0664,0.153
17.222,-7.128,0.154
17.222,-7.8934,0.155
17.222,-8.6588,0.157
17.222,-7.8934,0.158
17.222,-7.8934,0.159
17.222,-7.8934,0.161
17.222,-7.8934,0.162
17.222,-9.4242,0.163
17.222,-7.128,0.165
16.538,-8.6588,0.166
17.222,-7.8934,0.167
17.222,-7.128,0.169
17.222,-7.8934,0.17
17.222,-8.6588,0.171
17.222,-8.6588,0.173
16.538,-7.8934,0.174
17.222,-7.8934,0.175
17.222,-7.8934,0.177
17.222,-8.6588,0.178
17.222,-7.8934,0.179
17.222,-7.8934,0.181
17.222,-7.8934,0.182
16.538,-7.128,0.183
17.222,-7.128,0.185
17.222,-8.6588,0.186
17.222,-7.128,0.187
16.538,-7.8934,0.189
17.222,-7.8934,0.19
17.222,-7.8934,0.191
16.538,-7.8934,0.192
17.222,-7.8934,0.195
17.222,-7.128,0.196
17.222,-7.128,0.197
16.538,-7.128,0.199
17.222,-7.8934,0.2
17.222,-9.4242,0.201
16.538,-8.6588,0.203
17.222,-8.6588,0.204
17.905,-5.5972,0.205
17.222,-8.6588,0.207
17.222,-7.8934,0.208
16.538,-7.8934,0.209
17.222,-7.128,0.211
16.538,-7.128,0.212
17.222,-7.8934,0.213
16.538,-7.128,0.215
17.222,-7.8934,0.216
16.538,-8.6588,0.217
16.538,-2.5356,0.219
17.222,-7.8934,0.22
16.538,-8.6588,0.221
17.222,-7.8934,0.223
17.222,-7.128,0.224
15.855,-7.128,0.225
17.222,-7.128,0.227
17.222,-7.8934,0.228
17.222,-8.6588,0.229
17.222,-5.5972,0.231
16.538,-7.128,0.232
17.222,-7.128,0.233
