MS, MPT, t (s), PWMi, PWMe, Pressure (Psi), LW (V), Displacement (mm)
16 ,  1 ,  277878 ,  0 ,  255 ,  2.43 ,  0.16 ,  0.99
16 ,  1 ,  277909 ,  255 ,  0 ,  1.22 ,  0.16 ,  0.79
16 ,  1 ,  277940 ,  255 ,  0 ,  3.64 ,  0.16 ,  0.69
16 ,  1 ,  277970 ,  255 ,  0 ,  15.09 ,  0.17 ,  1.79
16 ,  1 ,  278001 ,  255 ,  0 ,  29.85 ,  0.20 ,  4.17
16 ,  1 ,  278032 ,  255 ,  0 ,  41.96 ,  0.25 ,  7.34
16 ,  1 ,  278063 ,  255 ,  0 ,  50.88 ,  0.33 ,  10.52
16 ,  1 ,  278093 ,  255 ,  0 ,  57.27 ,  0.40 ,  13.20
16 ,  1 ,  278126 ,  255 ,  0 ,  62.34 ,  0.46 ,  15.28
16 ,  1 ,  278157 ,  255 ,  0 ,  66.08 ,  0.48 ,  16.77
16 ,  1 ,  278188 ,  255 ,  0 ,  68.94 ,  0.50 ,  17.86
16 ,  1 ,  278218 ,  255 ,  0 ,  71.48 ,  0.51 ,  18.65
16 ,  1 ,  278249 ,  255 ,  0 ,  73.57 ,  0.51 ,  19.35
16 ,  1 ,  278280 ,  255 ,  0 ,  75.22 ,  0.52 ,  19.94
16 ,  1 ,  278309 ,  255 ,  0 ,  76.87 ,  0.52 ,  20.44
16 ,  1 ,  278340 ,  255 ,  0 ,  78.30 ,  0.52 ,  20.84
16 ,  1 ,  278371 ,  255 ,  0 ,  79.63 ,  0.52 ,  21.13
16 ,  1 ,  278404 ,  255 ,  0 ,  80.95 ,  0.52 ,  21.43
16 ,  1 ,  278434 ,  255 ,  0 ,  81.94 ,  0.52 ,  21.83
16 ,  1 ,  278465 ,  255 ,  0 ,  83.04 ,  0.53 ,  22.13
16 ,  1 ,  278496 ,  255 ,  0 ,  84.03 ,  0.53 ,  22.32
16 ,  1 ,  278525 ,  255 ,  0 ,  84.91 ,  0.53 ,  22.52
16 ,  1 ,  278556 ,  255 ,  0 ,  85.79 ,  0.52 ,  22.82
16 ,  1 ,  278587 ,  255 ,  0 ,  86.67 ,  0.52 ,  23.02
16 ,  1 ,  278618 ,  255 ,  0 ,  87.45 ,  0.53 ,  23.22
16 ,  1 ,  278648 ,  255 ,  0 ,  88.33 ,  0.52 ,  23.32
16 ,  1 ,  278681 ,  255 ,  0 ,  89.10 ,  0.53 ,  23.51
16 ,  1 ,  278712 ,  255 ,  0 ,  89.76 ,  0.53 ,  23.61
16 ,  1 ,  278743 ,  255 ,  0 ,  90.42 ,  0.53 ,  23.81
16 ,  1 ,  278772 ,  255 ,  0 ,  91.08 ,  0.52 ,  23.91
16 ,  1 ,  278803 ,  255 ,  0 ,  91.74 ,  0.53 ,  24.01
16 ,  1 ,  278834 ,  255 ,  0 ,  92.29 ,  0.53 ,  24.21
16 ,  1 ,  278864 ,  255 ,  0 ,  92.84 ,  0.53 ,  24.31
16 ,  1 ,  278895 ,  255 ,  0 ,  93.28 ,  0.53 ,  24.41
16 ,  1 ,  278926 ,  255 ,  0 ,  93.72 ,  0.53 ,  24.51
16 ,  1 ,  278959 ,  255 ,  0 ,  94.27 ,  0.53 ,  24.61
16 ,  1 ,  278988 ,  255 ,  0 ,  94.71 ,  0.53 ,  24.61
16 ,  1 ,  279019 ,  255 ,  0 ,  95.15 ,  0.53 ,  24.71
16 ,  1 ,  279050 ,  255 ,  0 ,  95.48 ,  0.53 ,  24.80
16 ,  1 ,  279080 ,  255 ,  0 ,  95.82 ,  0.53 ,  24.80
16 ,  1 ,  279111 ,  255 ,  0 ,  96.04 ,  0.53 ,  24.90
16 ,  1 ,  279142 ,  255 ,  0 ,  96.37 ,  0.53 ,  25.00
16 ,  1 ,  279172 ,  255 ,  0 ,  96.48 ,  0.53 ,  25.00
16 ,  1 ,  279202 ,  255 ,  0 ,  96.59 ,  0.53 ,  25.00
16 ,  1 ,  279235 ,  255 ,  0 ,  96.81 ,  0.53 ,  25.10
16 ,  1 ,  279266 ,  255 ,  0 ,  96.81 ,  0.53 ,  25.10
16 ,  1 ,  279297 ,  255 ,  0 ,  96.92 ,  0.52 ,  25.10
16 ,  1 ,  279327 ,  255 ,  0 ,  96.92 ,  0.53 ,  25.10
16 ,  1 ,  279358 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.10
16 ,  1 ,  279388 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.20
16 ,  1 ,  279418 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.20
16 ,  1 ,  279449 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.20
16 ,  1 ,  279480 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.20
16 ,  1 ,  279513 ,  255 ,  0 ,  97.14 ,  0.53 ,  25.30
16 ,  1 ,  279543 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.30
16 ,  1 ,  279574 ,  255 ,  0 ,  97.14 ,  0.53 ,  25.20
16 ,  1 ,  279604 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.20
16 ,  1 ,  279634 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.30
16 ,  1 ,  279669 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.30
16 ,  1 ,  279700 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.30
16 ,  1 ,  279731 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.30
16 ,  1 ,  279761 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.30
16 ,  1 ,  279794 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.30
16 ,  1 ,  279825 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.30
16 ,  1 ,  279856 ,  255 ,  0 ,  97.03 ,  0.52 ,  25.30
16 ,  1 ,  279886 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.30
16 ,  1 ,  279916 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.30
16 ,  1 ,  279947 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.30
16 ,  1 ,  279977 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.30
16 ,  1 ,  280008 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.30
16 ,  1 ,  280039 ,  255 ,  0 ,  96.92 ,  0.53 ,  25.30
16 ,  1 ,  280072 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.30
16 ,  1 ,  280102 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.30
16 ,  1 ,  280132 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.30
16 ,  1 ,  280163 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.30
16 ,  1 ,  280194 ,  255 ,  0 ,  96.92 ,  0.52 ,  25.40
16 ,  1 ,  280224 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.40
16 ,  1 ,  280255 ,  255 ,  0 ,  96.92 ,  0.53 ,  25.30
16 ,  1 ,  280285 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.40
16 ,  1 ,  280315 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.40
16 ,  1 ,  280348 ,  255 ,  0 ,  96.92 ,  0.53 ,  25.40
16 ,  1 ,  280379 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.40
16 ,  1 ,  280410 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.30
16 ,  1 ,  280440 ,  255 ,  0 ,  96.92 ,  0.53 ,  25.40
16 ,  1 ,  280471 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.40
16 ,  1 ,  280501 ,  255 ,  0 ,  96.92 ,  0.53 ,  25.40
16 ,  1 ,  280531 ,  255 ,  0 ,  96.92 ,  0.53 ,  25.40
16 ,  1 ,  280562 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.40
16 ,  1 ,  280593 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.40
16 ,  1 ,  280626 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.40
16 ,  1 ,  280656 ,  255 ,  0 ,  96.92 ,  0.53 ,  25.40
16 ,  1 ,  280687 ,  255 ,  0 ,  96.92 ,  0.53 ,  25.40
16 ,  1 ,  280717 ,  255 ,  0 ,  96.92 ,  0.53 ,  25.40
16 ,  1 ,  280748 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.40
16 ,  1 ,  280778 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.40
16 ,  1 ,  280809 ,  255 ,  0 ,  97.03 ,  0.53 ,  25.40
16 ,  1 ,  280840 ,  0 ,  250 ,  97.03 ,  0.53 ,  25.40
16 ,  1 ,  280869 ,  0 ,  250 ,  92.18 ,  0.53 ,  25.20
16 ,  1 ,  280903 ,  0 ,  250 ,  81.83 ,  0.53 ,  23.91
16 ,  1 ,  280933 ,  0 ,  250 ,  70.71 ,  0.53 ,  22.03
16 ,  1 ,  280964 ,  0 ,  250 ,  60.57 ,  0.51 ,  19.55
16 ,  1 ,  280994 ,  0 ,  250 ,  52.65 ,  0.48 ,  16.77
16 ,  1 ,  281025 ,  0 ,  250 ,  45.60 ,  0.40 ,  14.09
16 ,  1 ,  281056 ,  0 ,  250 ,  39.54 ,  0.31 ,  11.51
16 ,  1 ,  281085 ,  0 ,  250 ,  34.03 ,  0.25 ,  9.23
16 ,  1 ,  281116 ,  0 ,  250 ,  29.08 ,  0.22 ,  7.34
16 ,  1 ,  281147 ,  0 ,  250 ,  24.34 ,  0.21 ,  5.85
