MS,MPT,t (ms),PWMi,PWMe,Pressure (Psi),LW raw(V),Displacement (mm),t_rel(s),LW (V),delta d (m),delta t (s),vel (m/s),strain,strain rate (1/s),dv/dt raw,dv/dt
2,4,33876,0,255,11.9,0.01,1.79,0.0,0.01710709580274796,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,33896,195,0,11.57,0.02,1.69,0.02,0.016022962544701664,0.00018714801175005036,0.039,0.004798666967950009,0.010903225806451613,-0.016542597187758468,0.25641025641025644,-0.03255325909788131
2,4,33915,195,0,11.68,0.02,1.69,0.039,0.01583751869793059,0.00019710065484507134,0.03899999999999999,0.00505386294474542,0.010903225806451613,0.0,0.0,0.01161902763733439
2,4,33935,195,0,11.79,0.02,1.69,0.059,0.016476104622557705,0.00021463504243212194,0.039,0.0055034626264646655,0.010903225806451613,-0.016542597187758468,0.0,0.051962614891676695
2,4,33954,195,0,13.22,0.02,1.59,0.078,0.01786406067870598,0.000238716268705899,0.03900000000000001,0.006120929966817922,0.010258064516129033,0.0,0.0,0.08847750266514569
2,4,33974,195,0,15.97,0.02,1.69,0.098,0.019926727226498388,0.0002678812638797079,0.03900000000000001,0.006868750355889945,0.010903225806451613,0.04962779156327539,0.0,0.12116369095774122
2,4,33993,195,0,18.73,0.02,1.89,0.117,0.02258944462605789,0.0003003630478202157,0.03900000000000001,0.00770161661077476,0.012193548387096773,0.097601323407775,0.0,0.15002117976946336
2,4,34013,195,0,21.48,0.02,2.28,0.137,0.02577755323750746,0.00033423284971961786,0.041999999999999996,0.007957924993324235,0.014709677419354838,0.10599078341013828,0.23809523809523808,0.1625463998788613
2,4,34035,195,0,24.01,0.03,2.58,0.159,0.029416393420970063,0.00036754586550378175,0.04199999999999998,0.008751092035804332,0.01664516129032258,0.10752688172043012,0.23809523809523817,0.1822321975966958
2,4,34055,195,0,26.55,0.03,2.98,0.179,0.03343130553656868,0.00039847683434990875,0.038000000000000006,0.010486232482892334,0.0192258064516129,0.1171477079796265,0.2631578947368421,0.21924306640672966
2,4,34073,195,0,28.42,0.04,3.27,0.197,0.03774762994442579,0.00042543409443600354,0.038000000000000006,0.011195634064105354,0.021096774193548388,0.10016977928692701,0.2631578947368421,0.22180998575071612
2,4,34093,195,0,30.29,0.04,3.57,0.217,0.04186008499509589,0.0004471445767012856,0.03899999999999998,0.011465245556443227,0.02303225806451613,0.09925558312655094,0.2564102564102566,0.2336107828098646
2,4,34112,195,0,31.72,0.05,3.87,0.236,0.04685845047401051,0.00046270629931275043,0.038000000000000006,0.012176481560861851,0.024967741935483873,0.08488964346349748,0.2631578947368421,0.25180227456512827
2,4,34131,195,0,33.04,0.05,4.07,0.255,0.05142857142857077,0.0004716085628235245,0.039000000000000035,0.012092527251885232,0.026258064516129033,0.08271298593879226,0.25641025641025605,0.2406517967158667
2,4,34151,195,0,34.14,0.06,4.37,0.275,0.05624387054592932,0.00047372284482122983,0.03899999999999998,0.012146739610800771,0.028193548387096774,0.08105872622001654,0.25641025641025644,0.2473575242453928
2,4,34170,195,0,35.36,0.06,4.56,0.294,0.06107551487414108,0.0004692692924206794,0.03899999999999998,0.012032545959504606,0.029419354838709676,0.06451612903225806,0.2564102564102568,0.24232822859824835
2,4,34190,195,0,36.24,0.07,4.76,0.314,0.065694671461261,0.00045876481601835907,0.039000000000000035,0.011763200410727145,0.030709677419354837,0.0661703887510339,0.2564102564102564,0.21123041718007105
2,4,34209,195,0,37.12,0.07,4.96,0.333,0.06931350114416386,0.0004429592366996893,0.04099999999999998,0.010803883821943647,0.032,0.04720692368214004,0.0,0.16775767626914384
2,4,34231,195,0,37.89,0.07,5.06,0.355,0.07257273618829589,0.0004227658174379796,0.04099999999999998,0.010311361400926335,0.03264516129032258,0.047206923682139953,0.24390243902439024,0.1658440906082791
2,4,34250,195,0,38.55,0.08,5.26,0.374,0.0761131088591033,0.00039919185697900693,0.039000000000000035,0.010235688640487349,0.03393548387096774,0.06617038875103398,0.25641025641025605,0.16856522577346117
2,4,34270,195,0,39.32,0.08,5.46,0.394,0.07914677999346088,0.00037327394554723093,0.03899999999999998,0.009571126808903362,0.035225806451612905,0.049627791563275514,0.0,0.15984777998507732
2,4,34289,195,0,39.76,0.08,5.56,0.413,0.08234717227852131,0.00034602120575715124,0.03899999999999998,0.008872338609157728,0.03587096774193548,0.0479735318444995,0.0,0.13470130174935482
2,4,34309,195,0,40.42,0.08,5.75,0.433,0.08440013076168572,0.00031836865053176666,0.039000000000000035,0.008163298731583753,0.037096774193548385,0.04797353184449961,0.25641025641025605,0.11626055104315809
2,4,34328,195,0,40.86,0.09,5.85,0.452,0.08688133376920448,0.00029114182070363805,0.03899999999999998,0.007465174889836877,0.03774193548387097,0.03308519437551713,0.25641025641025644,0.11885902046084997
2,4,34348,195,0,41.41,0.09,5.95,0.472,0.08903563255965886,0.0002650330583554732,0.03899999999999998,0.006795719445012137,0.03838709677419355,0.03308519437551695,0.0,0.1202001659667548
2,4,34367,195,0,41.85,0.09,6.05,0.491,0.09156914024190792,0.00024058900557200413,0.038000000000000034,0.006331289620315893,0.03903225806451613,0.0509337860780983,0.0,0.12430962991001338
2,4,34386,195,0,42.18,0.09,6.25,0.51,0.09375939849623938,0.00021820815579741737,0.041000000000000036,0.0053221501414004195,0.04032258064516129,0.04720692368213989,0.24390243902439024,0.1164895271051424
2,4,34408,195,0,42.51,0.1,6.35,0.532,0.09634521085321876,0.0001981466461106347,0.041000000000000036,0.004832845027088647,0.040967741935483866,0.03147128245475998,0.24390243902439024,0.10532694408343102
2,4,34427,195,0,42.95,0.1,6.45,0.551,0.09807780320366005,0.00018053018172045743,0.038999999999999924,0.004628979018473277,0.04161290322580645,0.03308519437551718,0.0,0.0859171339720528
2,4,34447,195,0,43.28,0.1,6.55,0.571,0.09969597907812881,0.00016537011821558424,0.038999999999999924,0.004240259441425245,0.04225806451612903,0.01654259718775859,0.0,0.09899330265462897
2,4,34466,195,0,43.61,0.1,6.55,0.59,0.10193854200719057,0.0001525820981855821,0.039000000000000035,0.003912361491937999,0.04225806451612903,0.03308519437551691,0.0,0.11332679524899063
2,4,34486,195,0,43.84,0.1,6.75,0.61,0.10411572409283945,0.00014200594359456707,0.039000000000000035,0.0036411780408863318,0.043548387096774194,0.03308519437551691,0.25641025641025605,0.10662106771946432
2,4,34505,195,0,44.17,0.11,6.75,0.629,0.10609676364824969,0.00013342563170711853,0.038000000000000034,0.003511200834397853,0.043548387096774194,0.016977928692699373,0.26315789473684176,0.0956624972041075
2,4,34524,195,0,44.39,0.11,6.85,0.648,0.10775089898659554,0.0001265882585806697,0.038000000000000034,0.0033312699626491995,0.04419354838709677,0.03395585738539893,0.0,0.09875948452366469
2,4,34543,195,0,44.72,0.11,6.95,0.667,0.10984962406014895,0.00012122107657624248,0.039000000000000035,0.0031082327327241633,0.044838709677419354,0.031430934656741245,0.0,0.10217852323115324
2,4,34563,195,0,44.83,0.11,7.04,0.687,0.11173586139261052,0.00011704601327425301,0.038999999999999924,0.003001179827544955,0.04541935483870968,0.014888337468982746,0.0,0.0887670681721009
2,4,34582,195,0,45.16,0.11,7.04,0.706,0.11331153971886088,0.00011379149444047077,0.040999999999999925,0.002775402303426121,0.04541935483870968,0.0,0.0,0.06689576539439678
2,4,34604,195,0,45.38,0.11,7.04,0.728,0.11447858777378078,0.0001112018055291939,0.041000000000000036,0.002712239159248629,0.04541935483870968,0.015735641227379908,0.2439024390243899,0.0529425366172583
2,4,34623,195,0,45.49,0.12,7.14,0.747,0.11548218372016847,0.00010904443843086221,0.038000000000000034,0.002869590485022687,0.04606451612903226,0.03395585738539893,0.26315789473684176,0.069682214690042
2,4,34642,195,0,45.71,0.12,7.24,0.766,0.11712651193200238,0.00010711574954103664,0.039000000000000035,0.0027465576805393984,0.04670967741935484,0.01654259718775854,0.0,0.06160887167752074
2,4,34662,195,0,45.93,0.12,7.24,0.786,0.11788492971559178,0.00010524496812696515,0.039000000000000035,0.0026985889263324374,0.04670967741935484,0.016542597187758364,0.0,0.036797679818274386
2,4,34681,195,0,46.04,0.12,7.34,0.805,0.11856162144491508,0.00010329645769862417,0.038999999999999924,0.002648627120477548,0.04735483870967742,0.01654259718775841,0.0,0.030091952288748523
2,4,34701,195,0,46.26,0.12,7.34,0.825,0.11905851585485297,0.00010117023541279658,0.038999999999999924,0.0025941086003281226,0.04735483870967742,0.01654259718775859,0.0,0.04149168908894302
2,4,34720,195,0,46.37,0.12,7.44,0.844,0.12017979731938386,9.880091922874534e-05,0.039000000000000035,0.0025333569033011605,0.048,0.01654259718775854,0.0,0.05750161356568579
2,4,34740,195,0,46.59,0.12,7.44,0.864,0.12130107878391472,9.61553492236007e-05,0.039000000000000035,0.002465521774964118,0.048,0.016542597187758364,0.0,0.05582518168330448
2,4,34759,195,0,46.7,0.12,7.54,0.883,0.12235697940503273,9.32291293807097e-05,0.041000000000000036,0.002273881204407552,0.04864516129032258,0.015735641227379908,0.0,0.048318037936835645
2,4,34781,195,0,46.81,0.12,7.54,0.905,0.12328211833932498,9.004232832522075e-05,0.041000000000000036,0.0021961543493956262,0.04864516129032258,0.015735641227380075,0.0,0.0403447643498988
2,4,34800,195,0,47.03,0.12,7.64,0.924,0.12401111474337859,8.663459841146625e-05,0.038999999999999924,0.00222139995926837,0.04929032258064516,0.01654259718775859,0.25641025641025716,0.03067870344758138
2,4,34820,195,0,47.14,0.13,7.64,0.944,0.12447858777378065,8.306002580757265e-05,0.038999999999999924,0.002129744251476226,0.04929032258064516,0.0,0.0,0.03872557648301325
2,4,34839,195,0,47.25,0.12,7.64,0.963,0.1255214122262161,7.938207994425995e-05,0.039000000000000035,0.0020354379472887147,0.04929032258064516,0.01654259718775854,0.0,0.053059069077375426
2,4,34859,195,0,47.36,0.13,7.74,0.983,0.1265478914677983,7.566901977207774e-05,0.03799999999999992,0.0019912899940020498,0.049935483870967745,0.016977928692699606,0.26315789473684287,0.052734811858018975
2,4,34877,195,0,47.47,0.13,7.74,1.001,0.12752533507682082,7.198998941377521e-05,0.03700000000000003,0.0019456753895614905,0.049935483870967745,0.0,0.0,0.050625977399431706
2,4,34896,195,0,47.58,0.13,7.74,1.02,0.12842105263157727,6.841184391279676e-05,0.039000000000000146,0.0017541498439178592,0.049935483870967745,0.016542597187758315,0.0,0.028666985188724493
2,4,34916,195,0,47.58,0.13,7.84,1.04,0.12864334749918108,6.499657200517462e-05,0.038999999999999924,0.001666578769363455,0.05058064516129032,0.01654259718775841,0.0,0.029924309100510464
2,4,34935,195,0,47.8,0.13,7.84,1.059,0.12958810068649718,6.179906115998968e-05,0.038999999999999924,0.0015845913117946103,0.05058064516129032,0.01654259718775859,0.0,0.028666985188723945
2,4,34955,195,0,47.91,0.13,7.94,1.079,0.1297613599215413,5.886491358034185e-05,0.04100000000000015,0.0014357295995205278,0.051225806451612906,0.015735641227380033,0.0,0.023680622553201493
2,4,34976,195,0,48.02,0.13,7.94,1.1,0.13055900621117844,5.622814721105662e-05,0.04100000000000015,0.0013714182246599128,0.051225806451612906,0.0,0.0,0.017700667362998707
2,4,34996,195,0,48.02,0.13,7.94,1.12,0.13048708728342426,5.390890641715273e-05,0.038999999999999924,0.0013822796517218676,0.051225806451612906,0.0,0.0,0.009807126511931857
2,4,35015,195,0,48.13,0.13,7.94,1.139,0.13094148414514378,5.191160359397973e-05,0.038999999999999924,0.0013310667588199957,0.051225806451612906,0.016542597187758232,0.0,0.02162597128272186
2,4,35035,195,0,48.24,0.13,8.04,1.159,0.1313305001634504,5.0224016565600493e-05,0.038999999999999924,0.0012877952965538613,0.051870967741935475,0.0,0.0,0.0031013989824058923
