MS,MPT,t (ms),PWMi,PWMe,Pressure (Psi),LW raw(V),Displacement (mm),t_rel(s),LW (V),delta d (m),delta t (s),vel (m/s),strain,strain rate (1/s),dv/dt raw,dv/dt
5,1,78203,0,255,10.03,0.03,1.79,0.0,0.02812817617165444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,78226,210,0,9.59,0.03,1.69,0.023,0.02575945793337098,0.0004376157207490219,0.044,0.009945811835205045,0.010903225806451613,-0.01466275659824046,-0.22727272727272724,-0.05679960771493959
5,1,78247,210,0,9.7,0.02,1.69,0.044,0.025628993432197097,0.0004595657143110685,0.044000000000000004,0.010444675325251555,0.010903225806451613,0.0,0.0,0.03988816813863614
5,1,78270,210,0,11.02,0.03,1.69,0.067,0.02751453733147097,0.0004981661275261522,0.045,0.011070358389470049,0.010903225806451613,0.0,0.2222222222222222,0.12366335249630439
5,1,78292,210,0,14.98,0.03,1.69,0.089,0.031193844294530794,0.0005499990432178734,0.044,0.01249997825495167,0.010903225806451613,0.07184750733137835,0.0,0.2029575375737222
5,1,78314,210,0,19.5,0.03,2.18,0.111,0.03644466898471475,0.0006105592723176234,0.04500000000000001,0.013567983829280516,0.01406451612903226,0.1562724014336917,0.2222222222222222,0.2633538171295607
5,1,78337,210,0,23.9,0.04,2.78,0.134,0.04304476606536103,0.0006747301528798256,0.044,0.015334776201814218,0.01793548387096774,0.17448680351906157,0.45454545454545464,0.32561866397938793
5,1,78358,210,0,27.87,0.05,3.37,0.155,0.050771890199807816,0.0007372905209593159,0.043999999999999984,0.016756602749075367,0.021741935483870968,0.18914956011730216,0.45454545454545464,0.371796136046188
5,1,78381,210,0,31.39,0.06,4.07,0.178,0.059403796051393294,0.0007933917964811181,0.047000000000000014,0.016880676520874847,0.026258064516129033,0.19080301990391205,0.42553191489361697,0.381837193269103
5,1,78405,210,0,34.69,0.07,4.76,0.202,0.06871823828345566,0.0008389538727039483,0.04600000000000001,0.018238127667477132,0.030709677419354837,0.1669004207573631,0.43478260869565216,0.4149820762595392
5,1,78427,210,0,37.12,0.08,5.26,0.224,0.0784929715593321,0.0008709455150732017,0.043999999999999984,0.019794216251663683,0.03393548387096774,0.14516129032258068,0.6818181818181821,0.4444478966009808
5,1,78449,210,0,39.1,0.1,5.75,0.246,0.08827394573389881,0.0008875346562531225,0.04400000000000001,0.02017124218757096,0.037096774193548385,0.1304985337243403,0.45454545454545453,0.44117210021099607
5,1,78471,210,0,40.75,0.1,6.15,0.268,0.09790454396861593,0.0008881120316264504,0.04299999999999998,0.02065376817735932,0.03967741935483871,0.1350337584396101,0.2325581395348837,0.4337942936208016
5,1,78492,210,0,42.29,0.11,6.65,0.289,0.10692710035959327,0.0008732050559692377,0.043999999999999984,0.01984556945384632,0.04290322580645162,0.13049853372434023,0.4545454545454545,0.40565841481172743
5,1,78515,210,0,43.5,0.12,7.04,0.312,0.11575351422033194,0.0008443067795836274,0.04400000000000004,0.019188790445082423,0.04541935483870968,0.10117302052785901,0.22727272727272696,0.39339950667181217
5,1,78536,210,0,44.72,0.12,7.34,0.333,0.12423667865315302,0.0008036482000001391,0.043999999999999984,0.018264731818184984,0.04735483870967742,0.08797653958944279,0.22727272727272757,0.35394811138517845
5,1,78559,210,0,45.6,0.13,7.64,0.356,0.13132723112127978,0.0007539426087773,0.043999999999999984,0.01713505929039319,0.04929032258064516,0.08797653958944295,0.45454545454545514,0.3197717614193547
5,1,78580,210,0,46.59,0.14,7.94,0.377,0.13830663615560462,0.00069812866254561,0.04600000000000004,0.015176710055339333,0.051225806451612906,0.07012622720897613,0.21739130434782608,0.29783816819932213
5,1,78605,210,0,47.47,0.14,8.14,0.402,0.1450277868584486,0.000639134614102713,0.045999999999999985,0.01389423074136333,0.052516129032258066,0.06872370266479653,0.21739130434782575,0.27197009537074823
5,1,78626,210,0,48.24,0.15,8.43,0.423,0.15081726054265904,0.0005796801519754453,0.043999999999999984,0.013174548908532853,0.054387096774193545,0.07184750733137836,0.4545454545454545,0.24718416594846407
5,1,78649,210,0,49.01,0.16,8.63,0.446,0.15590389016018102,0.0005221255827914248,0.046999999999999986,0.011109054953009042,0.05567741935483871,0.06863417982155118,0.21276595744680876,0.2182607304570374
