MS, MPT, t (s), PWMi, PWMe, Pressure (Psi), LW (V), Displacement (mm)
19 ,  2 ,  346022 ,  0 ,  235 ,  13.22 ,  0.11 ,  1.98
19 ,  2 ,  346058 ,  255 ,  0 ,  13.11 ,  0.11 ,  1.98
19 ,  2 ,  346094 ,  255 ,  0 ,  14.65 ,  0.10 ,  1.98
19 ,  2 ,  346130 ,  255 ,  0 ,  27.43 ,  0.13 ,  3.47
19 ,  2 ,  346165 ,  255 ,  0 ,  41.19 ,  0.18 ,  6.45
19 ,  2 ,  346201 ,  255 ,  0 ,  51.43 ,  0.26 ,  9.82
19 ,  2 ,  346236 ,  255 ,  0 ,  58.70 ,  0.35 ,  12.80
19 ,  2 ,  346272 ,  255 ,  0 ,  64.10 ,  0.43 ,  14.98
19 ,  2 ,  346310 ,  255 ,  0 ,  68.28 ,  0.47 ,  16.67
19 ,  2 ,  346346 ,  255 ,  0 ,  71.26 ,  0.49 ,  17.86
19 ,  2 ,  346382 ,  255 ,  0 ,  73.79 ,  0.50 ,  18.75
19 ,  2 ,  346418 ,  255 ,  0 ,  75.88 ,  0.51 ,  19.45
19 ,  2 ,  346454 ,  255 ,  0 ,  77.53 ,  0.52 ,  20.04
19 ,  2 ,  346488 ,  255 ,  0 ,  79.19 ,  0.52 ,  20.54
19 ,  2 ,  346524 ,  255 ,  0 ,  80.62 ,  0.52 ,  20.94
19 ,  2 ,  346560 ,  255 ,  0 ,  81.94 ,  0.52 ,  21.33
19 ,  2 ,  346596 ,  255 ,  0 ,  83.04 ,  0.52 ,  21.63
19 ,  2 ,  346634 ,  255 ,  0 ,  84.25 ,  0.52 ,  22.03
19 ,  2 ,  346669 ,  255 ,  0 ,  85.35 ,  0.52 ,  22.22
19 ,  2 ,  346704 ,  255 ,  0 ,  86.34 ,  0.53 ,  22.62
19 ,  2 ,  346740 ,  255 ,  0 ,  87.23 ,  0.53 ,  22.82
19 ,  2 ,  346776 ,  255 ,  0 ,  88.11 ,  0.53 ,  23.02
19 ,  2 ,  346811 ,  255 ,  0 ,  88.88 ,  0.53 ,  23.22
19 ,  2 ,  346847 ,  255 ,  0 ,  89.65 ,  0.53 ,  23.42
19 ,  2 ,  346883 ,  255 ,  0 ,  90.42 ,  0.52 ,  23.61
19 ,  2 ,  346918 ,  255 ,  0 ,  91.08 ,  0.53 ,  23.71
19 ,  2 ,  346956 ,  255 ,  0 ,  91.74 ,  0.53 ,  23.91
19 ,  2 ,  346992 ,  255 ,  0 ,  92.40 ,  0.52 ,  24.01
19 ,  2 ,  347027 ,  255 ,  0 ,  92.95 ,  0.53 ,  24.11
19 ,  2 ,  347063 ,  255 ,  0 ,  93.50 ,  0.53 ,  24.31
19 ,  2 ,  347099 ,  255 ,  0 ,  94.05 ,  0.53 ,  24.31
19 ,  2 ,  347134 ,  255 ,  0 ,  94.49 ,  0.53 ,  24.51
19 ,  2 ,  347169 ,  255 ,  0 ,  94.93 ,  0.53 ,  24.61
19 ,  2 ,  347205 ,  255 ,  0 ,  95.26 ,  0.53 ,  24.71
19 ,  2 ,  347241 ,  255 ,  0 ,  95.59 ,  0.52 ,  24.71
19 ,  2 ,  347279 ,  255 ,  0 ,  95.93 ,  0.53 ,  24.80
19 ,  2 ,  347315 ,  255 ,  0 ,  96.15 ,  0.53 ,  24.90
19 ,  2 ,  347350 ,  255 ,  0 ,  96.37 ,  0.53 ,  24.90
19 ,  2 ,  347385 ,  255 ,  0 ,  96.48 ,  0.53 ,  25.00
19 ,  2 ,  347421 ,  255 ,  0 ,  96.59 ,  0.53 ,  25.00
19 ,  2 ,  347457 ,  255 ,  0 ,  96.70 ,  0.53 ,  25.00
19 ,  2 ,  347493 ,  255 ,  0 ,  96.70 ,  0.53 ,  25.10
19 ,  2 ,  347528 ,  255 ,  0 ,  96.81 ,  0.53 ,  25.10
19 ,  2 ,  347564 ,  255 ,  0 ,  96.81 ,  0.53 ,  25.10
19 ,  2 ,  347601 ,  255 ,  0 ,  96.92 ,  0.53 ,  25.10
19 ,  2 ,  347637 ,  255 ,  0 ,  96.92 ,  0.52 ,  25.20
19 ,  2 ,  347673 ,  255 ,  0 ,  96.92 ,  0.53 ,  25.10
19 ,  2 ,  347708 ,  255 ,  0 ,  96.92 ,  0.53 ,  25.20
19 ,  2 ,  347744 ,  255 ,  0 ,  96.92 ,  0.53 ,  25.20
19 ,  2 ,  347780 ,  255 ,  0 ,  96.92 ,  0.53 ,  25.20
19 ,  2 ,  347815 ,  255 ,  0 ,  96.92 ,  0.53 ,  25.20
19 ,  2 ,  347850 ,  255 ,  0 ,  96.92 ,  0.53 ,  25.20
19 ,  2 ,  347886 ,  255 ,  0 ,  96.92 ,  0.53 ,  25.20
19 ,  2 ,  347925 ,  255 ,  0 ,  96.92 ,  0.53 ,  25.30
19 ,  2 ,  347961 ,  255 ,  0 ,  96.92 ,  0.53 ,  25.30
19 ,  2 ,  347996 ,  255 ,  0 ,  96.92 ,  0.53 ,  25.30
19 ,  2 ,  348032 ,  255 ,  0 ,  96.92 ,  0.52 ,  25.30
19 ,  2 ,  348067 ,  255 ,  0 ,  96.81 ,  0.53 ,  25.30
19 ,  2 ,  348103 ,  255 ,  0 ,  96.92 ,  0.53 ,  25.30
19 ,  2 ,  348138 ,  255 ,  0 ,  96.81 ,  0.53 ,  25.30
19 ,  2 ,  348174 ,  255 ,  0 ,  96.92 ,  0.53 ,  25.30
19 ,  2 ,  348210 ,  255 ,  0 ,  96.92 ,  0.53 ,  25.30
19 ,  2 ,  348248 ,  255 ,  0 ,  96.92 ,  0.53 ,  25.30
19 ,  2 ,  348283 ,  255 ,  0 ,  96.92 ,  0.53 ,  25.40
19 ,  2 ,  348318 ,  255 ,  0 ,  96.81 ,  0.53 ,  25.40
19 ,  2 ,  348354 ,  255 ,  0 ,  96.92 ,  0.53 ,  25.30
19 ,  2 ,  348390 ,  255 ,  0 ,  96.92 ,  0.53 ,  25.30
19 ,  2 ,  348426 ,  255 ,  0 ,  96.81 ,  0.53 ,  25.40
19 ,  2 ,  348462 ,  255 ,  0 ,  96.92 ,  0.53 ,  25.40
19 ,  2 ,  348496 ,  255 ,  0 ,  96.92 ,  0.53 ,  25.40
19 ,  2 ,  348532 ,  255 ,  0 ,  96.81 ,  0.53 ,  25.40
19 ,  2 ,  348570 ,  255 ,  0 ,  96.92 ,  0.53 ,  25.40
19 ,  2 ,  348606 ,  255 ,  0 ,  96.81 ,  0.53 ,  25.40
19 ,  2 ,  348642 ,  255 ,  0 ,  96.81 ,  0.53 ,  25.40
19 ,  2 ,  348677 ,  255 ,  0 ,  96.81 ,  0.53 ,  25.40
19 ,  2 ,  348712 ,  255 ,  0 ,  96.81 ,  0.53 ,  25.40
19 ,  2 ,  348748 ,  255 ,  0 ,  96.81 ,  0.53 ,  25.40
19 ,  2 ,  348784 ,  255 ,  0 ,  96.81 ,  0.53 ,  25.40
19 ,  2 ,  348819 ,  255 ,  0 ,  96.92 ,  0.53 ,  25.40
19 ,  2 ,  348855 ,  255 ,  0 ,  96.81 ,  0.52 ,  25.40
19 ,  2 ,  348893 ,  255 ,  0 ,  96.81 ,  0.53 ,  25.40
19 ,  2 ,  348929 ,  255 ,  0 ,  96.81 ,  0.52 ,  25.40
19 ,  2 ,  348964 ,  255 ,  0 ,  96.81 ,  0.53 ,  25.50
19 ,  2 ,  349016 ,  0 ,  235 ,  96.81 ,  0.52 ,  25.40
19 ,  2 ,  349051 ,  0 ,  235 ,  91.63 ,  0.53 ,  25.20
19 ,  2 ,  349087 ,  0 ,  235 ,  82.38 ,  0.53 ,  23.91
19 ,  2 ,  349123 ,  0 ,  235 ,  73.57 ,  0.52 ,  22.32
19 ,  2 ,  349159 ,  0 ,  235 ,  66.30 ,  0.52 ,  20.54
19 ,  2 ,  349194 ,  0 ,  235 ,  60.35 ,  0.50 ,  18.75
19 ,  2 ,  349232 ,  0 ,  235 ,  55.29 ,  0.47 ,  17.07
19 ,  2 ,  349267 ,  0 ,  235 ,  51.32 ,  0.43 ,  15.48
19 ,  2 ,  349303 ,  0 ,  235 ,  47.91 ,  0.38 ,  14.09
19 ,  2 ,  349339 ,  0 ,  235 ,  45.05 ,  0.33 ,  12.80
19 ,  2 ,  349374 ,  0 ,  235 ,  42.51 ,  0.29 ,  11.71
19 ,  2 ,  349410 ,  0 ,  235 ,  40.31 ,  0.26 ,  10.72
19 ,  2 ,  349446 ,  0 ,  235 ,  38.22 ,  0.23 ,  9.92
19 ,  2 ,  349480 ,  0 ,  235 ,  36.46 ,  0.22 ,  9.13
19 ,  2 ,  349516 ,  0 ,  235 ,  34.69 ,  0.20 ,  8.43
19 ,  2 ,  349554 ,  0 ,  235 ,  33.15 ,  0.19 ,  7.84
19 ,  2 ,  349590 ,  0 ,  235 ,  31.72 ,  0.18 ,  7.34
19 ,  2 ,  349626 ,  0 ,  235 ,  30.51 ,  0.17 ,  6.85
