MS,MPT,t (ms),PWMi,PWMe,Pressure (Psi),LW raw(V),Displacement (mm),t_rel(s),LW (V),delta d (m),delta t (s),vel (m/s),strain,strain rate (1/s),dv/dt raw,dv/dt
12,3,215144,0,255,2.98,0.13,0.99,0.0,0.10895539243365307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3,215172,245,0,1.66,0.12,0.79,0.028,0.1150367024280066,0.0018523969898746407,0.055,0.033679945270448014,0.0050967741935483875,-0.023460410557184733,0.0,0.34341152918228135
12,3,215199,245,0,2.98,0.13,0.79,0.055,0.12784302653867854,0.0019520960529350955,0.05500000000000001,0.03549265550791082,0.0050967741935483875,0.07038123167155423,0.18181818181818196,0.5715546501899744
12,3,215227,245,0,11.46,0.13,1.39,0.083,0.1464722081884552,0.002105336314106587,0.057,0.03693572480888749,0.00896774193548387,0.2365591397849462,0.17543859649122823,0.7399835835341081
12,3,215256,245,0,22.91,0.14,2.88,0.112,0.1700220908001227,0.0022865403885330817,0.05600000000000001,0.040831078366662166,0.01858064516129032,0.4112903225806451,0.7142857142857143,0.912826957285931
12,3,215283,245,0,33.37,0.17,4.96,0.139,0.19759051779646733,0.002466063571886567,0.05500000000000001,0.044837519488846664,0.032,0.5114369501466276,1.4545454545454541,1.0591498509118646
12,3,215311,245,0,41.63,0.22,7.24,0.167,0.22827533260027527,0.0026149309836494207,0.055999999999999994,0.046695196136596805,0.04670967741935484,0.5034562211981568,1.6071428571428572,1.1354260863904537
12,3,215339,245,0,47.69,0.26,9.33,0.195,0.26117437863433274,0.0027090752784981378,0.057999999999999996,0.04670819445686445,0.06019354838709678,0.4527252502780868,1.5517241379310345,1.1570718400198392
12,3,215369,245,0,52.87,0.31,11.31,0.225,0.29538549932142594,0.002732377159073092,0.057999999999999996,0.04710995101850159,0.07296774193548387,0.37486095661846475,1.7241379310344824,1.1867613698277315
12,3,215397,245,0,56.39,0.36,12.7,0.253,0.33000653808434116,0.0026781425562892986,0.05600000000000002,0.04782397421945174,0.08193548387096773,0.2972350230414745,1.4285714285714284,1.227675696864892
12,3,215425,245,0,59.47,0.39,13.89,0.281,0.3641353383458599,0.0025490056563325643,0.05499999999999999,0.04634555738786481,0.08961290322580645,0.255718475073314,1.090909090909091,1.1882671104638154
12,3,215452,245,0,62.01,0.42,14.88,0.308,0.395361229159851,0.002355532442197944,0.05499999999999999,0.04282786258541717,0.096,0.20997067448680354,0.909090909090909,1.0733157003179743
12,3,215480,245,0,64.1,0.44,15.68,0.336,0.4231677018633485,0.002113964510299075,0.05499999999999999,0.0384357183690741,0.10116129032258064,0.18651026392961867,0.545454545454546,0.9523611400041483
12,3,215507,245,0,65.97,0.45,16.47,0.363,0.44774109186007915,0.0018435845411767034,0.05499999999999999,0.03351971893048552,0.10625806451612903,0.16304985337243405,0.545454545454545,0.7918808879907178
12,3,215535,245,0,67.62,0.47,17.07,0.391,0.466721150702838,0.0015641336696064735,0.055999999999999994,0.027930958385829888,0.11012903225806452,0.12557603686635943,0.5357142857142853,0.5874352029141094
12,3,215563,245,0,69.16,0.48,17.56,0.419,0.4806374632232693,0.0012936085040575805,0.05499999999999999,0.02352015461922874,0.11329032258064516,0.10439882697947228,0.363636363636364,0.4304436981782471
12,3,215590,245,0,70.6,0.49,17.96,0.446,0.4903955541026416,0.0010466449874236901,0.057999999999999996,0.018045603231442935,0.11587096774193549,0.09899888765294784,0.17241379310344845,0.2939319813777283
12,3,215621,245,0,72.03,0.49,18.45,0.477,0.4976855181431775,0.0008335774898051014,0.059,0.01412843203059494,0.11903225806451613,0.08638600328048109,0.16949152542372897,0.2024589846022533
12,3,215649,245,0,73.13,0.5,18.75,0.505,0.5023406341941745,0.0006601563615496388,0.05500000000000005,0.01200284293726615,0.12096774193548387,0.0821114369501463,0.18181818181818182,0.1472852090701066
12,3,215676,245,0,74.23,0.5,19.15,0.532,0.5057862046420334,0.000527825635547547,0.05500000000000005,0.009596829737228118,0.12354838709677418,0.08211143695014657,0.18181818181818182,0.12202442866058305
12,3,215704,245,0,75.22,0.51,19.45,0.56,0.5090519777705066,0.00043441191947721333,0.05599999999999994,0.007757355704950246,0.12548387096774194,0.06797235023041466,0.17857142857142894,0.10250782235090544
12,3,215732,245,0,76.21,0.51,19.74,0.588,0.5115266426936841,0.00037505671186723434,0.05499999999999994,0.006819212943040632,0.1273548387096774,0.06920821114369492,0.0,0.08659989895687806
12,3,215759,245,0,77.2,0.51,20.04,0.615,0.5138149722131349,0.00034323248776906826,0.05500000000000005,0.0062405906867103265,0.12929032258064516,0.05865102639296198,0.0,0.07619840114119196
12,3,215787,245,0,78.08,0.51,20.24,0.643,0.5157175547564496,0.00033171028493973867,0.05600000000000005,0.005923397945352471,0.1305806451612903,0.046082949308755936,0.17857142857142858,0.052538177742492094
