MS,MPT,t (ms),PWMi,PWMe,Pressure (Psi),LW raw(V),Displacement (mm),t_rel(s),LW (V),delta d (m),delta t (s),vel (m/s),strain,strain rate (1/s),dv/dt raw,dv/dt
6,2,100795,0,255,9.26,0.04,1.69,0.0,0.0371880293619424,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2,100817,215,0,8.92,0.04,1.69,0.022,0.035415019762845855,0.0005997361883251731,0.045,0.013327470851670513,0.010903225806451613,0.0,-0.22222222222222227,-0.021932301108501837
6,2,100840,215,0,9.03,0.03,1.69,0.045,0.036201075812059814,0.0006228924144869916,0.045000000000000005,0.013842053655266478,0.010903225806451613,0.0,0.0,0.08604074965631082
6,2,100862,215,0,10.8,0.04,1.69,0.067,0.03928685349737984,0.0006639043413616111,0.045,0.014753429808035802,0.010903225806451613,0.014336917562724006,0.22222222222222227,0.18248739987870455
6,2,100885,215,0,15.31,0.04,1.79,0.09,0.04441300880660152,0.0007188977521640347,0.046,0.015628212003565973,0.011548387096774193,0.09677419354838708,0.21739130434782614,0.2615944397856648
6,2,100908,215,0,20.49,0.05,2.38,0.113,0.051320197727520424,0.0007827704404548168,0.04500000000000001,0.017394898676773702,0.015354838709677418,0.18494623655913978,0.44444444444444425,0.3408014986962356
6,2,100930,215,0,25.44,0.06,3.08,0.135,0.059749076247932124,0.0008497494026942518,0.044,0.01931248642486936,0.019870967741935485,0.21847507331378307,0.22727272727272718,0.41182051427526767
6,2,100952,215,0,29.85,0.06,3.87,0.157,0.0694403003556322,0.0009139824205725056,0.046999999999999986,0.019446434480266082,0.024967741935483873,0.21688400823610166,0.42553191489361725,0.4337329742656199
6,2,100977,215,0,33.59,0.08,4.66,0.182,0.08013452603841625,0.0009700907317751551,0.046999999999999986,0.020640228335641605,0.03006451612903226,0.21825669183253268,0.8510638297872345,0.4708959346478216
6,2,100999,215,0,37.12,0.1,5.46,0.204,0.09157240928407981,0.0010136216173433467,0.04400000000000001,0.02303685493962151,0.035225806451612905,0.21847507331378296,0.6818181818181817,0.5309109100454732
6,2,101021,215,0,39.65,0.11,6.15,0.226,0.10349460608041708,0.0010413608095982728,0.04500000000000001,0.023141351324406055,0.03967741935483871,0.17060931899641577,0.4444444444444441,0.5186880244088139
6,2,101044,215,0,41.74,0.12,6.65,0.249,0.11491337038247644,0.0010514889097471053,0.04500000000000001,0.023366420216602332,0.04290322580645162,0.1419354838709676,0.4444444444444444,0.5216664850532063
6,2,101066,215,0,43.5,0.13,7.14,0.271,0.12696959790781137,0.001043588259826322,0.044999999999999984,0.02319085021836272,0.04606451612903226,0.14193548387096772,0.444444444444445,0.5051759834368469
6,2,101089,215,0,45.05,0.14,7.64,0.294,0.13764628963713454,0.0010185232025380468,0.044999999999999984,0.022633848945289938,0.04929032258064516,0.14336917562724025,0.44444444444444436,0.4825832697686181
6,2,101111,215,0,46.37,0.15,8.14,0.316,0.14868584504739918,0.0009782258914433416,0.04400000000000004,0.02223240662371229,0.052516129032258066,0.11583577712609953,0.4545454545454539,0.48396683408124413
