MS,MPT,t (ms),PWMi,PWMe,Pressure (Psi),LW raw(V),Displacement (mm),t_rel(s),LW (V),delta d (m),delta t (s),vel (m/s),strain,strain rate (1/s),dv/dt raw,dv/dt
8,2,138601,0,255,8.37,0.05,1.79,0.0,0.04939770374552981,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2,138626,225,0,7.93,0.06,1.69,0.025,0.04929041972520232,0.0008518549390973096,0.049,0.017384794675455298,0.010903225806451613,-0.013166556945358779,0.0,0.07052397469433848
8,2,138650,225,0,8.04,0.05,1.69,0.049,0.0528533785055524,0.000899740319167881,0.049999999999999996,0.017994806383357622,0.010903225806451613,0.0,0.0,0.20808278931848725
8,2,138676,225,0,11.9,0.06,1.69,0.075,0.05969455919112668,0.000979711184924516,0.05,0.019594223698490322,0.010903225806451613,0.0761290322580645,0.1999999999999999,0.3313712476183872
8,2,138700,225,0,18.4,0.06,2.28,0.099,0.06942194088647176,0.001082314477969283,0.049,0.022088050570801696,0.014709677419354838,0.19618169848584596,0.2040816326530614,0.4479376225511753
8,2,138725,225,0,25.11,0.07,3.18,0.124,0.08164350269613427,0.0011958244834205454,0.04999999999999999,0.023916489668410913,0.020516129032258065,0.26967741935483874,0.6000000000000001,0.5309056567637803
8,2,138750,225,0,31.39,0.09,4.37,0.149,0.09596722372466077,0.001307738892024819,0.04999999999999999,0.026154777840496385,0.028193548387096774,0.2941935483870969,0.8,0.6071516076092738
8,2,138775,225,0,36.35,0.11,5.46,0.174,0.11200108307659795,0.0014062577618319035,0.05300000000000002,0.026533165317583075,0.035225806451612905,0.26536822884966516,0.7547169811320753,0.6299214364496522
8,2,138803,225,0,40.53,0.13,6.55,0.202,0.12935305985649234,0.0014815381467969484,0.05200000000000002,0.028491118207633614,0.04225806451612903,0.270471464019851,0.9615384615384612,0.685193271005628
8,2,138827,225,0,44.06,0.16,7.64,0.226,0.14763113316889062,0.00152657803144694,0.04899999999999999,0.03115465370299878,0.04929032258064516,0.2475312705727452,1.0204081632653061,0.7569433114662206
8,2,138852,225,0,46.59,0.18,8.43,0.251,0.16644328211833714,0.001537661629789163,0.049000000000000016,0.03138084958753393,0.054387096774193545,0.19618169848584596,0.6122448979591835,0.7564587842922936
8,2,138876,225,0,48.79,0.19,9.13,0.275,0.18469761359921302,0.0015143739930842974,0.04899999999999999,0.030905591695597912,0.05890322580645162,0.18301514154048737,0.6122448979591838,0.7500783902969405
8,2,138901,225,0,50.66,0.21,9.82,0.3,0.20319712324288722,0.0014592520553807322,0.04999999999999999,0.02918504110761465,0.06335483870967742,0.16645161290322566,0.6000000000000001,0.7055246812683792
8,2,138926,225,0,52.2,0.22,10.42,0.325,0.21997384766263198,0.0013771746817223907,0.04999999999999999,0.02754349363444782,0.0672258064516129,0.1406451612903226,0.6000000000000001,0.6543968617195068
8,2,138951,225,0,53.53,0.24,10.91,0.35,0.23591696632886255,0.001274606132532016,0.04999999999999999,0.025492122650640325,0.07038709677419355,0.12774193548387106,0.6000000000000001,0.5984308597580835
8,2,138976,225,0,54.85,0.25,11.41,0.375,0.24989539065053615,0.001158801134618253,0.049000000000000044,0.023649002747311267,0.07361290322580645,0.11849901250822885,0.40816326530612246,0.5365232068636479
8,2,139000,225,0,55.95,0.26,11.81,0.399,0.2622066034651813,0.0010370621171186497,0.04899999999999999,0.021164533002421427,0.07619354838709677,0.1040157998683344,0.4081632653061229,0.49295821630384085
8,2,139025,225,0,57.05,0.27,12.2,0.424,0.27405034324942434,0.0009161152270982314,0.05199999999999999,0.01761760052111984,0.07870967741935483,0.09801488833746894,0.5769230769230764,0.43201649608971726
8,2,139052,225,0,58.04,0.29,12.6,0.451,0.2846714612618466,0.0008016453639804481,0.05199999999999999,0.015416256999624005,0.08129032258064516,0.08684863523573204,0.38461538461538397,0.39920034199209836
8,2,139077,225,0,58.92,0.29,12.9,0.476,0.29480876103301346,0.0006980051447525853,0.04999999999999999,0.013960102895051708,0.0832258064516129,0.09032258064516159,0.40000000000000047,0.40071918927753647
8,2,139102,225,0,59.8,0.31,13.3,0.501,0.30470742072572343,0.000608091370361592,0.049000000000000044,0.012410027966563092,0.08580645161290323,0.09084924292297558,0.40816326530612246,0.3940863694284465
8,2,139126,225,0,60.57,0.31,13.59,0.525,0.31411899313500735,0.0005333671837611344,0.049000000000000044,0.010885044566553754,0.0876774193548387,0.06451612903225762,0.20408163265306123,0.3742052558192219
8,2,139151,225,0,61.35,0.32,13.79,0.55,0.3230434782608653,0.00047399934674139743,0.04899999999999993,0.0096734560559469,0.08896774193548386,0.0658327847267942,0.40816326530612335,0.36639958369748227
8,2,139175,225,0,62.12,0.33,14.09,0.574,0.33207257273618396,0.00042907691785165267,0.04899999999999993,0.008756671792890882,0.09090322580645162,0.0658327847267942,0.40816326530612335,0.34284913703957853
8,2,139200,225,0,62.78,0.34,14.29,0.599,0.33984308597580465,0.0003968779062544865,0.051000000000000045,0.007781919730480121,0.09219354838709677,0.06325110689437048,0.3921568627450969,0.29966219897569635
8,2,139226,225,0,63.44,0.35,14.59,0.625,0.3473553448839445,0.00037515254738798023,0.050000000000000044,0.007503050947759598,0.09412903225806452,0.06322580645161274,0.3999999999999989,0.29794050343249084
8,2,139250,225,0,64.1,0.36,14.78,0.649,0.3547401111474292,0.00036139570407212675,0.051000000000000045,0.0070861902759240475,0.09535483870967741,0.049335863377609035,0.19607843137254902,0.2726124774852689
8,2,139277,225,0,64.65,0.36,14.98,0.676,0.3612585812356932,0.0003530871022414157,0.050999999999999934,0.006923276514537572,0.09664516129032258,0.050600885515496824,0.19607843137254943,0.2528059278631317
8,2,139301,225,0,65.2,0.37,15.18,0.7,0.3676332134684489,0.00034788599070378543,0.04999999999999993,0.006957719814075718,0.09793548387096775,0.03870967741935493,0.20000000000000046,0.2672115070284379
8,2,139327,225,0,65.75,0.37,15.28,0.726,0.3746191565871151,0.00034377442391074633,0.051000000000000045,0.006740674978642079,0.09858064516129032,0.05060088551549644,0.19607843137254902,0.24472947073566065
8,2,139352,225,0,66.3,0.38,15.58,0.751,0.3801144164759676,0.0003391489905059988,0.049000000000000044,0.006921407969510173,0.10051612903225807,0.05266622778143507,0.40816326530612246,0.23977423594478262
8,2,139376,225,0,66.85,0.39,15.68,0.775,0.38636809414840945,0.00033286423271675504,0.049000000000000044,0.006793147606464382,0.10116129032258064,0.039499670836076375,0.20408163265306123,0.23990766623746246
8,2,139401,225,0,67.18,0.39,15.88,0.8,0.3918698921216033,0.00032423332032671757,0.04899999999999993,0.006617006537279959,0.10245161290322581,0.03818301514154059,0.0,0.21962626175020342
8,2,139425,225,0,67.73,0.39,15.97,0.824,0.3971297809741694,0.000312993635560435,0.04999999999999993,0.006259872711208709,0.10303225806451613,0.03741935483870978,0.20000000000000046,0.20523046747302903
8,2,139451,225,0,68.06,0.4,16.17,0.85,0.4021314154952547,0.00029924635629421557,0.050000000000000044,0.005984927125884306,0.1043225806451613,0.03870967741935485,0.3999999999999989,0.19522719843085717
8,2,139475,225,0,68.5,0.41,16.27,0.874,0.40689114089571227,0.00028337904587597153,0.051000000000000045,0.005556451879921005,0.10496774193548387,0.037950664136622125,0.19607843137254793,0.17191315885621627
8,2,139502,225,0,68.94,0.41,16.47,0.901,0.41089898659692176,0.000265978932832855,0.052000000000000046,0.0051149794775549,0.10625806451612903,0.03722084367245659,0.19230769230769232,0.1579827495159277
8,2,139527,225,0,69.38,0.42,16.57,0.926,0.4151062438705405,0.0002477432628448817,0.04899999999999993,0.005055984956018,0.10690322580645162,0.026333113890718022,0.20408163265306167,0.1476406188496961
8,2,139551,225,0,69.71,0.42,16.67,0.95,0.41813337692055685,0.00022939272660584464,0.04999999999999993,0.004587854532116899,0.10754838709677421,0.025806451612903104,0.0,0.13886891140895494
8,2,139577,225,0,69.94,0.42,16.77,0.976,0.42204968944098825,0.00021159420374712213,0.050000000000000044,0.0042318840749424385,0.10819354838709677,0.025806451612903045,0.2,0.14063419418110165
8,2,139601,225,0,70.27,0.43,16.87,1.0,0.42516508662961194,0.0001948988705969512,0.04899999999999993,0.003977527971366357,0.10883870967741936,0.026333113890717453,0.20408163265306167,0.12455717821616895
8,2,139626,225,0,70.6,0.43,16.97,1.025,0.4281529911735805,0.00017970048993984022,0.050999999999999934,0.003523539018428244,0.10948387096774193,0.012650221378873798,0.0,0.10659641430943023
8,2,139652,225,0,70.93,0.43,16.97,1.051,0.4306015037593929,0.00016621670963598234,0.050000000000000044,0.0033243341927196436,0.10948387096774193,0.0129032258064518,0.0,0.09009480222294633
8,2,139676,225,0,71.15,0.43,17.07,1.075,0.43265773128472784,0.00015449375829721746,0.049000000000000155,0.003152933842800346,0.11012903225806452,0.02501645819618175,0.0,0.07191892775416653
8,2,139701,225,0,71.37,0.43,17.16,1.1,0.43412553121934705,0.00014443187027367443,0.052000000000000046,0.0027775359668014287,0.11070967741935483,0.023573200992555936,0.0,0.058717026680414036
