MS,MPT,t (ms),PWMi,PWMe,Pressure (Psi),LW raw(V),Displacement (mm),t_rel(s),LW (V),delta d (m),delta t (s),vel (m/s),strain,strain rate (1/s),dv/dt raw,dv/dt
7,2,119677,0,255,8.7,0.05,1.69,0.0,0.04895821569734616,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2,119700,220,0,8.37,0.05,1.69,0.023,0.045793337097684954,0.000718602598230111,0.046,0.015621795613698065,0.010903225806451613,-0.014025245441795222,0.0,-0.06476386015735325
7,2,119723,220,0,8.59,0.05,1.59,0.046,0.04597907813010791,0.0007458878254868671,0.045000000000000005,0.016575285010819268,0.010258064516129033,0.0,-0.22222222222222224,0.07513953967043224
7,2,119745,220,0,10.91,0.04,1.69,0.068,0.049174616382854405,0.0007937511706572278,0.045,0.017638914903493952,0.010903225806451613,0.04301075268817202,0.0,0.20133447364568666
7,2,119768,220,0,15.97,0.05,1.89,0.091,0.05503912944416381,0.0008574322847670244,0.045,0.019054050772600542,0.012193548387096773,0.12759856630824373,0.4444444444444444,0.3123817448760243
7,2,119790,220,0,21.7,0.06,2.58,0.113,0.0632317949022755,0.0009307386569810778,0.04500000000000001,0.020683081266246166,0.01664516129032258,0.2265232974910394,0.4444444444444444,0.4082813533614448
7,2,119813,220,0,27.1,0.07,3.47,0.136,0.07341179034542883,0.0010067381241733134,0.045,0.022371958314962522,0.022387096774193548,0.25663082437275986,0.6666666666666666,0.4890332991019489
7,2,119835,220,0,31.83,0.09,4.37,0.158,0.0852382933618632,0.0010784840592498498,0.04799999999999999,0.022468417901038543,0.028193548387096774,0.24059139784946235,0.6250000000000001,0.5199727332164408
7,2,119861,220,0,35.91,0.1,5.26,0.184,0.09837048153981798,0.0011396825191489174,0.046999999999999986,0.024248564237211015,0.03393548387096774,0.24433768016472218,0.6382978723404257,0.5793455128865815
7,2,119882,220,0,39.54,0.12,6.15,0.205,0.11246753246753252,0.0011852281574246488,0.04400000000000001,0.02693700357783292,0.03967741935483871,0.24780058651026393,0.6818181818181817,0.6549577771233304
7,2,119905,220,0,42.07,0.13,6.95,0.228,0.12718862373324452,0.00121156295586853,0.04500000000000001,0.02692362124152288,0.044838709677419354,0.19928315412186362,0.4444444444444447,0.6413266367499361
7,2,119927,220,0,44.28,0.14,7.54,0.25,0.14132723112127965,0.0012168415623031157,0.04500000000000001,0.0270409236067359,0.04864516129032258,0.17060931899641577,0.6666666666666664,0.6283099051977687
7,2,119950,220,0,46.15,0.16,8.14,0.273,0.15546256946714412,0.001200913444871575,0.044999999999999984,0.026686965441590563,0.052516129032258066,0.17060931899641604,0.6666666666666669,0.6205368493697926
7,2,119972,220,0,47.8,0.17,8.73,0.295,0.1692513893429203,0.0011651515915589562,0.044999999999999984,0.025892257590199037,0.056322580645161296,0.14193548387096785,0.6666666666666669,0.5767316842831638
7,2,119995,220,0,49.23,0.19,9.13,0.318,0.18141549525988648,0.0011121687433166638,0.04500000000000004,0.024714860962592507,0.05890322580645162,0.12759856630824332,0.4444444444444438,0.5396098943009626
7,2,120017,220,0,50.44,0.19,9.62,0.34,0.19353383458646364,0.0010454659126516894,0.044999999999999984,0.023232575836704218,0.06206451612903225,0.12759856630824362,0.44444444444444436,0.528495150920774
7,2,120040,220,0,51.43,0.21,10.02,0.363,0.2051977770513213,0.000969056091025708,0.044999999999999984,0.021534579800571295,0.06464516129032258,0.1003584229390683,0.6666666666666669,0.48752315571536936
7,2,120062,220,0,52.54,0.22,10.32,0.385,0.21547237659365526,0.00088710042586926,0.046999999999999986,0.018874477146154475,0.06658064516129032,0.09608785175017162,0.21276595744680876,0.42615790169224493
7,2,120087,220,0,53.53,0.22,10.72,0.41,0.2252271984308568,0.0008035862040328751,0.04799999999999999,0.016741379250684904,0.06916129032258064,0.09274193548387101,0.20833333333333356,0.39562220769314055
7,2,120110,220,0,54.41,0.23,11.01,0.433,0.234462242562926,0.0007220669151270975,0.04500000000000004,0.01604593144726882,0.07103225806451613,0.08458781362007171,0.4444444444444438,0.39962224401583135
7,2,120132,220,0,55.18,0.24,11.31,0.455,0.24321019941156924,0.000645475560373093,0.044999999999999984,0.014343901341624294,0.07296774193548387,0.0860215053763439,0.44444444444444436,0.37942682793940913
7,2,120155,220,0,55.95,0.25,11.61,0.478,0.2515364498201994,0.0005760141703194286,0.044999999999999984,0.012800314895987307,0.0749032258064516,0.07168458781361997,0.444444444444445,0.35523591587664444
7,2,120177,220,0,56.72,0.26,11.81,0.5,0.25919581562601823,0.0005151157951039238,0.04500000000000004,0.011447017668976074,0.07619354838709677,0.0702508960573478,0.4444444444444444,0.3285024154589333
7,2,120200,220,0,57.38,0.27,12.1,0.523,0.2663190585158514,0.0004634701233990448,0.04500000000000004,0.01029933607553432,0.07806451612903226,0.0702508960573478,0.4444444444444444,0.29588463913406204
7,2,120222,220,0,58.04,0.28,12.3,0.545,0.27251062438705104,0.00042110020272925655,0.04499999999999993,0.009357782282872382,0.07935483870967742,0.07168458781362005,0.22222222222222276,0.2905815262794633
7,2,120245,220,0,58.59,0.28,12.6,0.568,0.27939522719842724,0.000387475439019024,0.04399999999999993,0.008806259977705106,0.08129032258064516,0.07331378299120234,0.0,0.29287645992451183
7,2,120266,220,0,59.14,0.28,12.8,0.589,0.28539718862372954,0.00036164535556003406,0.04700000000000004,0.007694582033192207,0.08258064516129032,0.054907343857241116,0.21276595744680732,0.2533855452692747
7,2,120292,220,0,59.8,0.29,13.0,0.615,0.29130434782608317,0.00034237964219461505,0.04800000000000004,0.007132909212387808,0.08387096774193549,0.05376344086021497,0.4166666666666655,0.2496049907377109
7,2,120314,220,0,60.46,0.3,13.2,0.637,0.29737822817913967,0.0003283024970126345,0.04400000000000004,0.007461420386650777,0.08516129032258064,0.05718475073313775,0.22727272727272727,0.24554964486314393
7,2,120336,220,0,60.9,0.3,13.39,0.659,0.3021085322000615,0.0003180123796968388,0.04400000000000004,0.007227554084019057,0.08638709677419355,0.05718475073313775,0.22727272727272727,0.21583107967547024
7,2,120358,220,0,61.35,0.31,13.59,0.681,0.30687479568486037,0.00031018137869138227,0.04499999999999993,0.0068929195264751724,0.0876774193548387,0.04301075268817185,0.22222222222222276,0.21154335113144818
7,2,120381,220,0,61.9,0.31,13.69,0.704,0.31162798300097666,0.0003036311988492848,0.04499999999999993,0.006747359974428562,0.08832258064516128,0.04301075268817216,0.0,0.21059896117104074
7,2,120403,220,0,62.34,0.31,13.89,0.726,0.3163517489375572,0.0002973852055056998,0.04500000000000004,0.006608560122348879,0.08961290322580645,0.04301075268817205,0.2222222222222222,0.2096545712106328
7,2,120426,220,0,62.78,0.32,13.99,0.749,0.32106243870545514,0.00029069776401839144,0.04600000000000004,0.0063195166090954605,0.09025806451612903,0.04207573632538571,0.43478260869565216,0.19344201714114842
7,2,120449,220,0,63.11,0.33,14.19,0.772,0.32525008172605,0.00028306311824247745,0.04500000000000004,0.006290291516499493,0.0915483870967742,0.04301075268817205,0.2222222222222222,0.19563401256764806
7,2,120471,220,0,63.55,0.33,14.29,0.794,0.3298659692709993,0.0002742064728799072,0.04699999999999993,0.0058341802740405875,0.09219354838709677,0.04118050789293078,0.0,0.17618050677108849
7,2,120496,220,0,63.99,0.33,14.49,0.819,0.33353056554429117,0.00026406023095107043,0.04699999999999993,0.0056183027861929965,0.09348387096774194,0.04118050789293078,0.212765957446809,0.1486370876311944
7,2,120518,220,0,64.21,0.34,14.59,0.841,0.33685191238966544,0.0002527288085819084,0.04500000000000004,0.005616195746264626,0.09412903225806452,0.027240143369175438,0.2222222222222222,0.15349969125712562
7,2,120541,220,0,64.54,0.34,14.68,0.864,0.34043805165086183,0.00024044611305186158,0.04500000000000004,0.005343246956708031,0.09470967741935483,0.027240143369175438,0.222222222222221,0.15466201736224283
7,2,120563,220,0,64.87,0.35,14.78,0.886,0.3438117031709664,0.00022753029114722524,0.04500000000000004,0.005056228692160557,0.09535483870967741,0.02867383512544814,0.222222222222221,0.14703425229740896
7,2,120586,220,0,65.31,0.35,14.88,0.909,0.34705459300424524,0.00021434023659549695,0.04500000000000004,0.004763116368788817,0.096,0.02867383512544814,0.0,0.1554611165595137
7,2,120608,220,0,65.53,0.35,14.98,0.931,0.3508074534161445,0.0002012373926443871,0.04499999999999993,0.004471942058764165,0.09664516129032258,0.0286738351254479,0.0,0.14819657840252531
7,2,120631,220,0,65.75,0.35,15.08,0.954,0.35372343903235887,0.00018855497112264707,0.04499999999999993,0.0041901104693921635,0.09729032258064516,0.02867383512544821,0.0,0.12524063782644795
7,2,120653,220,0,66.08,0.35,15.18,0.976,0.35644328211833465,0.00017657542924313496,0.04500000000000004,0.003923898427625218,0.09793548387096775,0.014336917562724222,0.2222222222222222,0.13076168682575934
7,2,120676,220,0,66.3,0.36,15.18,0.999,0.35960771493951804,0.000165516178847799,0.04699999999999993,0.00352162082654892,0.09793548387096775,0.027453671928620624,0.212765957446809,0.14655046496908297
7,2,120700,220,0,66.52,0.36,15.38,1.023,0.36333115397188154,0.00015552289910799645,0.04700000000000004,0.0033089978533616237,0.09922580645161291,0.027453671928620558,0.2127659574468085,0.15427096881889976
7,2,120723,220,0,66.74,0.37,15.38,1.046,0.36685845047400634,0.0001466692849005824,0.04500000000000015,0.0032593174422351533,0.09922580645161291,0.014336917562723879,0.22222222222222168,0.14805128763938555
7,2,120745,220,0,67.07,0.37,15.48,1.068,0.3699934619156539,0.0001389616924188548,0.04499999999999993,0.0030880376093078894,0.09987096774193549,0.0286738351254479,0.0,0.1463077984817117
7,2,120768,220,0,67.18,0.37,15.58,1.091,0.37344230140568335,0.00013234715485010718,0.04600000000000004,0.0028771120619588493,0.10051612903225807,0.014025245441795134,0.21739130434782608,0.14106627627670196
7,2,120791,220,0,67.4,0.38,15.58,1.114,0.3764825106243822,0.00012672356941873276,0.04499999999999993,0.002816079320416288,0.10051612903225807,0.01433691756272395,0.22222222222222276,0.13003523301005832
7,2,120813,220,0,67.62,0.38,15.68,1.136,0.37929388689113597,0.00012195121550172238,0.04499999999999993,0.0027100270111493907,0.10116129032258064,0.0286738351254479,0.0,0.1238603755766197
7,2,120836,220,0,67.73,0.38,15.78,1.159,0.3820562275253301,0.00011786497340895786,0.04500000000000015,0.0026192216313101657,0.10180645161290322,0.014336917562723879,0.22222222222222168,0.11804874505103058
7,2,120858,220,0,67.95,0.39,15.78,1.181,0.38460608041843236,0.00011428673545542267,0.04499999999999993,0.0025397052323427303,0.10180645161290322,0.0,0.22222222222222276,0.1049725763684563
7,2,120881,220,0,68.06,0.39,15.78,1.204,0.3867799934619106,0.0001110376347047204,0.04699999999999993,0.002362502866057884,0.10180645161290322,0.026080988332189605,0.0,0.08103051337872938
7,2,120905,220,0,68.28,0.39,15.97,1.228,0.38841451454723264,0.00010794971969879796,0.04699999999999993,0.0022968025467829385,0.10303225806451613,0.026080988332189605,0.0,0.07379688815006964
7,2,120928,220,0,68.39,0.39,15.97,1.251,0.3902484472049639,0.00010487643656275303,0.04499999999999993,0.0023305874791722933,0.10303225806451613,0.0,0.0,0.07061131088590916
7,2,120950,220,0,68.61,0.39,15.97,1.273,0.39159202353709854,0.00010170106414903479,0.04500000000000015,0.002260023647756321,0.10303225806451613,0.014336917562723879,0.0,0.0659620064654375
7,2,120973,220,0,68.72,0.39,16.07,1.296,0.3932167374959086,9.834242501156254e-05,0.04500000000000015,0.00218538722247916,0.1036774193548387,0.028673835125448067,0.0,0.05143293015146496
