MS,MPT,t (ms),PWMi,PWMe,Pressure (Psi),LW raw(V),Displacement (mm),t_rel(s),LW (V),delta d (m),delta t (s),vel (m/s),strain,strain rate (1/s),dv/dt raw,dv/dt
9,2,157516,0,255,8.48,0.07,1.89,0.0,0.06615659702616221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2,157542,230,0,7.93,0.07,1.79,0.026,0.06495388669301712,0.000991431350611394,0.05,0.019828627012227876,0.011548387096774193,-0.02580645161290321,0.0,0.04361496626942907
9,2,157566,230,0,8.15,0.07,1.69,0.05,0.06833734533963366,0.001046836086827938,0.05,0.02093672173655876,0.010903225806451613,0.0,0.0,0.2171826139789529
9,2,157592,230,0,12.67,0.07,1.79,0.076,0.07581301739196476,0.0011385818333270446,0.051000000000000004,0.022325133986804795,0.011548387096774193,0.09993674889310562,0.1960784313725489,0.3637176850260713
9,2,157617,230,0,19.61,0.08,2.48,0.101,0.0868869472759633,0.0012555306778317568,0.05,0.025110613556635134,0.016,0.2296774193548387,0.3999999999999998,0.5050432405123484
9,2,157642,230,0,27.1,0.09,3.57,0.126,0.10106517941758218,0.0013839223467289159,0.04999999999999999,0.027678446934578323,0.02303225806451613,0.3070967741935485,0.6000000000000001,0.6193362193362194
9,2,157667,230,0,33.59,0.11,4.86,0.151,0.11785375824277426,0.0015091540609362495,0.04999999999999999,0.030183081218724997,0.031354838709677424,0.33290322580645176,1.0000000000000007,0.7138709751982063
9,2,157692,230,0,38.99,0.14,6.15,0.176,0.1367587281774925,0.0016175317010135473,0.05299999999999999,0.030519466056859387,0.03967741935483871,0.3140596469872185,0.9433962264150946,0.7440070831116127
9,2,157720,230,0,43.17,0.16,7.44,0.204,0.15728613364768973,0.0016977453837683613,0.05300000000000002,0.03203293176921435,0.048,0.30188679245283007,0.9433962264150938,0.7959111490910634
9,2,157745,230,0,46.81,0.19,8.63,0.229,0.17894201907931886,0.0017418966301399053,0.049000000000000016,0.035548910819181725,0.05567741935483871,0.2751810401579985,1.0204081632653055,0.896863168380417
9,2,157769,230,0,49.56,0.21,9.53,0.253,0.20123242889833018,0.0017459984418786013,0.05000000000000002,0.034919968837572014,0.06148387096774193,0.23096774193548364,0.7999999999999999,0.8756872418199065
9,2,157795,230,0,51.76,0.23,10.42,0.279,0.2227263811703142,0.0017099605932143654,0.04999999999999999,0.034199211864287316,0.0672258064516129,0.20387096774193555,0.8000000000000004,0.8511932003922736
9,2,157819,230,0,53.75,0.25,11.11,0.303,0.24379208891794385,0.0016371436058336003,0.04899999999999999,0.033411093996604094,0.0716774193548387,0.16984858459512853,0.8163265306122452,0.8374085168555703
9,2,157844,230,0,55.29,0.27,11.71,0.328,0.26375939849623714,0.001533607789399264,0.05099999999999999,0.030070740968613025,0.0755483870967742,0.15053763440860235,0.5882352941176477,0.7477132729521921
9,2,157870,230,0,56.83,0.28,12.3,0.354,0.28192546583850564,0.0014071979149864102,0.04999999999999999,0.02814395829972821,0.07935483870967742,0.1406451612903226,0.5999999999999995,0.6939522719843007
9,2,157894,230,0,58.15,0.3,12.8,0.378,0.29845701209545217,0.0012665948848984776,0.050000000000000044,0.025331897697969532,0.08258064516129032,0.12903225806451607,0.7999999999999989,0.6319058515854764
9,2,157920,230,0,59.36,0.32,13.3,0.404,0.3135207584177795,0.0011204412829044124,0.04999999999999999,0.02240882565808825,0.08580645161290323,0.11483870967741924,0.40000000000000047,0.5660019614252932
9,2,157944,230,0,60.46,0.32,13.69,0.428,0.3267571101667168,0.0009766161888077037,0.05199999999999999,0.018781080553994304,0.08832258064516128,0.09801488833746894,0.384615384615385,0.49161364950838066
9,2,157972,230,0,61.57,0.34,14.09,0.456,0.3390846681922153,0.0008417025475234095,0.05299999999999999,0.015881180141951126,0.09090322580645162,0.09738283627510673,0.5660377358490561,0.4495858185249782
9,2,157997,230,0,62.45,0.35,14.49,0.481,0.35058515854854067,0.0007206615510596634,0.04999999999999999,0.014413231021193271,0.09348387096774194,0.08903225806451588,0.39999999999999936,0.44642039882313866
9,2,158022,230,0,63.44,0.36,14.78,0.506,0.3614056881333722,0.0006167050116227823,0.050000000000000044,0.012334100232455635,0.09535483870967741,0.07612903225806426,0.4,0.4234717227852188
9,2,158047,230,0,64.21,0.37,15.08,0.531,0.3717587446878016,0.0005313397536956704,0.050000000000000044,0.010626795073913398,0.09729032258064516,0.07741935483870997,0.4,0.4034651847008771
9,2,158072,230,0,64.98,0.38,15.38,0.556,0.3815789473684161,0.00046454772860199254,0.04999999999999993,0.009290954572039864,0.09922580645161291,0.06451612903225831,0.4000000000000009,0.37097090552467843
