MS, MPT, t (s), PWMi, PWMe, Pressure (Psi), LW (V), Displacement (mm)
30 ,  5 ,  152055 ,  74 ,  249 ,  28.42 ,  0.07 ,  6.15
30 ,  5 ,  152100 ,  74 ,  249 ,  26.88 ,  0.06 ,  5.75
30 ,  5 ,  152144 ,  74 ,  249 ,  25.33 ,  0.06 ,  5.26
30 ,  5 ,  152189 ,  45 ,  228 ,  23.90 ,  0.06 ,  4.86
30 ,  5 ,  152233 ,  45 ,  228 ,  23.35 ,  0.06 ,  4.66
30 ,  5 ,  152279 ,  45 ,  228 ,  23.13 ,  0.06 ,  4.56
30 ,  5 ,  152323 ,  210 ,  27 ,  22.91 ,  0.05 ,  4.46
30 ,  5 ,  152367 ,  210 ,  27 ,  23.02 ,  0.05 ,  4.37
30 ,  5 ,  152414 ,  210 ,  27 ,  28.97 ,  0.07 ,  4.86
30 ,  5 ,  152459 ,  61 ,  238 ,  35.02 ,  0.08 ,  6.15
30 ,  5 ,  152503 ,  61 ,  238 ,  35.13 ,  0.09 ,  6.45
30 ,  5 ,  152547 ,  61 ,  238 ,  34.80 ,  0.09 ,  6.45
30 ,  5 ,  152591 ,  39 ,  234 ,  34.03 ,  0.09 ,  6.45
30 ,  5 ,  152636 ,  39 ,  234 ,  33.15 ,  0.08 ,  6.35
30 ,  5 ,  152680 ,  39 ,  234 ,  32.49 ,  0.08 ,  6.25
30 ,  5 ,  152724 ,  65 ,  223 ,  31.94 ,  0.08 ,  6.15
30 ,  5 ,  152768 ,  65 ,  223 ,  31.72 ,  0.08 ,  6.25
30 ,  5 ,  152815 ,  65 ,  223 ,  31.50 ,  0.07 ,  6.25
30 ,  5 ,  152859 ,  244 ,  45 ,  31.28 ,  0.08 ,  6.15
30 ,  5 ,  152904 ,  244 ,  45 ,  32.05 ,  0.07 ,  6.15
30 ,  5 ,  152948 ,  244 ,  45 ,  42.18 ,  0.12 ,  7.74
30 ,  5 ,  152992 ,  236 ,  61 ,  51.54 ,  0.19 ,  10.62
30 ,  5 ,  153037 ,  236 ,  61 ,  58.15 ,  0.26 ,  13.10
30 ,  5 ,  153081 ,  236 ,  61 ,  62.67 ,  0.32 ,  14.78
30 ,  5 ,  153131 ,  21 ,  255 ,  66.30 ,  0.37 ,  16.07
30 ,  5 ,  153175 ,  21 ,  255 ,  63.33 ,  0.37 ,  16.17
30 ,  5 ,  153222 ,  21 ,  255 ,  55.73 ,  0.30 ,  14.68
30 ,  5 ,  153266 ,  3 ,  223 ,  48.90 ,  0.22 ,  12.60
30 ,  5 ,  153310 ,  3 ,  223 ,  45.16 ,  0.18 ,  11.21
30 ,  5 ,  153355 ,  3 ,  223 ,  42.29 ,  0.15 ,  10.32
30 ,  5 ,  153399 ,  238 ,  69 ,  39.76 ,  0.12 ,  9.43
30 ,  5 ,  153443 ,  238 ,  69 ,  39.98 ,  0.12 ,  9.33
30 ,  5 ,  153487 ,  238 ,  69 ,  45.93 ,  0.14 ,  9.92
30 ,  5 ,  153532 ,  233 ,  26 ,  53.09 ,  0.21 ,  11.91
30 ,  5 ,  153576 ,  233 ,  26 ,  58.37 ,  0.26 ,  13.69
30 ,  5 ,  153623 ,  233 ,  26 ,  62.45 ,  0.31 ,  15.08
30 ,  5 ,  153667 ,  242 ,  26 ,  65.42 ,  0.35 ,  15.97
30 ,  5 ,  153711 ,  242 ,  26 ,  68.06 ,  0.38 ,  16.87
30 ,  5 ,  153756 ,  242 ,  26 ,  70.49 ,  0.41 ,  17.66
