MS, MPT, t (s), PWMi, PWMe, Pressure (Psi), LW (V), Displacement (mm)
4 ,  5 ,  74470 ,  0 ,  255 ,  10.14 ,  0.03 ,  1.69
4 ,  5 ,  74492 ,  205 ,  0 ,  9.70 ,  0.03 ,  1.69
4 ,  5 ,  74514 ,  205 ,  0 ,  9.81 ,  0.02 ,  1.69
4 ,  5 ,  74536 ,  205 ,  0 ,  10.69 ,  0.03 ,  1.69
4 ,  5 ,  74559 ,  205 ,  0 ,  14.21 ,  0.03 ,  1.69
4 ,  5 ,  74580 ,  205 ,  0 ,  18.29 ,  0.04 ,  2.08
4 ,  5 ,  74603 ,  205 ,  0 ,  22.36 ,  0.04 ,  2.48
4 ,  5 ,  74625 ,  205 ,  0 ,  25.99 ,  0.05 ,  3.08
4 ,  5 ,  74647 ,  205 ,  0 ,  29.30 ,  0.06 ,  3.67
4 ,  5 ,  74672 ,  205 ,  0 ,  32.27 ,  0.06 ,  4.27
4 ,  5 ,  74693 ,  205 ,  0 ,  34.58 ,  0.07 ,  4.76
4 ,  5 ,  74715 ,  205 ,  0 ,  36.46 ,  0.08 ,  5.16
4 ,  5 ,  74737 ,  205 ,  0 ,  38.11 ,  0.09 ,  5.56
4 ,  5 ,  74759 ,  205 ,  0 ,  39.54 ,  0.10 ,  5.85
4 ,  5 ,  74780 ,  205 ,  0 ,  40.75 ,  0.10 ,  6.25
4 ,  5 ,  74803 ,  205 ,  0 ,  41.85 ,  0.11 ,  6.55
4 ,  5 ,  74824 ,  205 ,  0 ,  42.73 ,  0.11 ,  6.85
4 ,  5 ,  74847 ,  205 ,  0 ,  43.72 ,  0.12 ,  7.04
4 ,  5 ,  74870 ,  205 ,  0 ,  44.61 ,  0.13 ,  7.34
4 ,  5 ,  74893 ,  205 ,  0 ,  45.27 ,  0.13 ,  7.54
4 ,  5 ,  74914 ,  205 ,  0 ,  45.93 ,  0.14 ,  7.74
4 ,  5 ,  74936 ,  205 ,  0 ,  46.70 ,  0.14 ,  7.94
4 ,  5 ,  74961 ,  205 ,  0 ,  47.25 ,  0.15 ,  8.14
4 ,  5 ,  74983 ,  205 ,  0 ,  47.91 ,  0.15 ,  8.33
4 ,  5 ,  75005 ,  205 ,  0 ,  48.46 ,  0.15 ,  8.53
4 ,  5 ,  75027 ,  205 ,  0 ,  48.79 ,  0.16 ,  8.63
