MS, MPT, t (s), PWMi, PWMe, Pressure (Psi), LW (V), Displacement (mm)
29 ,  4 ,  35050 ,  0 ,  255 ,  9.92 ,  0.01 ,  1.29
29 ,  4 ,  35094 ,  255 ,  0 ,  9.70 ,  0.01 ,  1.19
29 ,  4 ,  35138 ,  255 ,  0 ,  14.87 ,  0.01 ,  1.29
29 ,  4 ,  35183 ,  255 ,  0 ,  33.81 ,  0.05 ,  3.77
29 ,  4 ,  35227 ,  0 ,  255 ,  49.45 ,  0.13 ,  7.64
29 ,  4 ,  35271 ,  0 ,  255 ,  48.24 ,  0.15 ,  8.33
29 ,  4 ,  35315 ,  0 ,  255 ,  43.39 ,  0.12 ,  7.94
29 ,  4 ,  35359 ,  0 ,  255 ,  38.99 ,  0.10 ,  7.04
29 ,  4 ,  35405 ,  0 ,  255 ,  35.13 ,  0.07 ,  6.15
29 ,  4 ,  35449 ,  0 ,  255 ,  31.72 ,  0.05 ,  5.46
29 ,  4 ,  35493 ,  0 ,  255 ,  28.97 ,  0.04 ,  4.76
29 ,  4 ,  35537 ,  0 ,  255 ,  26.55 ,  0.03 ,  4.37
29 ,  4 ,  35581 ,  0 ,  255 ,  24.45 ,  0.02 ,  3.87
29 ,  4 ,  35624 ,  0 ,  255 ,  22.69 ,  0.02 ,  3.57
29 ,  4 ,  35668 ,  0 ,  255 ,  21.15 ,  0.02 ,  3.27
29 ,  4 ,  35713 ,  0 ,  255 ,  19.83 ,  0.02 ,  2.98
29 ,  4 ,  35757 ,  0 ,  255 ,  18.73 ,  0.02 ,  2.78
29 ,  4 ,  35801 ,  0 ,  255 ,  17.62 ,  0.02 ,  2.58
29 ,  4 ,  35847 ,  0 ,  255 ,  16.74 ,  0.01 ,  2.38
29 ,  4 ,  35891 ,  0 ,  255 ,  15.86 ,  0.01 ,  2.28
29 ,  4 ,  35934 ,  0 ,  255 ,  15.20 ,  0.01 ,  2.08
29 ,  4 ,  35978 ,  0 ,  255 ,  14.54 ,  0.01 ,  2.08
29 ,  4 ,  36022 ,  0 ,  255 ,  14.10 ,  0.01 ,  1.89
29 ,  4 ,  36066 ,  255 ,  0 ,  13.55 ,  0.01 ,  1.89
29 ,  4 ,  36110 ,  255 ,  0 ,  18.18 ,  0.01 ,  1.89
29 ,  4 ,  36154 ,  255 ,  0 ,  35.69 ,  0.05 ,  4.27
29 ,  4 ,  36198 ,  0 ,  255 ,  50.66 ,  0.14 ,  8.04
29 ,  4 ,  36244 ,  0 ,  255 ,  49.56 ,  0.16 ,  8.83
29 ,  4 ,  36288 ,  0 ,  255 ,  44.28 ,  0.13 ,  8.33
29 ,  4 ,  36332 ,  0 ,  255 ,  39.65 ,  0.09 ,  7.34
29 ,  4 ,  36376 ,  0 ,  255 ,  35.69 ,  0.07 ,  6.45
29 ,  4 ,  36419 ,  0 ,  255 ,  32.38 ,  0.05 ,  5.66
29 ,  4 ,  36463 ,  0 ,  255 ,  29.41 ,  0.04 ,  5.06
29 ,  4 ,  36507 ,  0 ,  255 ,  26.99 ,  0.03 ,  4.46
29 ,  4 ,  36551 ,  0 ,  255 ,  24.78 ,  0.03 ,  4.07
29 ,  4 ,  36595 ,  255 ,  0 ,  23.02 ,  0.02 ,  3.67
29 ,  4 ,  36641 ,  255 ,  0 ,  26.77 ,  0.02 ,  3.57
29 ,  4 ,  36685 ,  255 ,  0 ,  41.41 ,  0.08 ,  6.05
29 ,  4 ,  36729 ,  0 ,  255 ,  54.19 ,  0.17 ,  9.62
29 ,  4 ,  36773 ,  0 ,  255 ,  52.20 ,  0.19 ,  10.22
29 ,  4 ,  36817 ,  0 ,  255 ,  47.25 ,  0.16 ,  9.53
29 ,  4 ,  36860 ,  0 ,  255 ,  42.29 ,  0.11 ,  8.33
29 ,  4 ,  36904 ,  0 ,  255 ,  37.89 ,  0.08 ,  7.24
29 ,  4 ,  36948 ,  0 ,  255 ,  34.03 ,  0.06 ,  6.25
29 ,  4 ,  36993 ,  0 ,  255 ,  30.84 ,  0.04 ,  5.46
29 ,  4 ,  37037 ,  0 ,  255 ,  28.09 ,  0.03 ,  4.86
29 ,  4 ,  37083 ,  0 ,  255 ,  25.55 ,  0.03 ,  4.27
29 ,  4 ,  37127 ,  0 ,  255 ,  23.57 ,  0.02 ,  3.87
29 ,  4 ,  37171 ,  0 ,  255 ,  21.81 ,  0.02 ,  3.47
29 ,  4 ,  37215 ,  0 ,  255 ,  20.27 ,  0.02 ,  3.18
29 ,  4 ,  37258 ,  0 ,  255 ,  18.95 ,  0.02 ,  2.98
29 ,  4 ,  37302 ,  0 ,  255 ,  17.85 ,  0.02 ,  2.68
29 ,  4 ,  37346 ,  0 ,  255 ,  16.74 ,  0.02 ,  2.58
29 ,  4 ,  37390 ,  0 ,  255 ,  15.97 ,  0.02 ,  2.28
29 ,  4 ,  37434 ,  0 ,  255 ,  15.09 ,  0.01 ,  2.18
29 ,  4 ,  37480 ,  0 ,  255 ,  14.43 ,  0.01 ,  2.08
29 ,  4 ,  37524 ,  0 ,  255 ,  13.88 ,  0.01 ,  1.98
29 ,  4 ,  37568 ,  255 ,  0 ,  13.33 ,  0.02 ,  1.89
29 ,  4 ,  37612 ,  255 ,  0 ,  18.07 ,  0.02 ,  1.89
29 ,  4 ,  37655 ,  255 ,  0 ,  35.58 ,  0.06 ,  4.37
29 ,  4 ,  37699 ,  0 ,  255 ,  50.55 ,  0.14 ,  8.24
29 ,  4 ,  37743 ,  0 ,  255 ,  48.79 ,  0.16 ,  8.93
29 ,  4 ,  37787 ,  0 ,  255 ,  44.39 ,  0.13 ,  8.43
29 ,  4 ,  37831 ,  0 ,  255 ,  39.87 ,  0.10 ,  7.44
29 ,  4 ,  37877 ,  0 ,  255 ,  35.58 ,  0.07 ,  6.45
29 ,  4 ,  37921 ,  0 ,  255 ,  32.27 ,  0.06 ,  5.66
29 ,  4 ,  37965 ,  0 ,  255 ,  29.41 ,  0.04 ,  5.06
29 ,  4 ,  38009 ,  0 ,  255 ,  26.99 ,  0.03 ,  4.56
29 ,  4 ,  38053 ,  0 ,  255 ,  24.78 ,  0.03 ,  4.07
29 ,  4 ,  38096 ,  255 ,  0 ,  23.02 ,  0.02 ,  3.67
29 ,  4 ,  38140 ,  255 ,  0 ,  25.99 ,  0.03 ,  3.67
29 ,  4 ,  38184 ,  255 ,  0 ,  40.75 ,  0.08 ,  5.85
29 ,  4 ,  38228 ,  0 ,  255 ,  53.64 ,  0.17 ,  9.43
29 ,  4 ,  38273 ,  0 ,  255 ,  51.76 ,  0.18 ,  10.12
29 ,  4 ,  38319 ,  0 ,  255 ,  46.59 ,  0.15 ,  9.33
29 ,  4 ,  38363 ,  0 ,  255 ,  41.63 ,  0.11 ,  8.14
29 ,  4 ,  38407 ,  0 ,  255 ,  37.34 ,  0.08 ,  7.14
29 ,  4 ,  38451 ,  0 ,  255 ,  33.70 ,  0.06 ,  6.15
29 ,  4 ,  38495 ,  0 ,  255 ,  30.51 ,  0.04 ,  5.46
29 ,  4 ,  38538 ,  0 ,  255 ,  27.87 ,  0.04 ,  4.86
29 ,  4 ,  38582 ,  0 ,  255 ,  25.44 ,  0.03 ,  4.37
29 ,  4 ,  38626 ,  0 ,  255 ,  23.46 ,  0.02 ,  3.87
29 ,  4 ,  38670 ,  0 ,  255 ,  21.81 ,  0.02 ,  3.57
29 ,  4 ,  38716 ,  0 ,  255 ,  20.16 ,  0.02 ,  3.27
29 ,  4 ,  38760 ,  0 ,  255 ,  18.95 ,  0.02 ,  2.98
29 ,  4 ,  38804 ,  0 ,  255 ,  17.73 ,  0.02 ,  2.78
29 ,  4 ,  38848 ,  0 ,  255 ,  16.74 ,  0.02 ,  2.58
29 ,  4 ,  38891 ,  0 ,  255 ,  15.86 ,  0.01 ,  2.38
29 ,  4 ,  38935 ,  0 ,  255 ,  15.09 ,  0.02 ,  2.18
29 ,  4 ,  38980 ,  0 ,  255 ,  14.43 ,  0.01 ,  2.08
29 ,  4 ,  39024 ,  0 ,  255 ,  13.88 ,  0.02 ,  1.98
29 ,  4 ,  39068 ,  255 ,  0 ,  13.44 ,  0.01 ,  1.89
29 ,  4 ,  39114 ,  255 ,  0 ,  18.73 ,  0.02 ,  1.98
29 ,  4 ,  39157 ,  255 ,  0 ,  36.46 ,  0.06 ,  4.66
29 ,  4 ,  39201 ,  0 ,  255 ,  51.10 ,  0.15 ,  8.43
29 ,  4 ,  39245 ,  0 ,  255 ,  49.01 ,  0.16 ,  9.13
29 ,  4 ,  39289 ,  0 ,  255 ,  44.83 ,  0.14 ,  8.63
29 ,  4 ,  39333 ,  0 ,  255 ,  40.20 ,  0.10 ,  7.54
29 ,  4 ,  39377 ,  0 ,  255 ,  36.13 ,  0.07 ,  6.65
29 ,  4 ,  39421 ,  0 ,  255 ,  32.71 ,  0.06 ,  5.85
29 ,  4 ,  39465 ,  0 ,  255 ,  29.74 ,  0.04 ,  5.16
29 ,  4 ,  39512 ,  0 ,  255 ,  27.21 ,  0.04 ,  4.66
29 ,  4 ,  39556 ,  0 ,  255 ,  25.00 ,  0.03 ,  4.17
29 ,  4 ,  39600 ,  255 ,  0 ,  23.02 ,  0.02 ,  3.77
29 ,  4 ,  39643 ,  255 ,  0 ,  26.10 ,  0.03 ,  3.67
29 ,  4 ,  39687 ,  255 ,  0 ,  40.64 ,  0.07 ,  5.95
29 ,  4 ,  39731 ,  0 ,  255 ,  53.75 ,  0.17 ,  9.53
29 ,  4 ,  39775 ,  0 ,  255 ,  51.76 ,  0.18 ,  10.12
29 ,  4 ,  39819 ,  0 ,  255 ,  46.81 ,  0.15 ,  9.53
