MS, MPT, t (s), PWMi, PWMe, Pressure (Psi), LW (V), Displacement (mm)
30 ,  3 ,  80606 ,  74 ,  249 ,  28.31 ,  0.05 ,  6.05
30 ,  3 ,  80650 ,  74 ,  249 ,  26.77 ,  0.05 ,  5.56
30 ,  3 ,  80695 ,  74 ,  249 ,  25.11 ,  0.05 ,  5.06
30 ,  3 ,  80739 ,  45 ,  228 ,  23.79 ,  0.05 ,  4.76
30 ,  3 ,  80788 ,  45 ,  228 ,  23.24 ,  0.04 ,  4.46
30 ,  3 ,  80833 ,  45 ,  228 ,  23.02 ,  0.04 ,  4.37
30 ,  3 ,  80877 ,  210 ,  27 ,  22.91 ,  0.04 ,  4.27
30 ,  3 ,  80921 ,  210 ,  27 ,  23.02 ,  0.04 ,  4.27
30 ,  3 ,  80968 ,  210 ,  27 ,  28.97 ,  0.05 ,  4.66
30 ,  3 ,  81012 ,  61 ,  238 ,  35.02 ,  0.07 ,  5.95
30 ,  3 ,  81056 ,  61 ,  238 ,  35.02 ,  0.08 ,  6.25
30 ,  3 ,  81100 ,  61 ,  238 ,  34.69 ,  0.08 ,  6.25
30 ,  3 ,  81144 ,  39 ,  234 ,  34.03 ,  0.07 ,  6.25
30 ,  3 ,  81189 ,  39 ,  234 ,  33.26 ,  0.07 ,  6.15
30 ,  3 ,  81233 ,  39 ,  234 ,  32.60 ,  0.07 ,  6.15
30 ,  3 ,  81277 ,  65 ,  223 ,  32.05 ,  0.07 ,  6.05
30 ,  3 ,  81321 ,  65 ,  223 ,  31.72 ,  0.07 ,  6.05
30 ,  3 ,  81368 ,  65 ,  223 ,  31.61 ,  0.06 ,  6.05
30 ,  3 ,  81412 ,  244 ,  45 ,  31.39 ,  0.06 ,  5.95
30 ,  3 ,  81457 ,  244 ,  45 ,  32.05 ,  0.06 ,  6.05
30 ,  3 ,  81501 ,  244 ,  45 ,  42.18 ,  0.11 ,  7.54
30 ,  3 ,  81545 ,  236 ,  61 ,  51.54 ,  0.18 ,  10.42
30 ,  3 ,  81589 ,  236 ,  61 ,  58.26 ,  0.25 ,  12.90
30 ,  3 ,  81633 ,  236 ,  61 ,  62.78 ,  0.30 ,  14.59
30 ,  3 ,  81677 ,  21 ,  255 ,  66.08 ,  0.35 ,  15.78
30 ,  3 ,  81722 ,  21 ,  255 ,  63.11 ,  0.34 ,  15.88
30 ,  3 ,  81768 ,  21 ,  255 ,  55.84 ,  0.28 ,  14.49
30 ,  3 ,  81812 ,  3 ,  223 ,  48.57 ,  0.21 ,  12.30
30 ,  3 ,  81856 ,  3 ,  223 ,  44.83 ,  0.16 ,  11.01
30 ,  3 ,  81900 ,  3 ,  223 ,  41.96 ,  0.13 ,  10.02
30 ,  3 ,  81945 ,  238 ,  69 ,  39.65 ,  0.11 ,  9.23
30 ,  3 ,  81989 ,  238 ,  69 ,  39.87 ,  0.11 ,  9.03
30 ,  3 ,  82033 ,  238 ,  69 ,  46.15 ,  0.14 ,  9.82
30 ,  3 ,  82077 ,  233 ,  26 ,  53.20 ,  0.19 ,  11.81
30 ,  3 ,  82121 ,  233 ,  26 ,  58.59 ,  0.25 ,  13.49
30 ,  3 ,  82168 ,  233 ,  26 ,  62.45 ,  0.30 ,  14.88
30 ,  3 ,  82212 ,  242 ,  26 ,  65.53 ,  0.33 ,  15.88
30 ,  3 ,  82256 ,  242 ,  26 ,  68.17 ,  0.37 ,  16.67
30 ,  3 ,  82300 ,  242 ,  26 ,  70.71 ,  0.40 ,  17.46
30 ,  3 ,  82344 ,  225 ,  0 ,  72.80 ,  0.41 ,  18.16
30 ,  3 ,  82390 ,  225 ,  0 ,  73.57 ,  0.42 ,  18.45
30 ,  3 ,  82434 ,  225 ,  0 ,  74.01 ,  0.43 ,  18.75
30 ,  3 ,  82478 ,  40 ,  234 ,  74.45 ,  0.43 ,  18.85
30 ,  3 ,  82522 ,  40 ,  234 ,  72.03 ,  0.43 ,  18.85
30 ,  3 ,  82566 ,  40 ,  234 ,  66.08 ,  0.40 ,  17.66
30 ,  3 ,  82613 ,  64 ,  243 ,  60.24 ,  0.34 ,  16.17
30 ,  3 ,  82657 ,  64 ,  243 ,  55.18 ,  0.28 ,  14.68
30 ,  3 ,  82701 ,  64 ,  243 ,  50.55 ,  0.23 ,  13.20
30 ,  3 ,  82745 ,  31 ,  234 ,  46.70 ,  0.18 ,  11.81
30 ,  3 ,  82789 ,  31 ,  234 ,  43.72 ,  0.15 ,  10.72
30 ,  3 ,  82833 ,  31 ,  234 ,  41.19 ,  0.12 ,  9.92
30 ,  3 ,  82878 ,  227 ,  18 ,  38.77 ,  0.10 ,  9.33
30 ,  3 ,  82922 ,  227 ,  18 ,  39.10 ,  0.10 ,  9.13
30 ,  3 ,  82966 ,  227 ,  18 ,  43.72 ,  0.11 ,  9.52
30 ,  3 ,  83012 ,  234 ,  68 ,  49.67 ,  0.16 ,  11.11
30 ,  3 ,  83056 ,  234 ,  68 ,  54.96 ,  0.21 ,  12.70
30 ,  3 ,  83101 ,  234 ,  68 ,  59.36 ,  0.25 ,  14.09
30 ,  3 ,  83145 ,  237 ,  35 ,  62.89 ,  0.29 ,  15.28
30 ,  3 ,  83189 ,  237 ,  35 ,  65.86 ,  0.33 ,  16.17
30 ,  3 ,  83233 ,  237 ,  35 ,  68.28 ,  0.36 ,  16.97
30 ,  3 ,  83277 ,  238 ,  0 ,  70.38 ,  0.39 ,  17.56
30 ,  3 ,  83322 ,  238 ,  0 ,  72.14 ,  0.41 ,  18.06
30 ,  3 ,  83366 ,  238 ,  0 ,  73.57 ,  0.42 ,  18.55
30 ,  3 ,  83412 ,  61 ,  246 ,  75.00 ,  0.43 ,  18.95
30 ,  3 ,  83457 ,  61 ,  246 ,  71.70 ,  0.42 ,  18.85
30 ,  3 ,  83501 ,  61 ,  246 ,  63.99 ,  0.37 ,  17.26
30 ,  3 ,  83546 ,  245 ,  11 ,  56.72 ,  0.29 ,  15.28
30 ,  3 ,  83590 ,  245 ,  11 ,  56.83 ,  0.27 ,  14.88
30 ,  3 ,  83634 ,  245 ,  11 ,  60.79 ,  0.30 ,  15.48
30 ,  3 ,  83678 ,  255 ,  62 ,  66.08 ,  0.35 ,  16.67
30 ,  3 ,  83722 ,  255 ,  62 ,  71.70 ,  0.40 ,  18.06
30 ,  3 ,  83766 ,  255 ,  62 ,  76.32 ,  0.43 ,  19.25
30 ,  3 ,  83813 ,  32 ,  252 ,  80.07 ,  0.45 ,  20.14
30 ,  3 ,  83857 ,  32 ,  252 ,  75.33 ,  0.44 ,  19.84
30 ,  3 ,  83901 ,  32 ,  252 ,  64.98 ,  0.39 ,  17.86
30 ,  3 ,  83945 ,  56 ,  229 ,  55.84 ,  0.29 ,  15.38
30 ,  3 ,  83990 ,  56 ,  229 ,  49.67 ,  0.22 ,  13.30
30 ,  3 ,  84034 ,  56 ,  229 ,  45.60 ,  0.17 ,  11.81
30 ,  3 ,  84078 ,  51 ,  249 ,  42.07 ,  0.13 ,  10.52
30 ,  3 ,  84122 ,  51 ,  249 ,  38.44 ,  0.11 ,  9.43
30 ,  3 ,  84166 ,  51 ,  249 ,  34.91 ,  0.09 ,  8.43
30 ,  3 ,  84213 ,  220 ,  43 ,  31.61 ,  0.08 ,  7.34
30 ,  3 ,  84257 ,  220 ,  43 ,  32.05 ,  0.07 ,  7.04
30 ,  3 ,  84301 ,  220 ,  43 ,  37.23 ,  0.08 ,  7.44
30 ,  3 ,  84345 ,  70 ,  244 ,  43.17 ,  0.11 ,  8.93
30 ,  3 ,  84389 ,  70 ,  244 ,  43.17 ,  0.12 ,  9.33
30 ,  3 ,  84433 ,  70 ,  244 ,  41.19 ,  0.11 ,  9.13
30 ,  3 ,  84478 ,  15 ,  255 ,  38.77 ,  0.10 ,  8.83
30 ,  3 ,  84523 ,  15 ,  255 ,  36.02 ,  0.08 ,  8.14
30 ,  3 ,  84567 ,  15 ,  255 ,  33.26 ,  0.06 ,  7.44
30 ,  3 ,  84613 ,  229 ,  63 ,  30.73 ,  0.06 ,  6.75
30 ,  3 ,  84657 ,  229 ,  63 ,  30.84 ,  0.06 ,  6.55
30 ,  3 ,  84702 ,  229 ,  63 ,  37.89 ,  0.08 ,  7.34
30 ,  3 ,  84746 ,  46 ,  255 ,  45.38 ,  0.12 ,  9.23
30 ,  3 ,  84790 ,  46 ,  255 ,  45.05 ,  0.13 ,  9.62
30 ,  3 ,  84835 ,  46 ,  255 ,  41.30 ,  0.11 ,  9.13
30 ,  3 ,  84879 ,  50 ,  236 ,  37.45 ,  0.09 ,  8.33
30 ,  3 ,  84923 ,  50 ,  236 ,  35.02 ,  0.07 ,  7.74
30 ,  3 ,  84967 ,  50 ,  236 ,  33.04 ,  0.06 ,  7.14
30 ,  3 ,  85013 ,  34 ,  255 ,  31.17 ,  0.05 ,  6.65
30 ,  3 ,  85057 ,  34 ,  255 ,  29.19 ,  0.05 ,  6.15
30 ,  3 ,  85102 ,  34 ,  255 ,  27.21 ,  0.05 ,  5.66
30 ,  3 ,  85146 ,  45 ,  250 ,  25.44 ,  0.04 ,  5.16
30 ,  3 ,  85190 ,  45 ,  250 ,  24.01 ,  0.04 ,  4.76
30 ,  3 ,  85234 ,  45 ,  250 ,  22.69 ,  0.04 ,  4.37
30 ,  3 ,  85278 ,  12 ,  249 ,  21.48 ,  0.04 ,  4.07
30 ,  3 ,  85322 ,  12 ,  249 ,  20.49 ,  0.04 ,  3.87
30 ,  3 ,  85366 ,  12 ,  249 ,  19.61 ,  0.04 ,  3.57
30 ,  3 ,  85413 ,  34 ,  255 ,  18.84 ,  0.03 ,  3.37
30 ,  3 ,  85457 ,  34 ,  255 ,  17.96 ,  0.03 ,  3.17
30 ,  3 ,  85501 ,  34 ,  255 ,  17.18 ,  0.03 ,  2.98
30 ,  3 ,  85545 ,  78 ,  244 ,  16.41 ,  0.03 ,  2.88
30 ,  3 ,  85590 ,  78 ,  244 ,  16.08 ,  0.04 ,  2.68
30 ,  3 ,  85635 ,  78 ,  244 ,  15.86 ,  0.03 ,  2.68
30 ,  3 ,  85679 ,  34 ,  253 ,  15.64 ,  0.03 ,  2.58
30 ,  3 ,  85723 ,  34 ,  253 ,  15.20 ,  0.03 ,  2.48
30 ,  3 ,  85767 ,  34 ,  253 ,  14.76 ,  0.03 ,  2.38
30 ,  3 ,  85813 ,  39 ,  221 ,  14.32 ,  0.03 ,  2.28
30 ,  3 ,  85857 ,  39 ,  221 ,  14.43 ,  0.03 ,  2.28
30 ,  3 ,  85902 ,  39 ,  221 ,  14.43 ,  0.03 ,  2.18
30 ,  3 ,  85946 ,  20 ,  233 ,  14.43 ,  0.04 ,  2.18
30 ,  3 ,  85990 ,  20 ,  233 ,  14.43 ,  0.03 ,  2.18
30 ,  3 ,  86034 ,  20 ,  233 ,  14.43 ,  0.03 ,  2.18
30 ,  3 ,  86078 ,  229 ,  47 ,  14.43 ,  0.03 ,  2.18
30 ,  3 ,  86122 ,  229 ,  47 ,  16.52 ,  0.03 ,  2.08
30 ,  3 ,  86166 ,  229 ,  47 ,  27.32 ,  0.05 ,  3.37
30 ,  3 ,  86228 ,  221 ,  15 ,  41.19 ,  0.11 ,  6.65
30 ,  3 ,  86273 ,  221 ,  15 ,  47.14 ,  0.16 ,  8.63
30 ,  3 ,  86317 ,  221 ,  15 ,  50.99 ,  0.20 ,  10.12
30 ,  3 ,  86361 ,  233 ,  0 ,  53.86 ,  0.23 ,  11.31
30 ,  3 ,  86406 ,  233 ,  0 ,  56.94 ,  0.27 ,  12.40
30 ,  3 ,  86450 ,  233 ,  0 ,  59.58 ,  0.30 ,  13.39
30 ,  3 ,  86494 ,  224 ,  57 ,  62.01 ,  0.33 ,  14.29
30 ,  3 ,  86538 ,  224 ,  57 ,  63.44 ,  0.35 ,  14.98
30 ,  3 ,  86582 ,  224 ,  57 ,  64.54 ,  0.37 ,  15.48
30 ,  3 ,  86629 ,  233 ,  62 ,  65.64 ,  0.38 ,  15.88
30 ,  3 ,  86673 ,  233 ,  62 ,  67.07 ,  0.40 ,  16.37
30 ,  3 ,  86717 ,  233 ,  62 ,  68.50 ,  0.41 ,  16.77
30 ,  3 ,  86761 ,  247 ,  10 ,  69.71 ,  0.43 ,  17.26
30 ,  3 ,  86805 ,  247 ,  10 ,  71.81 ,  0.43 ,  17.76
30 ,  3 ,  86849 ,  247 ,  10 ,  74.45 ,  0.45 ,  18.55
30 ,  3 ,  86894 ,  243 ,  82 ,  76.65 ,  0.46 ,  19.15
30 ,  3 ,  86938 ,  243 ,  82 ,  78.41 ,  0.46 ,  19.65
30 ,  3 ,  86982 ,  243 ,  82 ,  79.74 ,  0.47 ,  19.94
30 ,  3 ,  87028 ,  255 ,  50 ,  80.95 ,  0.47 ,  20.34
30 ,  3 ,  87073 ,  255 ,  50 ,  82.71 ,  0.47 ,  20.74
30 ,  3 ,  87117 ,  255 ,  50 ,  84.47 ,  0.48 ,  21.23
30 ,  3 ,  87161 ,  252 ,  22 ,  86.12 ,  0.48 ,  21.63
30 ,  3 ,  87205 ,  252 ,  22 ,  87.34 ,  0.48 ,  21.93
30 ,  3 ,  87249 ,  252 ,  22 ,  88.44 ,  0.48 ,  22.13
30 ,  3 ,  87293 ,  248 ,  49 ,  89.32 ,  0.48 ,  22.42
30 ,  3 ,  87339 ,  248 ,  49 ,  89.98 ,  0.48 ,  22.52
30 ,  3 ,  87383 ,  248 ,  49 ,  90.42 ,  0.49 ,  22.72
30 ,  3 ,  87429 ,  231 ,  40 ,  90.97 ,  0.48 ,  22.82
30 ,  3 ,  87473 ,  231 ,  40 ,  90.97 ,  0.48 ,  22.92
30 ,  3 ,  87518 ,  231 ,  40 ,  90.64 ,  0.49 ,  22.92
30 ,  3 ,  87562 ,  247 ,  8 ,  90.53 ,  0.48 ,  22.92
30 ,  3 ,  87606 ,  247 ,  8 ,  90.42 ,  0.48 ,  22.92
30 ,  3 ,  87650 ,  247 ,  8 ,  90.64 ,  0.49 ,  23.02
30 ,  3 ,  87694 ,  231 ,  35 ,  90.86 ,  0.48 ,  23.02
30 ,  3 ,  87738 ,  231 ,  35 ,  90.86 ,  0.48 ,  23.02
30 ,  3 ,  87782 ,  231 ,  35 ,  90.64 ,  0.49 ,  23.12
30 ,  3 ,  87829 ,  53 ,  237 ,  90.53 ,  0.48 ,  23.02
30 ,  3 ,  87873 ,  53 ,  237 ,  84.80 ,  0.48 ,  22.62
30 ,  3 ,  87917 ,  53 ,  237 ,  75.33 ,  0.48 ,  21.03
30 ,  3 ,  87961 ,  16 ,  245 ,  66.85 ,  0.46 ,  19.15
30 ,  3 ,  88006 ,  16 ,  245 ,  59.69 ,  0.42 ,  17.16
30 ,  3 ,  88050 ,  16 ,  245 ,  53.64 ,  0.35 ,  15.18
30 ,  3 ,  88094 ,  222 ,  76 ,  48.79 ,  0.27 ,  13.30
30 ,  3 ,  88138 ,  222 ,  76 ,  49.01 ,  0.25 ,  12.90
30 ,  3 ,  88182 ,  222 ,  76 ,  50.55 ,  0.24 ,  12.90
30 ,  3 ,  88229 ,  234 ,  25 ,  53.75 ,  0.27 ,  13.59
30 ,  3 ,  88273 ,  234 ,  25 ,  58.04 ,  0.31 ,  14.68
30 ,  3 ,  88317 ,  234 ,  25 ,  62.12 ,  0.35 ,  15.88
30 ,  3 ,  88361 ,  255 ,  50 ,  65.31 ,  0.38 ,  16.77
30 ,  3 ,  88406 ,  255 ,  50 ,  69.83 ,  0.42 ,  17.86
30 ,  3 ,  88451 ,  255 ,  50 ,  74.67 ,  0.44 ,  19.15
30 ,  3 ,  88495 ,  255 ,  8 ,  78.53 ,  0.46 ,  20.04
30 ,  3 ,  88539 ,  255 ,  8 ,  81.50 ,  0.47 ,  20.74
30 ,  3 ,  88583 ,  255 ,  8 ,  83.70 ,  0.47 ,  21.33
30 ,  3 ,  88629 ,  53 ,  255 ,  85.57 ,  0.47 ,  21.73
30 ,  3 ,  88674 ,  53 ,  255 ,  79.19 ,  0.47 ,  21.23
30 ,  3 ,  88718 ,  53 ,  255 ,  67.07 ,  0.44 ,  19.05
30 ,  3 ,  88762 ,  227 ,  20 ,  54.74 ,  0.34 ,  15.78
30 ,  3 ,  88806 ,  227 ,  20 ,  55.07 ,  0.31 ,  14.88
30 ,  3 ,  88850 ,  227 ,  20 ,  56.17 ,  0.30 ,  14.88
30 ,  3 ,  88895 ,  237 ,  28 ,  59.14 ,  0.33 ,  15.58
30 ,  3 ,  88939 ,  237 ,  28 ,  62.78 ,  0.36 ,  16.37
30 ,  3 ,  88983 ,  237 ,  28 ,  66.30 ,  0.40 ,  17.36
30 ,  3 ,  89029 ,  15 ,  232 ,  69.16 ,  0.42 ,  18.06
30 ,  3 ,  89074 ,  15 ,  232 ,  67.29 ,  0.42 ,  18.16
30 ,  3 ,  89118 ,  15 ,  232 ,  62.56 ,  0.38 ,  17.16
30 ,  3 ,  89162 ,  242 ,  59 ,  58.04 ,  0.34 ,  15.97
30 ,  3 ,  89206 ,  242 ,  59 ,  58.04 ,  0.33 ,  15.78
30 ,  3 ,  89250 ,  242 ,  59 ,  60.57 ,  0.34 ,  15.97
30 ,  3 ,  89294 ,  246 ,  38 ,  65.31 ,  0.38 ,  17.07
30 ,  3 ,  89339 ,  246 ,  38 ,  69.94 ,  0.42 ,  18.16
30 ,  3 ,  89383 ,  246 ,  38 ,  73.57 ,  0.43 ,  19.05
30 ,  3 ,  89430 ,  231 ,  23 ,  76.54 ,  0.44 ,  19.74
30 ,  3 ,  89474 ,  231 ,  23 ,  77.86 ,  0.45 ,  20.14
30 ,  3 ,  89519 ,  231 ,  23 ,  78.53 ,  0.46 ,  20.34
30 ,  3 ,  89563 ,  54 ,  243 ,  79.19 ,  0.46 ,  20.54
30 ,  3 ,  89607 ,  54 ,  243 ,  75.44 ,  0.46 ,  20.24
30 ,  3 ,  89651 ,  54 ,  243 ,  67.07 ,  0.43 ,  18.75
30 ,  3 ,  89695 ,  220 ,  77 ,  59.58 ,  0.37 ,  16.87
30 ,  3 ,  89739 ,  220 ,  77 ,  59.36 ,  0.35 ,  16.37
30 ,  3 ,  89784 ,  220 ,  77 ,  59.47 ,  0.35 ,  16.37
30 ,  3 ,  89830 ,  236 ,  70 ,  60.68 ,  0.35 ,  16.37
30 ,  3 ,  89874 ,  236 ,  70 ,  63.66 ,  0.37 ,  16.87
30 ,  3 ,  89918 ,  236 ,  70 ,  66.85 ,  0.40 ,  17.66
30 ,  3 ,  89963 ,  35 ,  237 ,  69.60 ,  0.42 ,  18.36
30 ,  3 ,  90007 ,  35 ,  237 ,  67.51 ,  0.42 ,  18.36
30 ,  3 ,  90051 ,  35 ,  237 ,  62.12 ,  0.38 ,  17.16
30 ,  3 ,  90095 ,  23 ,  233 ,  56.94 ,  0.33 ,  15.88
30 ,  3 ,  90139 ,  23 ,  233 ,  52.76 ,  0.28 ,  14.68
30 ,  3 ,  90184 ,  23 ,  233 ,  49.34 ,  0.24 ,  13.49
30 ,  3 ,  90226 ,  55 ,  255 ,  46.48 ,  0.20 ,  12.50
30 ,  3 ,  90271 ,  55 ,  255 ,  43.28 ,  0.17 ,  11.41
30 ,  3 ,  90315 ,  55 ,  255 ,  39.76 ,  0.14 ,  10.02
30 ,  3 ,  90359 ,  245 ,  30 ,  36.46 ,  0.11 ,  8.73
30 ,  3 ,  90403 ,  245 ,  30 ,  37.56 ,  0.10 ,  8.43
30 ,  3 ,  90447 ,  245 ,  30 ,  45.93 ,  0.15 ,  10.12
30 ,  3 ,  90491 ,  28 ,  255 ,  54.74 ,  0.22 ,  12.80
30 ,  3 ,  90536 ,  28 ,  255 ,  53.31 ,  0.23 ,  13.30
30 ,  3 ,  90580 ,  28 ,  255 ,  48.46 ,  0.19 ,  12.10
30 ,  3 ,  90627 ,  69 ,  242 ,  43.50 ,  0.15 ,  10.72
30 ,  3 ,  90671 ,  69 ,  242 ,  39.65 ,  0.12 ,  9.52
30 ,  3 ,  90716 ,  69 ,  242 ,  36.57 ,  0.10 ,  8.53
30 ,  3 ,  90760 ,  255 ,  32 ,  33.81 ,  0.09 ,  7.94
30 ,  3 ,  90804 ,  255 ,  32 ,  36.24 ,  0.08 ,  7.74
30 ,  3 ,  90848 ,  255 ,  32 ,  47.25 ,  0.14 ,  9.92
30 ,  3 ,  90892 ,  211 ,  26 ,  57.71 ,  0.23 ,  13.39
30 ,  3 ,  90936 ,  211 ,  26 ,  61.46 ,  0.29 ,  14.98
30 ,  3 ,  90981 ,  211 ,  26 ,  63.00 ,  0.32 ,  15.58
30 ,  3 ,  91027 ,  223 ,  53 ,  64.21 ,  0.34 ,  16.07
30 ,  3 ,  91071 ,  223 ,  53 ,  65.97 ,  0.36 ,  16.57
30 ,  3 ,  91115 ,  223 ,  53 ,  67.73 ,  0.38 ,  17.16
