MS,MPT,t (ms),PWMi,PWMe,Pressure (Psi),LW raw(V),Displacement (mm),t_rel(s),LW (V),delta d (m),delta t (s),vel (m/s),strain,strain rate (1/s),dv/dt raw,dv/dt
27,2,1047718,0,195,12.89,0.05,1.98,0.0,-0.02513739883305084,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2,1047760,255,0,12.89,0.05,1.98,0.042,0.038947863730472515,0.0027536891438732303,0.084,0.03278201361753846,0.012774193548387096,0.007680491551459308,0.0,1.4897226833317045
27,2,1047802,255,0,16.08,0.05,2.08,0.084,0.09999930656681234,0.0031831583647549664,0.08299999999999999,0.03835130559945743,0.013419354838709678,0.17800233190827827,0.3614457831325302,1.4325438499020695
27,2,1047843,255,0,32.71,0.08,4.27,0.125,0.15784900327234427,0.003733259592581491,0.083,0.04497903123592158,0.02754838709677419,0.46327244461717826,1.2048192771084336,1.3533701310437543
27,2,1047885,255,0,47.8,0.15,8.04,0.167,0.21232902744344395,0.004220511923196578,0.08299999999999999,0.05084954124333227,0.051870967741935475,0.5705402254178001,1.927710843373494,1.2701499928209974
27,2,1047926,255,0,57.82,0.24,11.61,0.208,0.26327145267648705,0.004483301712244648,0.08299999999999999,0.05401568328005601,0.0749032258064516,0.4935872522347457,2.168674698795181,1.1828834352337982
27,2,1047968,255,0,64.65,0.33,14.39,0.25,0.3105083525678492,0.004429508181788022,0.08399999999999999,0.05273224025938122,0.09283870967741936,0.35791090629800326,1.9047619047619053,1.078575571874036
27,2,1048010,255,0,69.38,0.4,16.27,0.292,0.35387180071390606,0.0040557223745110865,0.08600000000000002,0.047159562494314945,0.10496774193548387,0.2453113278319579,1.395348837209302,0.9614595132928386
27,2,1048054,255,0,73.02,0.45,17.66,0.336,0.39319387071103334,0.003436161769504649,0.08500000000000002,0.040425432582407626,0.11393548387096775,0.18064516129032243,0.8235294117647051,0.8757039463729467
27,2,1048095,255,0,75.66,0.47,18.65,0.377,0.42830663615560655,0.002690844567014274,0.08299999999999996,0.03241981406041296,0.12032258064516128,0.13913719393703852,0.4819277108433735,0.7933530112405062
27,2,1048137,255,0,77.86,0.49,19.45,0.419,0.45904217064399533,0.001947436086863469,0.08300000000000002,0.02346308538389721,0.12548387096774194,0.10804508356004663,0.36144578313253034,0.7272634178425897
27,2,1048178,255,0,79.74,0.5,20.04,0.46,0.4886694998365415,0.001309434460222132,0.08300000000000002,0.01577631879785701,0.12929032258064516,0.08472600077730273,0.12048192771084346,0.6203696774676262
27,2,1048220,255,0,81.39,0.5,20.54,0.502,0.5105328538738083,0.0008379239957433384,0.08300000000000002,0.010095469828232992,0.13251612903225807,0.07695297318305482,0.12048192771084346,0.4147744951692963
27,2,1048261,255,0,82.93,0.51,21.03,0.543,0.5230957829355931,0.0005481688087483434,0.08199999999999996,0.0066849854725407765,0.1356774193548387,0.06215578284815088,0.12195121951219529,0.2072652468924143
27,2,1048302,255,0,84.14,0.51,21.33,0.584,0.5275286041189863,0.0004178993169130578,0.08299999999999996,0.005034931529072988,0.13761290322580644,0.05441119315973575,0.0,0.04742080449946054
27,2,1048344,255,0,85.46,0.51,21.73,0.626,0.5270317097090483,0.00040201056575431694,0.08300000000000007,0.004843500792220682,0.14019354838709677,0.054411193159736006,0.12048192771084337,-0.041985529565137424
27,2,1048385,255,0,86.67,0.52,22.03,0.667,0.5240438051650799,0.0004483391080343857,0.08499999999999996,0.005274577741581011,0.14212903225806453,0.044781783681214334,0.11764705882352956,-0.06380401130703897
27,2,1048429,255,0,87.78,0.52,22.32,0.711,0.52160836874795,0.0005105118770240437,0.08599999999999997,0.00593618461655865,0.144,0.04426106526631649,0.0,-0.03637759717797979
27,2,1048471,255,0,88.88,0.52,22.62,0.753,0.5209153318077736,0.000555767095589406,0.08300000000000007,0.006695989103486814,0.14593548387096775,0.03886513797123986,0.0,-0.010831163818397561
27,2,1048512,255,0,89.76,0.52,22.82,0.794,0.520709382151023,0.0005674728844060617,0.08299999999999996,0.006837022703687494,0.1472258064516129,0.038865137971239916,0.0,-0.0033084282208928756
27,2,1048554,255,0,90.64,0.52,23.12,0.836,0.5206407322654395,0.0005433825052737262,0.08299999999999996,0.006546777171972608,0.14916129032258066,0.038865137971239916,0.0,0.005907907537308133
27,2,1048595,255,0,91.52,0.52,23.32,0.877,0.5211997384766196,0.0004913026004394254,0.08200000000000007,0.00599149512731006,0.1504516129032258,0.030684500393390986,0.0,0.01706280547604351
27,2,1048636,255,0,92.29,0.52,23.51,0.918,0.5220398823144751,0.00042389612179614744,0.08299999999999996,0.005107182190315032,0.15167741935483872,0.03031480761756704,0.0,0.01571503404923982
27,2,1048678,255,0,93.06,0.52,23.71,0.96,0.5225040863027065,0.00035401142771873494,0.08299999999999985,0.0042651979243221155,0.15296774193548388,0.02331908278274378,0.0,0.023080225445751754
27,2,1048719,255,0,93.72,0.52,23.81,1.001,0.5239555410264725,0.0002914311875560749,0.08299999999999996,0.0035112191271816267,0.15361290322580645,0.015546055188495831,0.0,0.028869974832314255
27,2,1048761,255,0,94.38,0.52,23.91,1.043,0.5249002942137886,0.00024139924559870706,0.08600000000000008,0.0028069679720779867,0.15425806451612903,0.022505626406601493,0.11627906976744186,0.009198932619718837
27,2,1048805,255,0,95.04,0.53,24.11,1.087,0.5247466492317683,0.00020478130537213702,0.08499999999999996,0.0024091918279074954,0.15554838709677418,0.022770398481973632,0.11764705882352956,0.003922850604772234
27,2,1048846,255,0,95.48,0.53,24.21,1.128,0.5252337365151942,0.00017932272749318656,0.08200000000000007,0.0021868625304047123,0.1561935483870968,0.015735641227379908,-0.12195121951219512,0.012478173163555348
27,2,1048887,255,0,95.93,0.52,24.31,1.169,0.5257698594311798,0.00016129535516241233,0.08300000000000018,0.0019433175320772527,0.15683870967741934,0.01554605518849579,0.0,0.019850569325355862
27,2,1048929,255,0,96.26,0.53,24.41,1.211,0.5268813337691988,0.00014693572357998619,0.08299999999999996,0.0017703099226504368,0.15748387096774194,0.0077730275942482505,0.12048192771084354,0.016108894551727832
27,2,1048970,255,0,96.48,0.53,24.41,1.252,0.5271068976789732,0.00013337256717060696,0.08299999999999996,0.0016068983996458677,0.15748387096774194,0.007773027594247916,0.0,0.005238344683080386
27,2,1049012,255,0,96.7,0.53,24.51,1.294,0.5273161163778944,0.0001190218546122388,0.08299999999999996,0.0014339982483402272,0.15812903225806452,0.015546055188495831,0.0,0.004450623678105701
27,2,1049053,255,0,96.81,0.53,24.61,1.335,0.527476299444256,0.00010356237277257207,0.08299999999999996,0.0012477394309948447,0.1587741935483871,0.007773027594247916,0.0,0.002875181668157668
27,2,1049095,255,0,96.92,0.53,24.61,1.377,0.5275547564563515,8.76239124474587e-05,0.08600000000000008,0.001018882702877426,0.1587741935483871,0.0,-0.11627906976744186,0.0004941575374231368
27,2,1049139,255,0,97.03,0.52,24.61,1.421,0.5275187969924744,7.232488975382622e-05,0.08499999999999996,0.0008508810559273676,0.1587741935483871,0.007590132827324436,-0.11764705882352956,-0.0025767744168612434
27,2,1049180,255,0,97.03,0.52,24.71,1.462,0.5273357306309183,5.881059839934366e-05,0.08299999999999996,0.0007085614264981167,0.15941935483870967,0.007773027594247916,0.12048192771084354,0.0001575442009954721
27,2,1049222,255,0,97.03,0.53,24.71,1.504,0.527531873161157,4.791505347036207e-05,0.08299999999999996,0.000577289800847736,0.15941935483870967,0.0,0.12048192771084354,0.002560093266166724
27,2,1049263,255,0,97.03,0.53,24.71,1.545,0.5275482183720102,3.999848667630701e-05,0.08200000000000007,0.00048778642288179234,0.15941935483870967,0.0,0.0,0.002391982076080309
27,2,1049304,255,0,97.03,0.53,24.71,1.586,0.5277280156913956,3.495329987680762e-05,0.08299999999999996,0.0004211240949012968,0.15941935483870967,0.006995724834823291,-0.12048192771084354,-0.004568781828852639
27,2,1049346,255,0,97.03,0.52,24.8,1.628,0.5271690094802154,3.232829968143136e-05,0.08299999999999996,0.0003894975865232696,0.16,0.006995724834823291,0.0,-0.005159572582583319
27,2,1049387,255,0,97.03,0.53,24.8,1.669,0.5272997711670412,3.147897263292521e-05,0.08200000000000007,0.0003838899101576242,0.16,0.0,0.12195121951219512,0.004783964152161972
27,2,1049428,255,0,97.03,0.53,24.8,1.71,0.5275612945406927,3.165891677675603e-05,0.08199999999999985,0.0003860843509360499,0.16,0.0,0.0,0.014790422503766715
