MS, MPT, t (s), PWMi, PWMe, Pressure (Psi), LW (V), Displacement (mm)
30 ,  4 ,  116305 ,  74 ,  249 ,  28.42 ,  0.06 ,  6.05
30 ,  4 ,  116350 ,  74 ,  249 ,  26.77 ,  0.06 ,  5.66
30 ,  4 ,  116395 ,  74 ,  249 ,  25.11 ,  0.06 ,  5.16
30 ,  4 ,  116440 ,  45 ,  228 ,  23.79 ,  0.05 ,  4.76
30 ,  4 ,  116484 ,  45 ,  228 ,  23.24 ,  0.05 ,  4.56
30 ,  4 ,  116528 ,  45 ,  228 ,  23.02 ,  0.05 ,  4.46
30 ,  4 ,  116573 ,  210 ,  27 ,  22.91 ,  0.05 ,  4.37
30 ,  4 ,  116617 ,  210 ,  27 ,  23.02 ,  0.05 ,  4.37
30 ,  4 ,  116664 ,  210 ,  27 ,  28.75 ,  0.06 ,  4.76
30 ,  4 ,  116708 ,  61 ,  238 ,  34.91 ,  0.08 ,  6.05
30 ,  4 ,  116752 ,  61 ,  238 ,  34.91 ,  0.09 ,  6.35
30 ,  4 ,  116796 ,  61 ,  238 ,  34.58 ,  0.09 ,  6.35
30 ,  4 ,  116841 ,  39 ,  234 ,  33.92 ,  0.08 ,  6.35
30 ,  4 ,  116885 ,  39 ,  234 ,  33.04 ,  0.08 ,  6.25
30 ,  4 ,  116929 ,  39 ,  234 ,  32.49 ,  0.08 ,  6.15
30 ,  4 ,  116973 ,  65 ,  223 ,  31.94 ,  0.07 ,  6.15
30 ,  4 ,  117017 ,  65 ,  223 ,  31.61 ,  0.07 ,  6.15
30 ,  4 ,  117064 ,  65 ,  223 ,  31.50 ,  0.07 ,  6.05
30 ,  4 ,  117108 ,  244 ,  45 ,  31.39 ,  0.07 ,  6.15
30 ,  4 ,  117152 ,  244 ,  45 ,  32.05 ,  0.07 ,  6.05
30 ,  4 ,  117196 ,  244 ,  45 ,  42.18 ,  0.11 ,  7.64
30 ,  4 ,  117241 ,  236 ,  61 ,  51.54 ,  0.19 ,  10.52
30 ,  4 ,  117285 ,  236 ,  61 ,  58.15 ,  0.26 ,  13.00
30 ,  4 ,  117329 ,  236 ,  61 ,  62.67 ,  0.32 ,  14.68
30 ,  4 ,  117374 ,  21 ,  255 ,  65.97 ,  0.36 ,  15.88
30 ,  4 ,  117419 ,  21 ,  255 ,  63.11 ,  0.36 ,  15.88
30 ,  4 ,  117465 ,  21 ,  255 ,  55.51 ,  0.29 ,  14.39
30 ,  4 ,  117510 ,  3 ,  223 ,  48.68 ,  0.22 ,  12.50
30 ,  4 ,  117554 ,  3 ,  223 ,  44.72 ,  0.17 ,  11.01
30 ,  4 ,  117598 ,  3 ,  223 ,  41.85 ,  0.14 ,  10.12
30 ,  4 ,  117642 ,  238 ,  69 ,  39.54 ,  0.11 ,  9.33
30 ,  4 ,  117686 ,  238 ,  69 ,  39.65 ,  0.11 ,  9.13
30 ,  4 ,  117731 ,  238 ,  69 ,  45.82 ,  0.14 ,  9.82
30 ,  4 ,  117775 ,  233 ,  26 ,  52.98 ,  0.19 ,  11.81
30 ,  4 ,  117819 ,  233 ,  26 ,  58.48 ,  0.26 ,  13.59
30 ,  4 ,  117866 ,  233 ,  26 ,  62.56 ,  0.30 ,  14.98
30 ,  4 ,  117910 ,  242 ,  26 ,  65.31 ,  0.34 ,  15.97
30 ,  4 ,  117954 ,  242 ,  26 ,  68.06 ,  0.37 ,  16.77
30 ,  4 ,  117998 ,  242 ,  26 ,  70.60 ,  0.40 ,  17.56
30 ,  4 ,  118043 ,  225 ,  0 ,  72.80 ,  0.42 ,  18.16
30 ,  4 ,  118087 ,  225 ,  0 ,  73.57 ,  0.43 ,  18.55
30 ,  4 ,  118131 ,  225 ,  0 ,  74.01 ,  0.43 ,  18.75
30 ,  4 ,  118175 ,  40 ,  234 ,  74.45 ,  0.43 ,  18.95
30 ,  4 ,  118220 ,  40 ,  234 ,  72.03 ,  0.43 ,  18.95
30 ,  4 ,  118266 ,  40 ,  234 ,  65.86 ,  0.40 ,  17.66
30 ,  4 ,  118310 ,  64 ,  243 ,  60.35 ,  0.35 ,  16.27
30 ,  4 ,  118355 ,  64 ,  243 ,  55.18 ,  0.29 ,  14.78
30 ,  4 ,  118400 ,  64 ,  243 ,  50.66 ,  0.24 ,  13.30
30 ,  4 ,  118444 ,  31 ,  234 ,  46.81 ,  0.19 ,  11.91
30 ,  4 ,  118489 ,  31 ,  234 ,  43.72 ,  0.16 ,  10.81
30 ,  4 ,  118533 ,  31 ,  234 ,  41.19 ,  0.13 ,  10.02
30 ,  4 ,  118577 ,  227 ,  18 ,  38.88 ,  0.11 ,  9.43
30 ,  4 ,  118621 ,  227 ,  18 ,  39.21 ,  0.11 ,  9.33
30 ,  4 ,  118668 ,  227 ,  18 ,  43.95 ,  0.12 ,  9.62
30 ,  4 ,  118712 ,  234 ,  68 ,  49.56 ,  0.16 ,  11.21
30 ,  4 ,  118757 ,  234 ,  68 ,  54.96 ,  0.22 ,  12.80
30 ,  4 ,  118801 ,  234 ,  68 ,  59.36 ,  0.27 ,  14.19
30 ,  4 ,  118845 ,  237 ,  35 ,  62.89 ,  0.31 ,  15.38
30 ,  4 ,  118890 ,  237 ,  35 ,  65.86 ,  0.34 ,  16.27
30 ,  4 ,  118934 ,  237 ,  35 ,  68.28 ,  0.37 ,  17.07
30 ,  4 ,  118978 ,  238 ,  0 ,  70.27 ,  0.39 ,  17.66
30 ,  4 ,  119025 ,  238 ,  0 ,  72.14 ,  0.41 ,  18.26
30 ,  4 ,  119069 ,  238 ,  0 ,  73.79 ,  0.42 ,  18.65
30 ,  4 ,  119113 ,  61 ,  246 ,  75.00 ,  0.43 ,  19.05
30 ,  4 ,  119157 ,  61 ,  246 ,  71.70 ,  0.43 ,  18.95
30 ,  4 ,  119202 ,  61 ,  246 ,  63.99 ,  0.38 ,  17.36
30 ,  4 ,  119246 ,  245 ,  11 ,  56.83 ,  0.30 ,  15.48
30 ,  4 ,  119290 ,  245 ,  11 ,  56.83 ,  0.28 ,  14.98
30 ,  4 ,  119335 ,  245 ,  11 ,  60.90 ,  0.31 ,  15.58
30 ,  4 ,  119379 ,  255 ,  62 ,  66.19 ,  0.36 ,  16.87
30 ,  4 ,  119426 ,  255 ,  62 ,  71.70 ,  0.41 ,  18.16
30 ,  4 ,  119471 ,  255 ,  62 ,  76.54 ,  0.43 ,  19.35
30 ,  4 ,  119515 ,  32 ,  252 ,  80.07 ,  0.45 ,  20.24
30 ,  4 ,  119559 ,  32 ,  252 ,  75.33 ,  0.44 ,  19.94
30 ,  4 ,  119604 ,  32 ,  252 ,  65.31 ,  0.40 ,  17.96
30 ,  4 ,  119648 ,  56 ,  229 ,  55.84 ,  0.30 ,  15.48
30 ,  4 ,  119692 ,  56 ,  229 ,  49.78 ,  0.23 ,  13.39
30 ,  4 ,  119736 ,  56 ,  229 ,  45.60 ,  0.18 ,  11.81
30 ,  4 ,  119781 ,  51 ,  249 ,  42.07 ,  0.14 ,  10.62
30 ,  4 ,  119827 ,  51 ,  249 ,  38.00 ,  0.12 ,  9.62
30 ,  4 ,  119871 ,  51 ,  249 ,  34.58 ,  0.10 ,  8.43
30 ,  4 ,  119916 ,  220 ,  43 ,  31.50 ,  0.08 ,  7.34
30 ,  4 ,  119960 ,  220 ,  43 ,  31.94 ,  0.08 ,  7.14
30 ,  4 ,  120004 ,  220 ,  43 ,  37.23 ,  0.09 ,  7.54
30 ,  4 ,  120048 ,  70 ,  244 ,  43.17 ,  0.12 ,  9.03
30 ,  4 ,  120093 ,  70 ,  244 ,  43.06 ,  0.13 ,  9.33
30 ,  4 ,  120137 ,  70 ,  244 ,  41.08 ,  0.12 ,  9.13
30 ,  4 ,  120181 ,  15 ,  255 ,  38.66 ,  0.10 ,  8.83
30 ,  4 ,  120228 ,  15 ,  255 ,  35.80 ,  0.09 ,  8.14
30 ,  4 ,  120272 ,  15 ,  255 ,  33.15 ,  0.08 ,  7.44
30 ,  4 ,  120316 ,  229 ,  63 ,  30.73 ,  0.07 ,  6.75
30 ,  4 ,  120360 ,  229 ,  63 ,  30.84 ,  0.06 ,  6.65
30 ,  4 ,  120404 ,  229 ,  63 ,  37.78 ,  0.08 ,  7.34
30 ,  4 ,  120450 ,  46 ,  255 ,  45.16 ,  0.13 ,  9.33
30 ,  4 ,  120494 ,  46 ,  255 ,  44.94 ,  0.14 ,  9.72
30 ,  4 ,  120538 ,  46 ,  255 ,  41.41 ,  0.12 ,  9.33
30 ,  4 ,  120582 ,  50 ,  236 ,  37.56 ,  0.09 ,  8.43
30 ,  4 ,  120629 ,  50 ,  236 ,  35.02 ,  0.08 ,  7.74
30 ,  4 ,  120673 ,  50 ,  236 ,  33.04 ,  0.07 ,  7.24
30 ,  4 ,  120717 ,  34 ,  255 ,  31.39 ,  0.06 ,  6.75
30 ,  4 ,  120762 ,  34 ,  255 ,  29.30 ,  0.05 ,  6.25
30 ,  4 ,  120806 ,  34 ,  255 ,  27.32 ,  0.06 ,  5.75
30 ,  4 ,  120850 ,  45 ,  250 ,  25.66 ,  0.05 ,  5.26
30 ,  4 ,  120894 ,  45 ,  250 ,  24.12 ,  0.05 ,  4.86
30 ,  4 ,  120939 ,  45 ,  250 ,  22.80 ,  0.05 ,  4.46
30 ,  4 ,  120983 ,  12 ,  249 ,  21.70 ,  0.05 ,  4.17
30 ,  4 ,  121029 ,  12 ,  249 ,  20.60 ,  0.04 ,  3.97
30 ,  4 ,  121073 ,  12 ,  249 ,  19.83 ,  0.04 ,  3.67
30 ,  4 ,  121118 ,  34 ,  255 ,  18.95 ,  0.04 ,  3.47
30 ,  4 ,  121162 ,  34 ,  255 ,  18.18 ,  0.05 ,  3.27
30 ,  4 ,  121206 ,  34 ,  255 ,  17.29 ,  0.04 ,  3.08
30 ,  4 ,  121250 ,  78 ,  244 ,  16.63 ,  0.04 ,  2.98
30 ,  4 ,  121295 ,  78 ,  244 ,  16.19 ,  0.04 ,  2.78
30 ,  4 ,  121339 ,  78 ,  244 ,  15.97 ,  0.04 ,  2.68
30 ,  4 ,  121383 ,  34 ,  253 ,  15.75 ,  0.04 ,  2.68
30 ,  4 ,  121431 ,  34 ,  253 ,  15.31 ,  0.04 ,  2.58
30 ,  4 ,  121475 ,  34 ,  253 ,  14.87 ,  0.04 ,  2.48
30 ,  4 ,  121519 ,  39 ,  221 ,  14.43 ,  0.04 ,  2.38
30 ,  4 ,  121563 ,  39 ,  221 ,  14.43 ,  0.04 ,  2.28
30 ,  4 ,  121607 ,  39 ,  221 ,  14.43 ,  0.04 ,  2.28
30 ,  4 ,  121652 ,  20 ,  233 ,  14.54 ,  0.04 ,  2.28
30 ,  4 ,  121696 ,  20 ,  233 ,  14.43 ,  0.04 ,  2.28
30 ,  4 ,  121740 ,  20 ,  233 ,  14.54 ,  0.04 ,  2.28
30 ,  4 ,  121784 ,  229 ,  47 ,  14.54 ,  0.04 ,  2.18
30 ,  4 ,  121831 ,  229 ,  47 ,  16.74 ,  0.04 ,  2.18
30 ,  4 ,  121875 ,  229 ,  47 ,  27.98 ,  0.06 ,  3.57
30 ,  4 ,  121919 ,  221 ,  15 ,  38.22 ,  0.10 ,  5.95
30 ,  4 ,  121963 ,  221 ,  15 ,  45.05 ,  0.15 ,  8.04
30 ,  4 ,  122008 ,  221 ,  15 ,  49.45 ,  0.19 ,  9.72
30 ,  4 ,  122052 ,  233 ,  0 ,  52.76 ,  0.23 ,  10.91
30 ,  4 ,  122096 ,  233 ,  0 ,  55.95 ,  0.26 ,  12.10
30 ,  4 ,  122140 ,  233 ,  0 ,  58.92 ,  0.30 ,  13.30
30 ,  4 ,  122185 ,  224 ,  57 ,  61.35 ,  0.33 ,  14.19
30 ,  4 ,  122231 ,  224 ,  57 ,  63.00 ,  0.35 ,  14.88
30 ,  4 ,  122275 ,  224 ,  57 ,  64.21 ,  0.37 ,  15.38
30 ,  4 ,  122320 ,  233 ,  62 ,  65.31 ,  0.39 ,  15.78
30 ,  4 ,  122364 ,  233 ,  62 ,  66.63 ,  0.40 ,  16.27
30 ,  4 ,  122408 ,  233 ,  62 ,  68.06 ,  0.42 ,  16.77
30 ,  4 ,  122454 ,  247 ,  10 ,  69.38 ,  0.43 ,  17.16
30 ,  4 ,  122498 ,  247 ,  10 ,  71.48 ,  0.44 ,  17.76
30 ,  4 ,  122542 ,  247 ,  10 ,  74.23 ,  0.45 ,  18.45
30 ,  4 ,  122587 ,  243 ,  82 ,  76.43 ,  0.46 ,  19.15
30 ,  4 ,  122633 ,  243 ,  82 ,  78.19 ,  0.46 ,  19.74
30 ,  4 ,  122677 ,  243 ,  82 ,  79.63 ,  0.47 ,  20.04
