=====Start_data=====
Date: 13/02/2022, Time: 00:00
Notes: filter and calibrated data
Collection period (s): 30.00, Sampling Frequency (Hz): 50.00
Counter, Distance(mm)
0, 3.61, 4.89
1, 11.35, 15.39
2, 23.47, 31.68
3, 38.07, 51.12
4, 53.68, 71.69
5, 69.18, 91.96
6, 83.67, 110.84
7, 96.62, 127.70
8, 107.75, 142.21
9, 117.12, 154.29
10, 124.79, 164.02
11, 130.88, 171.67
12, 135.50, 177.49
13, 138.82, 181.76
14, 141.02, 184.73
15, 142.31, 186.66
16, 142.96, 187.82
17, 143.16, 188.40
18, 143.08, 188.57
19, 142.69, 188.31
20, 142.07, 187.70
21, 141.09, 186.62
22, 139.84, 185.17
23, 138.23, 183.32
24, 136.36, 181.22
25, 134.34, 178.99
26, 132.16, 176.59
27, 129.90, 174.12
28, 127.46, 171.45
29, 124.96, 168.68
30, 122.46, 165.91
31, 120.01, 163.14
32, 117.69, 160.45
33, 115.55, 158.02
34, 113.65, 155.93
35, 112.01, 154.26
36, 110.60, 152.89
37, 109.39, 151.76
38, 108.65, 150.95
39, 108.43, 150.48
40, 108.74, 150.34
41, 109.58, 150.63
42, 110.85, 151.29
43, 112.60, 152.59
44, 114.68, 154.43
45, 116.95, 156.69
46, 119.25, 159.10
47, 121.43, 161.48
48, 123.23, 163.74
49, 124.57, 165.80
50, 125.53, 167.77
51, 126.23, 169.63
52, 126.77, 171.37
53, 127.26, 172.90
54, 127.75, 174.16
55, 128.19, 174.99
56, 128.52, 175.38
57, 128.73, 175.36
58, 128.60, 174.91
59, 128.11, 174.08
60, 127.15, 172.81
61, 125.84, 171.20
62, 124.29, 169.37
63, 122.55, 167.19
64, 120.71, 164.72
65, 118.77, 162.10
66, 116.82, 159.54
67, 114.93, 157.18
68, 113.26, 155.06
69, 111.87, 153.21
70, 110.75, 151.53
71, 109.84, 150.01
72, 109.29, 148.91
73, 109.12, 148.32
74, 109.32, 148.26
75, 109.86, 148.82
76, 110.68, 149.91
77, 111.91, 151.58
78, 113.47, 153.66
79, 115.29, 155.98
80, 117.22, 158.53
81, 119.13, 161.16
82, 121.03, 163.80
83, 122.85, 166.30
84, 124.56, 168.58
85, 126.16, 170.56
86, 127.62, 172.25
87, 128.87, 173.55
88, 129.89, 174.47
89, 130.67, 175.04
90, 131.02, 175.12
91, 130.94, 174.73
92, 130.38, 173.76
93, 129.47, 172.33
94, 128.22, 170.48
95, 126.75, 168.40
96, 125.14, 166.22
97, 123.31, 164.04
98, 121.32, 161.95
99, 119.21, 159.88
100, 117.13, 157.85
101, 115.19, 155.91
102, 113.33, 154.18
103, 111.59, 152.71
104, 110.02, 151.59
105, 108.67, 150.81
106, 107.58, 150.32
107, 106.90, 150.12
108, 106.61, 150.16
109, 106.97, 150.63
110, 107.88, 151.51
111, 109.28, 152.73
112, 111.13, 154.41
113, 113.28, 156.44
114, 115.74, 158.73
115, 118.33, 161.05
116, 120.93, 163.26
117, 123.45, 165.41
118, 125.81, 167.48
119, 127.95, 169.43
120, 129.83, 171.20
121, 131.40, 172.59
122, 132.65, 173.57
123, 133.60, 174.11
124, 134.02, 174.14
125, 133.91, 173.71
126, 133.12, 172.81
127, 131.79, 171.59
128, 130.08, 170.17
129, 128.01, 168.44
130, 125.74, 166.47
131, 123.28, 164.26
132, 120.77, 161.98
133, 118.34, 159.74
134, 116.05, 157.60
135, 113.98, 155.61
136, 112.13, 153.78
137, 110.51, 152.15
138, 109.14, 150.73
139, 108.12, 149.60
140, 107.45, 148.74
141, 107.22, 148.34
142, 107.37, 148.37
143, 107.83, 149.02
144, 108.70, 150.17
145, 109.91, 151.71
146, 111.54, 153.63
147, 113.44, 155.82
148, 115.63, 158.19
149, 117.97, 160.57
150, 120.36, 162.85
151, 122.77, 165.10
152, 125.11, 167.29
153, 127.22, 169.42
154, 129.01, 171.41
155, 130.43, 173.21
156, 131.56, 174.54
157, 132.45, 175.35
158, 132.92, 175.45
159, 132.95, 174.94
160, 132.54, 173.95
161, 131.53, 172.51
162, 130.00, 170.75
163, 127.98, 168.73
164, 125.73, 166.61
165, 123.42, 164.34
166, 121.08, 162.01
167, 118.80, 159.68
168, 116.54, 157.42
169, 114.38, 155.31
170, 112.29, 153.34
171, 110.31, 151.53
172, 108.48, 149.92
173, 106.98, 148.66
174, 105.87, 147.78
175, 105.42, 147.47
176, 105.58, 147.67
177, 106.31, 148.30
178, 107.50, 149.46
179, 109.00, 151.03
180, 110.93, 153.06
181, 113.19, 155.38
182, 115.67, 157.84
183, 118.25, 160.45
184, 120.81, 163.13
185, 123.25, 165.77
186, 125.49, 168.24
187, 127.45, 170.44
188, 129.18, 172.43
189, 130.68, 174.24
190, 131.85, 175.57
191, 132.68, 176.35
192, 133.17, 176.43
193, 133.16, 175.94
194, 132.68, 175.01
195, 131.61, 173.66
196, 130.10, 172.02
197, 128.16, 169.98
198, 125.95, 167.68
199, 123.60, 165.24
200, 121.17, 162.76
201, 118.77, 160.37
202, 116.40, 158.01
203, 114.16, 155.72
204, 112.10, 153.55
205, 110.25, 151.65
206, 108.63, 150.08
207, 107.41, 148.93
208, 106.61, 148.15
209, 106.23, 147.70
210, 106.28, 147.64
211, 106.67, 147.93
212, 107.57, 148.72
213, 108.91, 149.93
214, 110.60, 151.69
215, 112.69, 153.85
216, 115.07, 156.28
217, 117.64, 158.83
218, 120.20, 161.34
219, 122.63, 163.72
220, 124.87, 165.89
221, 126.85, 167.79
222, 128.65, 169.59
223, 130.26, 171.31
224, 131.54, 172.76
225, 132.44, 173.85
226, 132.93, 174.52
227, 132.91, 174.55
228, 132.42, 174.00
229, 131.17, 172.81
230, 129.28, 171.19
231, 126.88, 169.29
232, 124.26, 167.23
233, 121.65, 165.11
234, 119.20, 162.90
235, 116.99, 160.68
236, 115.07, 158.49
237, 113.37, 156.48
238, 111.88, 154.71
239, 110.63, 153.09
240, 109.64, 151.58
241, 108.91, 150.34
242, 108.48, 149.42
243, 108.33, 148.86
244, 108.58, 148.93
245, 109.18, 149.61
246, 110.07, 150.94
247, 111.31, 152.68
248, 112.81, 154.67
249, 114.73, 156.94
250, 116.94, 159.39
251, 119.41, 161.96
252, 121.94, 164.51
253, 124.41, 166.90
254, 126.71, 168.96
255, 128.77, 170.62
256, 130.62, 171.96
257, 132.27, 173.07
258, 133.74, 174.00
259, 134.89, 174.78
260, 135.70, 175.44
261, 136.33, 176.12
262, 136.90, 176.84
263, 137.46, 177.62
264, 137.88, 178.29
265, 138.13, 178.81
266, 138.37, 179.07
267, 138.70, 179.11
268, 139.16, 179.01
269, 139.55, 178.81
270, 139.81, 178.58
271, 139.90, 178.49
272, 139.86, 178.59
273, 139.73, 178.87
274, 139.63, 179.24
275, 139.59, 179.65
276, 139.58, 179.93
277, 139.57, 180.04
278, 139.59, 179.87
279, 139.65, 179.48
280, 139.77, 178.91
281, 139.94, 178.28
282, 140.16, 177.65
283, 140.36, 177.09
284, 140.50, 176.63
285, 140.58, 176.27
286, 140.57, 175.98
287, 140.50, 175.73
288, 140.45, 175.63
289, 140.45, 175.68
290, 140.54, 175.90
291, 140.55, 176.22
292, 140.43, 176.59
293, 140.19, 176.92
294, 139.89, 177.19
295, 139.58, 177.53
296, 139.36, 177.97
297, 139.25, 178.56
298, 139.30, 179.07
299, 139.46, 179.44
300, 139.65, 179.57
301, 139.84, 179.49
302, 139.97, 179.25
303, 140.07, 178.81
304, 140.14, 178.18
305, 140.15, 177.52
306, 140.11, 176.92
307, 140.02, 176.45
308, 139.98, 176.18
309, 140.03, 176.10
310, 140.00, 176.28
311, 139.85, 176.67
312, 139.54, 177.23
313, 139.16, 177.77
314, 138.76, 178.21
315, 138.36, 178.54
316, 137.97, 178.78
317, 137.59, 179.09
318, 137.32, 179.51
319, 137.18, 180.04
320, 137.13, 180.60
321, 137.11, 181.13
322, 137.09, 181.60
323, 137.12, 182.01
324, 137.22, 182.35
325, 137.36, 182.62
326, 137.50, 182.83
327, 137.68, 182.93
