=====Start_data=====
Date: 23/01/2022, Time: 00:00
Notes: filter and calibrated data
Collection period (s): 180.00, Sampling Frequency (Hz): 50.00
Counter, Distance(mm)
0, 27.30, 4.57
1, 36.44, 14.38
2, 50.63, 29.60
3, 67.57, 47.78
4, 85.52, 67.06
5, 103.29, 85.96
6, 120.00, 103.54
7, 135.08, 119.28
8, 148.20, 132.93
9, 159.23, 144.34
10, 168.20, 153.54
11, 175.25, 160.65
12, 180.58, 165.92
13, 184.41, 169.62
14, 186.99, 172.23
15, 188.56, 174.05
16, 189.37, 175.14
17, 189.61, 175.56
18, 189.49, 175.45
19, 189.13, 175.00
20, 188.65, 174.36
21, 188.13, 173.60
22, 187.63, 172.79
23, 187.13, 171.98
24, 186.61, 171.25
25, 186.10, 170.61
26, 185.63, 170.19
27, 185.24, 169.99
28, 184.91, 169.93
29, 184.62, 169.93
30, 184.36, 169.94
31, 184.15, 169.97
32, 183.96, 170.03
33, 183.85, 170.00
34, 183.80, 169.83
35, 183.84, 169.61
36, 183.97, 169.42
37, 184.15, 169.32
38, 184.29, 169.40
39, 184.33, 169.64
40, 184.41, 169.91
41, 184.59, 170.12
42, 184.90, 170.20
43, 185.21, 170.36
44, 185.44, 170.64
45, 185.53, 170.96
46, 185.51, 171.24
47, 185.39, 171.42
48, 185.16, 171.56
49, 184.81, 171.66
50, 184.45, 171.78
51, 184.12, 171.91
52, 183.86, 172.06
53, 183.70, 172.17
54, 183.62, 172.20
55, 183.60, 172.19
56, 183.59, 172.16
57, 183.75, 172.13
58, 184.07, 172.13
59, 184.57, 172.16
60, 185.06, 172.17
61, 185.44, 172.15
62, 185.70, 172.09
63, 185.87, 172.04
64, 186.00, 172.00
65, 186.11, 172.00
66, 186.22, 172.03
67, 186.30, 172.03
68, 186.36, 171.96
69, 186.37, 171.81
70, 186.32, 171.61
71, 186.21, 171.38
72, 186.00, 171.22
73, 185.69, 171.17
74, 185.31, 171.23
75, 185.00, 171.37
76, 184.84, 171.55
77, 184.81, 171.65
78, 184.86, 171.63
79, 184.94, 171.48
80, 185.06, 171.29
81, 185.18, 171.12
82, 185.27, 171.02
83, 185.32, 170.99
84, 185.35, 171.02
85, 185.39, 171.09
86, 185.44, 171.19
87, 185.56, 171.33
88, 185.75, 171.51
89, 185.92, 171.74
90, 186.02, 172.00
91, 186.02, 172.30
92, 185.95, 172.49
93, 185.84, 172.54
94, 185.70, 172.47
95, 185.55, 172.33
96, 185.41, 172.16
97, 185.24, 172.06
98, 185.05, 172.05
99, 184.86, 172.04
100, 184.72, 171.98
101, 184.61, 171.83
102, 184.52, 171.74
103, 184.41, 171.74
104, 184.36, 171.75
105, 184.37, 171.72
106, 184.46, 171.61
107, 184.54, 171.58
108, 184.57, 171.67
109, 184.54, 171.83
110, 184.47, 172.00
111, 184.50, 172.03
112, 184.65, 171.94
113, 184.94, 171.71
114, 185.29, 171.41
115, 185.63, 171.07
116, 185.98, 170.72
117, 186.32, 170.38
118, 186.66, 170.07
119, 186.91, 169.90
120, 187.06, 169.90
121, 187.05, 170.03
122, 186.88, 170.25
123, 186.59, 170.49
124, 186.25, 170.66
125, 185.92, 170.73
126, 185.57, 170.72
127, 185.18, 170.65
128, 184.77, 170.57
129, 184.39, 170.49
130, 184.06, 170.40
131, 183.84, 170.37
132, 183.72, 170.41
133, 183.68, 170.53
134, 183.72, 170.71
135, 183.79, 170.95
136, 183.96, 171.15
137, 184.21, 171.26
138, 184.50, 171.28
139, 184.79, 171.22
140, 185.06, 171.11
141, 185.25, 170.98
142, 185.38, 170.83
143, 185.46, 170.71
144, 185.53, 170.63
145, 185.59, 170.59
146, 185.59, 170.56
147, 185.51, 170.52
148, 185.45, 170.49
149, 185.44, 170.49
150, 185.52, 170.51
151, 185.53, 170.58
152, 185.43, 170.69
153, 185.21, 170.81
154, 184.91, 170.92
155, 184.56, 171.00
156, 184.30, 170.98
157, 184.16, 170.84
158, 184.09, 170.65
159, 184.04, 170.45
160, 184.02, 170.29
161, 184.02, 170.19
162, 184.06, 170.14
163, 184.16, 170.16
164, 184.30, 170.22
165, 184.46, 170.35
166, 184.59, 170.56
167, 184.70, 170.84
168, 184.83, 171.09
169, 185.01, 171.30
170, 185.21, 171.34
171, 185.41, 171.23
172, 185.56, 170.99
173, 185.72, 170.68
174, 185.88, 170.36
175, 186.09, 170.01
176, 186.33, 169.63
177, 186.59, 169.23
178, 186.76, 168.93
179, 186.82, 168.78
180, 186.81, 168.74
181, 186.79, 168.75
182, 186.78, 168.77
183, 186.75, 168.83
184, 186.70, 168.91
185, 186.59, 169.01
186, 186.43, 169.08
187, 186.23, 169.13
188, 186.01, 169.19
189, 185.78, 169.26
190, 185.63, 169.29
191, 185.57, 169.27
192, 185.63, 169.25
193, 185.79, 169.24
194, 186.03, 169.28
195, 186.28, 169.31
196, 186.50, 169.34
197, 186.72, 169.34
198, 186.93, 169.32
199, 187.14, 169.29
200, 187.19, 169.22
201, 187.05, 169.13
202, 186.77, 169.03
203, 186.43, 168.94
204, 186.10, 168.88
205, 185.89, 168.85
206, 185.82, 168.83
207, 185.77, 168.78
208, 185.68, 168.67
209, 185.50, 168.51
210, 185.31, 168.39
211, 185.13, 168.36
212, 184.98, 168.37
213, 184.86, 168.38
214, 184.80, 168.37
215, 184.80, 168.37
216, 184.86, 168.39
217, 184.92, 168.44
218, 184.97, 168.50
219, 185.03, 168.54
220, 185.09, 168.56
221, 185.18, 168.54
222, 185.25, 168.55
223, 185.28, 168.61
224, 185.28, 168.67
225, 185.24, 168.71
226, 185.19, 168.69
227, 185.14, 168.62
228, 185.07, 168.49
229, 185.04, 168.43
230, 185.05, 168.48
231, 185.09, 168.64
232, 185.17, 168.85
233, 185.26, 169.08
234, 185.41, 169.26
235, 185.64, 169.38
236, 185.93, 169.45
237, 186.16, 169.48
238, 186.29, 169.47
239, 186.33, 169.49
240, 186.31, 169.56
241, 186.28, 169.60
242, 186.23, 169.59
243, 186.18, 169.50
244, 185.98, 169.35
245, 185.60, 169.17
246, 184.90, 168.88
247, 183.93, 168.47
248, 182.75, 167.94
249, 181.58, 167.39
250, 180.51, 166.86
251, 179.69, 166.47
252, 179.11, 166.24
253, 178.77, 166.17
254, 178.54, 166.33
255, 178.38, 166.69
256, 178.31, 167.12
257, 178.32, 167.52
258, 178.44, 167.82
259, 178.46, 168.00
260, 178.35, 168.04
261, 177.91, 167.74
262, 177.20, 167.12
263, 176.23, 166.20
264, 175.11, 165.22
265, 173.93, 164.31
266, 172.66, 163.58
267, 171.32, 163.02
268, 169.87, 162.49
269, 168.35, 161.95
270, 166.84, 161.36
271, 165.53, 160.79
272, 164.49, 160.28
273, 163.45, 159.86
274, 162.32, 159.52
275, 161.03, 159.25
276, 160.13, 159.18
277, 159.75, 159.33
278, 160.13, 159.78
279, 161.09, 160.49
280, 162.48, 161.38
281, 164.10, 162.39
282, 165.79, 163.44
283, 167.42, 164.52
284, 168.90, 165.60
285, 170.17, 166.65
286, 171.24, 167.59
287, 172.11, 168.39
288, 172.84, 168.95
289, 173.48, 169.29
290, 174.02, 169.40
291, 174.44, 169.43
292, 174.74, 169.44
293, 174.85, 169.37
294, 174.77, 169.19
295, 174.47, 168.79
296, 173.99, 168.20
297, 173.38, 167.46
298, 172.53, 166.59
299, 171.47, 165.66
300, 170.29, 164.65
301, 169.11, 163.61
302, 168.04, 162.59
303, 167.03, 161.57
304, 166.09, 160.58
305, 165.10, 159.62
306, 164.06, 158.71
307, 162.99, 157.88
308, 161.95, 157.14
309, 160.99, 156.51
310, 160.41, 156.33
311, 160.25, 156.66
312, 160.55, 157.49
313, 161.29, 158.56
314, 162.39, 159.69
315, 163.78, 160.85
316, 165.31, 162.00
317, 166.79, 163.13
318, 168.10, 164.29
319, 169.19, 165.46
320, 170.18, 166.60
321, 171.10, 167.65
322, 171.96, 168.59
323, 172.72, 169.42
324, 173.35, 170.14
325, 173.89, 170.56
326, 174.35, 170.64
327, 174.68, 170.32
328, 174.87, 169.69
329, 174.93, 168.84
330, 174.68, 167.85
331, 174.12, 166.81
332, 173.18, 165.82
333, 171.97, 164.95
334, 170.60, 164.23
335, 169.12, 163.53
336, 167.63, 162.81
337, 166.13, 162.02
338, 164.70, 161.22
339, 163.38, 160.42
340, 162.14, 159.71
341, 161.01, 159.11
342, 160.09, 158.60
343, 159.43, 158.17
344, 159.23, 157.81
345, 159.46, 157.75
346, 160.06, 158.03
347, 160.99, 158.71
348, 162.14, 159.65
349, 163.39, 160.81
350, 164.64, 162.09
351, 165.81, 163.41
352, 166.91, 164.60
353, 167.94, 165.61
354, 168.99, 166.44
355, 170.03, 167.14
356, 171.07, 167.72
357, 172.01, 168.28
358, 172.82, 168.83
359, 173.54, 169.15
360, 174.19, 169.16
361, 174.79, 168.84
362, 175.23, 168.25
363, 175.48, 167.47
364, 175.34, 166.56
365, 174.82, 165.58
366, 173.96, 164.60
367, 172.78, 163.69
368, 171.39, 162.89
369, 169.73, 162.10
370, 167.93, 161.29
371, 166.14, 160.44
372, 164.50, 159.57
373, 163.11, 158.74
374, 161.84, 158.03
375, 160.66, 157.50
376, 159.67, 157.28
377, 158.92, 157.37
378, 158.45, 157.73
379, 158.38, 158.46
380, 158.68, 159.49
381, 159.61, 160.64
382, 161.10, 161.74
383, 163.04, 162.69
384, 165.05, 163.61
385, 166.92, 164.53
386, 168.54, 165.42
387, 169.93, 166.20
388, 171.09, 166.85
389, 172.09, 167.42
390, 172.95, 167.93
391, 173.73, 168.34
392, 174.42, 168.64
393, 175.04, 168.81
394, 175.51, 168.81
395, 175.81, 168.65
396, 175.81, 168.45
397, 175.51, 168.28
398, 174.83, 168.20
399, 173.86, 167.98
400, 172.67, 167.55
