=====Start_data=====
Date: 23/01/2022, Time: 00:00
Notes: filter and calibrated data
Collection period (s): 180.00, Sampling Frequency (Hz): 50.00
Counter, Distance(mm)
0, 3.12, 4.73
1, 13.82, 14.88
2, 30.41, 30.67
3, 50.23, 49.55
4, 71.19, 69.62
5, 91.82, 89.46
6, 111.10, 108.10
7, 128.43, 124.88
8, 143.50, 139.43
9, 156.14, 151.59
10, 166.41, 161.39
11, 174.43, 168.98
12, 180.35, 174.63
13, 184.43, 178.60
14, 187.05, 181.28
15, 188.56, 182.94
16, 189.24, 183.84
17, 189.27, 184.15
18, 188.83, 184.05
19, 188.12, 183.62
20, 187.27, 182.99
21, 186.19, 182.09
22, 184.88, 180.98
23, 183.39, 179.73
24, 181.73, 178.25
25, 180.00, 176.60
26, 178.12, 174.74
27, 176.16, 172.80
28, 174.17, 170.86
29, 172.10, 169.00
30, 170.00, 167.29
31, 167.82, 165.75
32, 165.67, 164.41
33, 163.62, 163.30
34, 161.82, 162.26
35, 160.33, 161.26
36, 159.20, 160.42
37, 158.41, 159.79
38, 157.92, 159.41
39, 157.90, 159.34
40, 158.34, 159.54
41, 159.28, 160.10
42, 160.55, 160.96
43, 162.30, 162.13
44, 164.44, 163.48
45, 166.87, 164.94
46, 169.24, 166.48
47, 171.37, 168.02
48, 173.15, 169.56
49, 174.59, 171.02
50, 175.70, 172.36
51, 176.61, 173.58
52, 177.35, 174.65
53, 178.12, 175.50
54, 178.94, 176.11
55, 179.81, 176.48
56, 180.43, 176.50
57, 180.72, 176.19
58, 180.53, 175.51
59, 179.96, 174.57
60, 179.11, 173.45
61, 177.81, 172.16
62, 176.13, 170.76
63, 174.11, 169.27
64, 171.92, 167.75
65, 169.65, 166.14
66, 167.42, 164.48
67, 165.28, 162.81
68, 163.27, 161.22
69, 161.40, 159.78
70, 159.78, 158.62
71, 158.45, 157.77
72, 157.44, 157.24
73, 156.94, 157.23
74, 156.96, 157.72
75, 157.74, 158.85
76, 159.16, 160.47
77, 161.09, 162.43
78, 163.31, 164.43
79, 165.64, 166.28
80, 168.00, 167.94
81, 170.29, 169.40
82, 172.46, 170.67
83, 174.48, 171.85
84, 176.33, 172.94
85, 177.83, 173.93
86, 178.90, 174.76
87, 179.54, 175.41
88, 179.97, 175.84
89, 180.31, 176.07
90, 180.35, 175.93
91, 180.05, 175.46
92, 179.19, 174.53
93, 177.91, 173.29
94, 176.31, 171.81
95, 174.47, 170.11
96, 172.50, 168.29
97, 170.32, 166.39
98, 168.02, 164.51
99, 165.66, 162.74
100, 163.40, 161.14
101, 161.33, 159.74
102, 159.49, 158.56
103, 157.92, 157.60
104, 156.62, 156.84
105, 155.76, 156.31
106, 155.33, 156.01
107, 155.51, 156.20
108, 156.17, 156.86
109, 157.24, 157.98
110, 158.79, 159.33
111, 160.70, 160.75
112, 163.11, 162.26
113, 165.84, 163.83
114, 168.75, 165.42
115, 171.64, 166.99
116, 174.36, 168.50
117, 176.82, 170.01
118, 178.96, 171.49
119, 180.69, 172.91
120, 182.00, 174.18
121, 182.92, 175.28
122, 183.52, 176.01
123, 183.85, 176.35
124, 183.74, 176.27
125, 183.19, 175.89
126, 182.25, 175.32
127, 180.90, 174.41
128, 179.26, 173.22
129, 177.26, 171.71
130, 175.05, 170.01
131, 172.74, 168.23
132, 170.38, 166.46
133, 168.05, 164.79
134, 165.82, 163.14
135, 163.78, 161.55
136, 161.98, 160.04
137, 160.48, 158.70
138, 159.28, 157.60
139, 158.46, 156.93
140, 157.97, 156.68
141, 157.78, 157.04
142, 158.09, 157.89
143, 158.88, 159.13
144, 160.17, 160.66
145, 161.78, 162.36
146, 163.74, 164.14
147, 165.93, 165.90
148, 168.25, 167.57
149, 170.57, 169.19
150, 172.79, 170.74
151, 174.84, 172.27
152, 176.66, 173.73
153, 178.21, 175.09
154, 179.47, 176.27
155, 180.43, 177.26
156, 181.08, 177.86
157, 181.46, 178.07
158, 181.61, 177.88
159, 181.28, 177.28
160, 180.46, 176.33
161, 179.12, 175.04
162, 177.45, 173.53
163, 175.61, 171.91
164, 173.63, 170.19
165, 171.61, 168.44
166, 169.54, 166.65
167, 167.52, 164.91
168, 165.61, 163.17
169, 163.80, 161.45
170, 162.12, 159.80
171, 160.56, 158.33
172, 159.14, 157.09
173, 158.13, 156.25
174, 157.58, 155.79
175, 157.51, 155.70
176, 157.96, 156.02
177, 158.83, 156.70
178, 160.25, 157.81
179, 162.09, 159.22
180, 164.23, 160.84
181, 166.50, 162.60
182, 168.76, 164.40
183, 170.98, 166.18
184, 173.09, 167.84
185, 175.04, 169.33
186, 176.71, 170.74
187, 178.05, 172.06
188, 179.13, 173.33
189, 180.00, 174.50
190, 180.72, 175.57
191, 181.08, 176.34
192, 181.06, 176.78
193, 180.53, 176.78
194, 179.60, 176.42
195, 178.37, 175.66
196, 176.81, 174.62
197, 175.03, 173.37
198, 173.01, 171.86
199, 170.92, 170.16
200, 168.84, 168.23
201, 166.88, 166.22
202, 165.11, 164.20
203, 163.39, 162.38
204, 161.72, 160.83
205, 160.07, 159.43
206, 158.53, 158.13
207, 157.15, 156.90
208, 156.06, 156.01
209, 155.28, 155.53
210, 155.14, 155.62
211, 155.61, 156.18
212, 156.64, 157.09
213, 158.36, 158.42
214, 160.65, 160.08
215, 163.36, 162.09
216, 166.20, 164.30
217, 168.97, 166.49
218, 171.49, 168.53
219, 173.70, 170.30
220, 175.65, 171.90
221, 177.38, 173.35
222, 178.90, 174.61
223, 180.24, 175.65
224, 181.39, 176.45
225, 182.09, 176.91
226, 182.29, 177.04
227, 181.81, 176.72
228, 180.80, 176.05
229, 179.37, 175.09
230, 177.73, 173.80
231, 176.03, 172.25
232, 174.14, 170.46
233, 172.08, 168.57
234, 169.89, 166.67
235, 167.76, 164.88
236, 165.81, 163.26
237, 163.90, 161.71
238, 162.00, 160.22
239, 160.11, 158.79
240, 158.47, 157.54
241, 157.17, 156.49
242, 156.45, 155.74
243, 156.28, 155.25
244, 156.62, 155.34
245, 157.47, 156.02
246, 158.72, 157.24
247, 160.48, 158.76
248, 162.62, 160.38
249, 165.01, 162.11
250, 167.56, 163.89
251, 170.13, 165.68
252, 172.60, 167.48
253, 174.85, 169.26
254, 176.81, 171.02
255, 178.46, 172.71
256, 179.80, 174.28
257, 180.82, 175.50
258, 181.55, 176.32
259, 181.87, 176.64
260, 181.81, 176.54
261, 181.43, 176.13
262, 180.66, 175.45
263, 179.57, 174.61
