=====Start_data=====
Date: 13/02/2022, Time: 00:00
Notes: filter and calibrated data
Collection period (s): 60.00, Sampling Frequency (Hz): 50.00
Counter, Distance(mm)
0, 3.66, 4.84
1, 11.63, 15.25
2, 24.07, 31.44
3, 38.96, 50.81
4, 54.73, 71.36
5, 70.23, 91.62
6, 84.67, 110.59
7, 97.55, 127.66
8, 108.72, 142.44
9, 118.12, 154.82
10, 125.83, 164.85
11, 131.96, 172.73
12, 136.68, 178.73
13, 140.13, 183.11
14, 142.51, 186.12
15, 143.98, 188.01
16, 144.81, 189.04
17, 145.15, 189.42
18, 145.07, 189.19
19, 144.63, 188.46
20, 143.86, 187.33
21, 142.88, 185.99
22, 141.76, 184.57
23, 140.38, 182.95
24, 138.77, 181.18
25, 136.85, 179.16
26, 134.76, 176.99
27, 132.61, 174.78
28, 130.44, 172.66
29, 128.30, 170.71
30, 126.22, 168.87
31, 124.29, 167.17
32, 122.55, 165.59
33, 121.11, 164.02
34, 120.00, 162.47
35, 119.09, 160.82
36, 118.30, 159.14
37, 117.57, 157.48
38, 117.13, 156.26
39, 117.04, 155.59
40, 117.34, 155.70
41, 117.93, 156.45
42, 118.73, 157.70
43, 119.89, 159.34
44, 121.37, 161.22
45, 123.01, 163.25
46, 124.60, 165.29
47, 125.97, 167.23
48, 127.11, 169.01
49, 128.01, 170.58
50, 128.80, 171.99
51, 129.52, 173.26
52, 130.22, 174.57
53, 130.77, 175.51
54, 131.16, 176.02
55, 131.26, 176.00
56, 131.11, 175.61
57, 130.73, 174.99
58, 130.04, 173.99
59, 129.11, 172.66
60, 128.00, 170.98
61, 126.83, 169.09
62, 125.70, 167.12
63, 124.55, 164.98
64, 123.39, 162.74
65, 122.11, 160.62
66, 120.73, 158.79
67, 119.38, 157.18
68, 118.16, 155.70
69, 117.14, 154.31
70, 116.28, 153.18
71, 115.57, 152.37
72, 115.25, 152.15
73, 115.37, 152.50
74, 115.91, 153.36
75, 116.88, 154.67
76, 118.18, 156.28
77, 119.75, 158.22
78, 121.44, 160.36
79, 123.14, 162.59
80, 124.77, 164.89
81, 126.29, 167.20
82, 127.79, 169.36
83, 129.27, 171.27
84, 130.72, 172.87
85, 131.99, 174.15
86, 133.03, 175.15
87, 133.78, 175.97
88, 134.28, 176.67
89, 134.56, 177.29
90, 134.60, 177.49
91, 134.42, 177.23
92, 133.84, 176.37
93, 132.91, 175.07
94, 131.67, 173.32
95, 130.29, 171.29
96, 128.88, 169.10
97, 127.44, 167.00
98, 126.02, 165.12
99, 124.57, 163.42
100, 123.14, 161.88
101, 121.75, 160.49
102, 120.34, 159.20
103, 118.92, 158.00
104, 117.71, 157.02
105, 116.83, 156.33
106, 116.32, 155.93
107, 116.19, 155.87
108, 116.37, 156.10
109, 117.01, 156.81
110, 118.05, 157.96
111, 119.41, 159.45
112, 120.96, 161.28
113, 122.57, 163.32
114, 124.23, 165.53
115, 125.87, 167.78
116, 127.46, 169.92
117, 128.98, 171.87
118, 130.39, 173.57
119, 131.67, 174.83
120, 132.81, 175.65
121, 133.83, 176.10
122, 134.74, 176.32
123, 135.55, 176.41
124, 136.01, 176.31
125, 136.08, 176.05
126, 135.56, 175.44
127, 134.57, 174.51
128, 133.20, 173.29
129, 131.59, 171.86
130, 129.87, 170.32
131, 128.08, 168.61
132, 126.31, 166.80
133, 124.63, 164.96
134, 122.99, 163.11
135, 121.42, 161.31
136, 119.86, 159.69
137, 118.38, 158.31
138, 117.00, 157.36
139, 115.95, 156.82
140, 115.29, 156.66
141, 115.15, 157.00
142, 115.46, 157.77
143, 116.14, 158.99
144, 117.25, 160.50
145, 118.70, 162.17
146, 120.49, 164.03
147, 122.44, 166.00
148, 124.47, 168.07
149, 126.49, 170.14
150, 128.41, 172.11
151, 130.11, 173.89
152, 131.53, 175.42
153, 132.74, 176.64
154, 133.78, 177.53
155, 134.68, 178.13
156, 135.43, 178.44
157, 136.04, 178.49
158, 136.31, 178.13
159, 136.21, 177.39
160, 135.76, 176.32
161, 134.81, 174.88
162, 133.44, 173.17
163, 131.70, 171.27
164, 129.81, 169.33
165, 127.90, 167.27
166, 126.12, 165.11
167, 124.53, 162.89
168, 122.98, 160.87
169, 121.46, 159.13
170, 119.97, 157.67
171, 118.59, 156.43
172, 117.38, 155.39
173, 116.54, 154.66
174, 116.09, 154.26
175, 116.17, 154.42
176, 116.69, 155.08
177, 117.55, 156.19
178, 118.71, 157.59
179, 120.08, 159.16
180, 121.61, 161.00
181, 123.22, 163.03
182, 124.82, 165.21
183, 126.45, 167.44
184, 128.10, 169.64
185, 129.64, 171.70
186, 131.00, 173.56
187, 132.11, 175.14
188, 133.10, 176.49
189, 134.00, 177.61
190, 134.76, 178.33
191, 135.35, 178.65
192, 135.75, 178.44
193, 135.77, 177.79
194, 135.42, 176.82
195, 134.46, 175.51
196, 132.99, 173.95
197, 131.24, 172.03
198, 129.45, 169.86
199, 127.80, 167.55
200, 126.17, 165.21
201, 124.56, 162.94
202, 122.90, 160.87
203, 121.25, 159.09
204, 119.65, 157.61
205, 118.14, 156.41
206, 116.78, 155.46
207, 115.83, 154.90
208, 115.36, 154.74
209, 115.39, 154.96
210, 115.87, 155.62
211, 116.69, 156.66
212, 117.85, 158.18
213, 119.21, 160.05
214, 120.69, 162.16
215, 122.36, 164.29
216, 124.16, 166.32
217, 126.09, 168.18
218, 128.01, 169.84
219, 129.83, 171.43
220, 131.47, 172.98
221, 132.87, 174.50
222, 134.07, 175.83
223, 135.10, 176.91
224, 135.89, 177.60
225, 136.44, 177.90
226, 136.75, 177.85
227, 136.66, 177.42
228, 136.19, 176.69
229, 135.26, 175.44
230, 134.00, 173.77
231, 132.54, 171.75
232, 130.89, 169.60
233, 129.16, 167.48
234, 127.27, 165.32
235, 125.30, 163.18
236, 123.31, 161.08
237, 121.35, 159.18
238, 119.45, 157.54
239, 117.76, 156.07
240, 116.33, 154.73
241, 115.20, 153.48
242, 114.56, 152.66
243, 114.40, 152.33
244, 114.88, 152.78
245, 115.88, 153.88
246, 117.28, 155.59
247, 118.94, 157.68
248, 120.73, 159.96
249, 122.63, 162.40
250, 124.57, 164.87
251, 126.55, 167.27
252, 128.46, 169.49
253, 130.26, 171.45
254, 131.88, 173.12
255, 133.29, 174.50
256, 134.50, 175.67
257, 135.52, 176.69
258, 136.37, 177.58
259, 136.92, 178.17
260, 137.17, 178.45
261, 136.93, 178.24
262, 136.27, 177.63
263, 135.26, 176.68
264, 133.95, 175.32
265, 132.44, 173.61
266, 130.62, 171.60
267, 128.56, 169.48
268, 126.34, 167.28
269, 124.07, 165.08
270, 121.86, 162.94
271, 119.84, 160.99
272, 118.08, 159.29
273, 116.63, 157.77
274, 115.50, 156.39
275, 114.67, 155.13
276, 114.35, 154.25
277, 114.51, 153.77
