=====Start_data=====
Date: 13/02/2022, Time: 00:00
Notes: filter and calibrated data
Collection period (s): 60.00, Sampling Frequency (Hz): 50.00
Counter, Distance(mm)
259, 136.16, 178.23
260, 135.99, 178.06
261, 135.55, 177.43
262, 134.81, 176.38
263, 133.84, 174.99
264, 132.63, 173.38
265, 131.29, 171.66
266, 129.78, 169.70
267, 128.16, 167.56
268, 126.48, 165.28
269, 124.85, 163.02
270, 123.34, 160.91
271, 122.02, 158.95
272, 120.92, 157.18
273, 120.05, 155.61
274, 119.47, 154.20
275, 119.15, 152.97
276, 119.16, 152.27
277, 119.44, 152.16
278, 119.93, 152.85
279, 120.63, 154.16
280, 121.47, 155.92
281, 122.54, 158.02
282, 123.79, 160.29
283, 125.15, 162.74
284, 126.61, 165.27
285, 128.09, 167.77
286, 129.52, 170.04
287, 130.84, 172.00
288, 131.98, 173.69
289, 133.07, 175.15
290, 134.14, 176.44
291, 135.10, 177.40
292, 135.87, 178.01
293, 136.29, 178.12
294, 136.36, 177.79
295, 136.13, 177.08
296, 135.50, 176.05
297, 134.54, 174.79
298, 133.28, 173.33
299, 131.86, 171.78
300, 130.39, 170.23
301, 128.89, 168.46
302, 127.40, 166.49
303, 125.90, 164.33
304, 124.46, 162.16
305, 123.11, 160.09
306, 121.83, 158.21
307, 120.65, 156.57
308, 119.71, 155.22
309, 119.05, 154.18
310, 118.69, 153.77
311, 118.62, 153.97
312, 118.78, 154.76
313, 119.35, 156.09
314, 120.31, 157.84
315, 121.61, 159.82
316, 123.07, 161.84
317, 124.57, 163.74
318, 126.13, 165.67
319, 127.70, 167.63
320, 129.37, 169.59
321, 131.10, 171.42
322, 132.84, 173.06
323, 134.42, 174.63
324, 135.75, 176.15
325, 136.67, 177.37
326, 137.19, 178.18
327, 137.33, 178.36
328, 137.09, 178.01
329, 136.54, 177.24
330, 135.73, 176.09
331, 134.76, 174.70
332, 133.72, 173.04
333, 132.57, 171.24
334, 131.37, 169.37
335, 130.05, 167.27
336, 128.68, 164.97
337, 127.31, 162.61
338, 125.96, 160.39
339, 124.67, 158.43
340, 123.36, 156.80
341, 122.04, 155.50
342, 120.74, 154.55
343, 119.63, 153.94
344, 118.77, 153.63
345, 118.36, 153.74
346, 118.39, 154.27
347, 118.82, 155.29
348, 119.55, 156.67
349, 120.50, 158.30
350, 121.80, 160.17
351, 123.40, 162.19
352, 125.20, 164.35
353, 127.01, 166.51
354, 128.70, 168.64
355, 130.31, 170.66
356, 131.81, 172.52
357, 133.13, 174.22
358, 134.24, 175.75
359, 135.11, 176.89
360, 135.66, 177.59
361, 135.91, 177.83
362, 135.82, 177.58
363, 135.47, 176.93
364, 134.93, 175.88
365, 134.19, 174.59
366, 133.28, 173.18
367, 132.23, 171.61
368, 131.12, 169.97
369, 130.01, 168.09
370, 128.84, 166.06
371, 127.61, 163.94
372, 126.26, 161.69
373, 124.86, 159.36
374, 123.46, 157.10
375, 122.13, 155.04
376, 120.93, 153.27
377, 119.93, 152.07
378, 119.15, 151.47
379, 118.78, 151.66
380, 118.82, 152.51
381, 119.23, 154.06
382, 120.01, 156.13
383, 121.08, 158.53
384, 122.49, 161.06
385, 124.14, 163.57
386, 125.92, 166.02
387, 127.77, 168.34
388, 129.58, 170.48
389, 131.35, 172.43
390, 133.03, 174.18
391, 134.58, 175.66
392, 135.82, 176.86
393, 136.72, 177.75
394, 137.25, 178.34
395, 137.50, 178.65
396, 137.55, 178.49
397, 137.36, 177.88
398, 136.99, 176.88
399, 136.22, 175.61
400, 135.09, 174.23
401, 133.65, 172.69
402, 132.00, 171.05
403, 130.24, 169.09
404, 128.38, 166.89
405, 126.50, 164.50
406, 124.71, 162.10
407, 123.08, 159.83
408, 121.67, 157.65
409, 120.40, 155.62
410, 119.26, 153.73
411, 118.43, 152.39
412, 117.94, 151.69
413, 117.81, 151.80
414, 118.05, 152.55
415, 118.59, 153.80
416, 119.48, 155.46
417, 120.60, 157.39
418, 121.90, 159.55
419, 123.26, 161.79
420, 124.62, 164.02
421, 126.10, 166.25
422, 127.68, 168.42
423, 129.34, 170.70
424, 130.99, 173.02
425, 132.56, 175.34
426, 134.01, 177.32
427, 135.29, 178.85
428, 136.38, 179.69
429, 137.08, 179.91
430, 137.35, 179.35
431, 137.12, 178.15
432, 136.51, 176.44
433, 135.63, 174.61
434, 134.52, 172.85
435, 133.28, 171.17
436, 131.83, 169.57
437, 130.25, 168.05
438, 128.51, 166.44
439, 126.72, 164.76
440, 124.95, 162.92
441, 123.31, 161.04
442, 121.86, 159.18
443, 120.58, 157.39
444, 119.47, 155.71
445, 118.51, 154.47
446, 117.83, 153.75
447, 117.46, 153.58
448, 117.52, 154.04
449, 117.95, 155.05
450, 118.68, 156.58
451, 119.72, 158.43
452, 120.98, 160.46
453, 122.54, 162.52
454, 124.28, 164.51
455, 126.13, 166.52
456, 128.11, 168.52
457, 130.16, 170.53
458, 132.07, 172.48
459, 133.70, 174.29
460, 134.96, 175.90
461, 135.96, 177.26
462, 136.74, 178.09
463, 137.17, 178.37
464, 137.23, 178.12
465, 136.89, 177.35
466, 136.25, 176.18
467, 135.42, 174.63
468, 134.36, 172.85
469, 133.13, 170.97
470, 131.65, 168.96
471, 130.00, 166.89
472, 128.26, 164.77
473, 126.51, 162.73
474, 124.85, 160.83
475, 123.37, 159.13
476, 122.13, 157.67
477, 121.14, 156.29
478, 120.47, 154.95
479, 120.10, 153.65
480, 120.07, 152.78
481, 120.33, 152.44
482, 120.81, 152.81
483, 121.45, 153.76
484, 122.19, 155.31
485, 123.09, 157.31
486, 124.13, 159.60
487, 125.29, 161.97
488, 126.61, 164.28
489, 128.07, 166.52
490, 129.54, 168.66
491, 130.91, 170.65
492, 132.08, 172.57
493, 133.09, 174.41
494, 133.93, 176.00
495, 134.69, 177.25
496, 135.37, 178.11
497, 135.83, 178.41
498, 136.03, 178.19
499, 135.95, 177.35
500, 135.52, 176.07
501, 134.80, 174.47
502, 133.71, 172.71
503, 132.38, 170.92
504, 130.89, 169.16
505, 129.47, 167.50
506, 128.25, 166.21
507, 127.40, 165.34
508, 126.93, 164.93
509, 126.82, 164.97
510, 127.04, 165.37
511, 127.53, 166.11
512, 128.38, 167.08
513, 129.52, 168.18
514, 130.88, 169.53
515, 132.29, 171.09
516, 133.65, 172.88
517, 134.84, 174.75
518, 135.81, 176.60
519, 136.56, 178.30
520, 137.10, 179.77
521, 137.48, 180.92
522, 137.83, 181.75
523, 138.18, 182.30
524, 138.56, 182.59
525, 138.91, 182.66
526, 139.22, 182.57
527, 139.47, 182.37
528, 139.68, 182.11
529, 139.84, 181.78
530, 139.97, 181.42
531, 140.05, 181.06
532, 140.06, 180.74
533, 139.98, 180.55
534, 139.84, 180.52
535, 139.69, 180.62
536, 139.55, 180.80
537, 139.39, 181.00
538, 139.22, 181.14
539, 139.09, 181.20
540, 139.02, 181.18
541, 139.02, 181.13
542, 139.16, 181.08
543, 139.42, 180.98
544, 139.79, 180.83
545, 140.22, 180.63
546, 140.67, 180.51
547, 141.04, 180.51
548, 141.27, 180.56
549, 141.35, 180.60
550, 141.28, 180.60
551, 141.12, 180.51
552, 140.84, 180.35
553, 140.46, 180.13
554, 140.17, 179.90
555, 140.04, 179.70
556, 140.00, 179.44
557, 139.97, 179.11
558, 139.90, 178.77
559, 139.85, 178.46
560, 139.86, 178.22
561, 139.79, 178.04
562, 139.60, 177.91
563, 139.28, 177.88
564, 138.93, 177.94
565, 138.61, 178.05
566, 138.41, 178.14
567, 138.32, 178.20
568, 138.35, 178.10
569, 138.41, 177.82
570, 138.45, 177.47
571, 138.51, 177.15
572, 138.61, 176.92
573, 138.75, 176.68
574, 138.94, 176.41
575, 139.17, 176.09
576, 139.41, 175.76
577, 139.61, 175.43
578, 139.78, 175.07
579, 139.91, 174.68
580, 140.00, 174.29
581, 140.04, 173.93
582, 140.03, 173.66
583, 139.96, 173.48
584, 139.87, 173.37
585, 139.75, 173.47
586, 139.71, 173.76
587, 139.77, 174.22
588, 139.82, 174.76
589, 139.81, 175.31
590, 139.71, 175.92
591, 139.60, 176.58
592, 139.51, 177.14
593, 139.35, 177.54
594, 139.07, 177.74
595, 138.65, 177.74
596, 138.22, 177.56
597, 137.83, 177.30
598, 137.61, 177.02
599, 137.59, 176.77
600, 137.76, 176.63
601, 137.89, 176.62
602, 137.90, 176.69
603, 137.84, 176.78
604, 137.76, 176.86
605, 137.72, 176.97
606, 137.76, 177.13
607, 137.88, 177.37
608, 138.16, 177.67
609, 138.57, 177.92
610, 139.10, 178.08
611, 139.62, 178.14
612, 140.09, 178.15
613, 140.39, 178.13
614, 140.51, 178.01
615, 140.51, 177.76
616, 140.46, 177.39
617, 140.40, 176.99
618, 140.25, 176.64
619, 140.02, 176.36
620, 139.72, 176.14
621, 139.41, 175.98
622, 139.11, 175.87
623, 138.87, 175.80
624, 138.70, 175.76
625, 138.54, 175.75
626, 138.37, 175.75
627, 138.18, 175.79
628, 138.01, 175.87
629, 137.88, 176.10
630, 137.84, 176.46
631, 137.91, 176.96
632, 138.07, 177.47
633, 138.28, 177.94
634, 138.52, 178.27
635, 138.74, 178.46
636, 138.93, 178.52
637, 139.06, 178.47
638, 139.17, 178.37
639, 139.29, 178.27
640, 139.40, 178.22
641, 139.52, 178.22
642, 139.65, 178.26
643, 139.80, 178.33
644, 139.97, 178.42
645, 140.15, 178.51
646, 140.31, 178.65
647, 140.47, 178.85
648, 140.60, 179.11
649, 140.72, 179.39
650, 140.79, 179.67
651, 140.81, 179.91
652, 140.76, 180.10
653, 140.64, 180.22
654, 140.46, 180.30
655, 140.27, 180.34
656, 140.06, 180.37
657, 139.91, 180.42
658, 139.84, 180.48
659, 139.85, 180.58
660, 139.81, 180.71
661, 139.69, 180.79
662, 139.54, 180.79
