=====Start_data=====
Date: 13/02/2022, Time: 00:00
Notes: filter and calibrated data
Collection period (s): 60.00, Sampling Frequency (Hz): 50.00
Counter, Distance(mm)
0, 3.77, 4.38
1, 11.86, 13.90
2, 24.43, 28.75
3, 39.44, 46.60
4, 55.35, 65.57
5, 71.03, 84.30
6, 85.70, 101.88
7, 98.88, 117.71
8, 110.32, 131.50
9, 119.93, 142.96
10, 127.73, 152.08
11, 133.91, 159.03
12, 138.64, 164.11
13, 142.17, 167.71
14, 144.67, 170.14
15, 146.31, 171.68
16, 147.24, 172.51
17, 147.61, 172.79
18, 147.47, 172.68
19, 146.91, 172.30
20, 146.02, 171.75
21, 144.93, 171.06
22, 143.74, 170.28
23, 142.38, 169.31
24, 140.91, 168.21
25, 139.29, 166.99
26, 137.63, 165.61
27, 136.01, 164.10
28, 134.36, 162.50
29, 132.72, 160.92
30, 131.05, 159.45
31, 129.43, 158.15
32, 127.89, 157.06
33, 126.50, 156.16
34, 125.28, 155.43
35, 124.23, 154.81
36, 123.33, 154.29
37, 122.57, 153.86
38, 122.04, 153.73
39, 121.73, 153.92
40, 121.83, 154.48
41, 122.29, 155.30
42, 123.10, 156.29
43, 124.14, 157.48
44, 125.28, 158.80
45, 126.55, 160.14
46, 127.89, 161.38
47, 129.29, 162.44
48, 130.67, 163.43
49, 131.97, 164.37
50, 133.24, 165.17
51, 134.44, 165.77
52, 135.43, 166.15
53, 136.12, 166.30
54, 136.49, 166.26
55, 136.57, 165.90
56, 136.40, 165.24
57, 135.97, 164.35
58, 135.34, 163.35
59, 134.55, 162.36
60, 133.57, 161.35
61, 132.44, 160.34
62, 131.12, 159.35
63, 129.69, 158.42
64, 128.22, 157.59
65, 126.84, 156.84
66, 125.59, 156.17
67, 124.48, 155.49
68, 123.48, 154.77
69, 122.54, 154.00
70, 121.67, 153.39
71, 120.86, 152.98
72, 120.38, 152.91
73, 120.28, 153.13
74, 120.68, 153.60
75, 121.45, 154.37
76, 122.50, 155.41
77, 123.72, 156.67
78, 125.01, 158.04
79, 126.39, 159.43
80, 127.81, 160.72
81, 129.25, 161.87
82, 130.67, 162.82
83, 132.03, 163.56
84, 133.33, 164.10
85, 134.54, 164.56
86, 135.61, 164.97
87, 136.45, 165.28
88, 137.00, 165.47
89, 137.24, 165.50
90, 137.20, 165.40
91, 136.95, 165.21
92, 136.43, 164.79
93, 135.68, 164.16
94, 134.61, 163.26
95, 133.31, 162.17
96, 131.79, 160.97
97, 130.18, 159.78
98, 128.56, 158.68
99, 126.94, 157.61
100, 125.36, 156.56
101, 123.84, 155.52
102, 122.42, 154.63
103, 121.14, 153.94
104, 120.04, 153.45
105, 119.15, 153.14
106, 118.65, 152.97
107, 118.55, 153.12
108, 118.82, 153.59
109, 119.50, 154.40
110, 120.52, 155.41
111, 121.94, 156.63
112, 123.67, 157.99
113, 125.59, 159.42
114, 127.58, 160.70
115, 129.51, 161.73
116, 131.37, 162.65
117, 133.11, 163.54
118, 134.70, 164.46
119, 136.04, 165.29
120, 137.11, 165.99
121, 137.86, 166.35
122, 138.31, 166.36
123, 138.34, 166.02
124, 138.00, 165.36
125, 137.33, 164.45
126, 136.34, 163.38
127, 135.10, 162.28
128, 133.64, 161.23
129, 132.08, 160.21
130, 130.50, 159.25
131, 128.88, 158.37
132, 127.27, 157.61
133, 125.70, 157.00
134, 124.25, 156.38
135, 122.94, 155.73
136, 121.87, 154.99
137, 121.05, 154.22
138, 120.50, 153.61
139, 120.18, 153.24
140, 120.05, 153.12
141, 120.23, 153.30
142, 120.68, 153.73
143, 121.48, 154.39
144, 122.50, 155.20
145, 123.67, 156.07
146, 124.99, 157.11
147, 126.40, 158.28
148, 128.00, 159.55
149, 129.74, 160.79
150, 131.51, 161.94
151, 133.18, 162.88
152, 134.66, 163.59
153, 135.92, 164.11
154, 136.98, 164.49
155, 137.69, 164.79
156, 138.06, 164.90
157, 138.10, 164.82
158, 137.86, 164.54
159, 137.40, 164.11
160, 136.66, 163.59
161, 135.69, 163.03
162, 134.55, 162.48
163, 133.13, 161.75
164, 131.48, 160.82
165, 129.69, 159.75
166, 127.91, 158.67
167, 126.23, 157.66
168, 124.72, 156.73
169, 123.42, 155.89
170, 122.29, 155.05
171, 121.34, 154.18
172, 120.54, 153.30
173, 120.01, 152.72
174, 119.75, 152.51
175, 119.90, 152.77
176, 120.41, 153.36
177, 121.22, 154.19
178, 122.21, 155.13
179, 123.27, 156.10
180, 124.53, 157.12
181, 125.97, 158.17
182, 127.60, 159.21
183, 129.28, 160.26
184, 130.92, 161.27
185, 132.43, 162.28
186, 133.74, 163.27
187, 134.89, 164.19
188, 135.89, 165.00
189, 136.75, 165.67
190, 137.29, 166.03
191, 137.48, 166.05
192, 137.19, 165.69
193, 136.50, 165.05
194, 135.52, 164.22
195, 134.45, 163.32
196, 133.42, 162.39
197, 132.33, 161.35
198, 131.17, 160.20
199, 129.91, 158.96
200, 128.64, 157.77
201, 127.40, 156.71
202, 126.22, 155.66
203, 125.13, 154.59
204, 124.14, 153.49
205, 123.15, 152.54
206, 122.13, 151.78
207, 121.23, 151.46
208, 120.52, 151.53
209, 120.29, 151.99
210, 120.52, 152.66
211, 121.19, 153.42
212, 122.14, 154.28
213, 123.22, 155.21
214, 124.50, 156.32
215, 125.93, 157.60
216, 127.47, 158.99
217, 129.06, 160.48
218, 130.62, 161.99
219, 132.20, 163.26
220, 133.73, 164.19
221, 135.19, 164.73
222, 136.50, 165.04
223, 137.62, 165.21
224, 138.37, 165.22
225, 138.74, 165.05
226, 138.75, 164.71
227, 138.37, 164.23
228, 137.66, 163.63
229, 136.52, 162.86
