MS,MPT,t (ms),PWMi,PWMe,Pressure (Psi),LW raw(V),Displacement (mm),t_rel(s),LW (V),delta d (m),delta t (s),vel (m/s),strain,strain rate (1/s),dv/dt raw,dv/dt
27,5,1343539,0,195,13.22,0.03,1.98,0.0,-0.028370035761340052,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,5,1343580,255,0,13.22,0.03,1.98,0.041,0.020071522680218317,0.0024872174979943865,0.083,0.02996647587945044,0.012774193548387096,0.0,0.0,1.181975367964173
27,5,1343622,255,0,16.3,0.03,1.98,0.083,0.06973391977968631,0.0029236540747996096,0.08399999999999999,0.03480540565237631,0.012774193548387096,0.16052227342549927,0.35714285714285715,1.1904860180440424
27,5,1343664,255,0,31.94,0.06,4.07,0.125,0.12007234819591787,0.0034880561271792834,0.084,0.04152447770451528,0.026258064516129033,0.42703533026113666,1.0714285714285714,1.200096200096199
27,5,1343706,255,0,45.93,0.12,7.54,0.167,0.17054200058776703,0.003999369945853565,0.08399999999999999,0.0476115469744472,0.04864516129032258,0.5253456221198157,1.7857142857142858,1.196734778787737
27,5,1343748,255,0,55.4,0.21,10.91,0.209,0.22059806961408776,0.004297015430996237,0.08299999999999999,0.05177127025296672,0.07038709677419355,0.4702681694520016,1.9277108433734946,1.1946234619996023
27,5,1343789,255,0,61.68,0.28,13.59,0.25,0.269695747933734,0.004287576145440133,0.08299999999999999,0.05165754392096546,0.0876774193548387,0.3474543334628839,1.6867469879518073,1.1649657661623145
27,5,1343831,255,0,66.19,0.35,15.38,0.292,0.31729022820555985,0.003963988317507473,0.08600000000000002,0.046092887412877585,0.09922580645161291,0.24606151537884477,1.395348837209302,1.0830343622637801
27,5,1343875,255,0,69.83,0.4,16.87,0.336,0.36283670308841914,0.003395268383730059,0.08600000000000002,0.0394798649270937,0.10883870967741936,0.18604651162790678,1.0465116279069768,1.029071360879141
27,5,1343917,255,0,72.58,0.44,17.86,0.378,0.405790365241166,0.0026959384517880273,0.08399999999999996,0.03209450537842891,0.1152258064516129,0.13671274961597532,0.8333333333333331,0.9853536218360669
27,5,1343959,255,0,74.78,0.47,18.65,0.42,0.4456064073226487,0.00198907878196475,0.08300000000000002,0.023964804601984933,0.12032258064516128,0.1158181111542947,0.72289156626506,0.9318238211843937
27,5,1344000,255,0,76.65,0.5,19.35,0.461,0.4831317423994707,0.0013753449702762239,0.08200000000000002,0.016772499637514923,0.12483870967741936,0.09362706530291118,0.4878048780487808,0.835918002854421
27,5,1344041,255,0,78.3,0.51,19.84,0.502,0.5141516835567113,0.0009150702852050898,0.08200000000000002,0.011159393722013288,0.128,0.0778914240755311,0.36585365853658564,0.6549246924309612
27,5,1344082,255,0,79.74,0.53,20.34,0.543,0.5368355671788095,0.000624771099976325,0.08299999999999996,0.007527362650317172,0.13122580645161291,0.06995724834823158,0.48192771084337416,0.4567206386841842
27,5,1344124,255,0,81.17,0.55,20.74,0.585,0.5520594965674985,0.0004850129851236744,0.08399999999999996,0.0057739641086151745,0.13380645161290322,0.06067588325652824,0.3571428571428576,0.29086691884991767
27,5,1344166,255,0,82.38,0.56,21.13,0.627,0.5612683883622026,0.0004544667244018328,0.08300000000000007,0.005475502703636535,0.13632258064516128,0.05363389040031105,0.12048192771084337,0.19882078165554984
27,5,1344207,255,0,83.59,0.56,21.43,0.668,0.5685616214449092,0.00048493387441245873,0.08499999999999996,0.005705104404852458,0.13825806451612904,0.04554079696394694,0.11764705882352826,0.14918370094032915
27,5,1344251,255,0,84.69,0.57,21.73,0.712,0.5739490029421306,0.0005334703697404315,0.08599999999999997,0.006203143834191066,0.14019354838709677,0.04501125281320337,0.23255813953488272,0.11890190592760888
27,5,1344293,255,0,85.68,0.58,22.03,0.754,0.5787871853546835,0.0005696466501734818,0.08400000000000007,0.006781507740160492,0.14212903225806453,0.04531490015360968,0.11904761904761904,0.10604928470243573
27,5,1344335,255,0,86.56,0.58,22.32,0.796,0.5828571428571352,0.0005777588951532806,0.08399999999999996,0.006878082085158106,0.144,0.03763440860215049,0.0,0.0896651566805198
