MS,MPT,t (ms),PWMi,PWMe,Pressure (Psi),LW raw(V),Displacement (mm),t_rel(s),LW (V),delta d (m),delta t (s),vel (m/s),strain,strain rate (1/s),dv/dt raw,dv/dt
25,1,969631,0,210,13.77,0.03,1.98,0.0,-0.025004705439487934,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1,969670,255,0,13.77,0.03,1.98,0.039,0.02123470732166391,0.0024619049303238627,0.079,0.031163353548403324,0.012774193548387096,0.0,0.1265822784810127,1.192700067073672
25,1,969710,255,0,16.19,0.04,1.98,0.079,0.06921859985933215,0.002823230752658224,0.07899999999999999,0.035737098134914234,0.012774193548387096,0.13801551653736222,0.379746835443038,1.2293446044858143
25,1,969749,255,0,30.29,0.06,3.67,0.118,0.11835293107604322,0.0033015550238243126,0.078,0.04232762851056811,0.02367741935483871,0.4110835401157982,1.0256410256410255,1.2669879489101452
25,1,969788,255,0,44.39,0.12,6.95,0.157,0.1680436598743235,0.003756388773556832,0.07800000000000001,0.048158830430215786,0.044838709677419354,0.5500413564929694,1.7948717948717947,1.2736386420596943
25,1,969827,255,0,54.3,0.2,10.32,0.196,0.2176967451566994,0.004056076271991066,0.07799999999999999,0.052000977846039326,0.06658064516129032,0.5086848635235733,1.9230769230769238,1.2650575121971004
25,1,969866,255,0,61.13,0.27,13.1,0.235,0.2667181458256973,0.004113304159797512,0.07800000000000001,0.052734668715352706,0.08451612903225807,0.39371381306865166,1.7948717948717947,1.2412445593223627
25,1,969905,255,0,65.86,0.34,15.08,0.274,0.3145138207838437,0.0039035509174527886,0.08100000000000002,0.048191986635219605,0.09729032258064516,0.27638391079251295,1.604938271604938,1.1576738655304644
25,1,969947,255,0,69.71,0.4,16.57,0.316,0.36048972893366493,0.003463349756054139,0.08099999999999996,0.042757404395730135,0.10690322580645162,0.20549581839904443,1.2345679012345683,1.1054075110351085
25,1,969986,255,0,72.47,0.44,17.66,0.355,0.40405182917768745,0.0028725868441223366,0.07700000000000001,0.03730632265093943,0.11393548387096775,0.1658986175115208,0.9090909090909083,1.0924201491528143
25,1,970024,255,0,74.78,0.47,18.55,0.393,0.44460608041843164,0.002229119355506729,0.07700000000000001,0.028949602019567904,0.11967741935483872,0.13322161709258473,0.779220779220779,1.0218747937550037
25,1,970063,255,0,76.65,0.5,19.25,0.432,0.48273618829682274,0.001624187841123753,0.07799999999999996,0.020822921040048126,0.12419354838709677,0.09842845326716258,0.641025641025642,0.8938734796858252
25,1,970102,255,0,78.41,0.52,19.74,0.471,0.514328211833926,0.0011246503628948759,0.07800000000000001,0.01441859439608815,0.1273548387096774,0.08188585607940431,0.5128205128205132,0.7143276250827649
25,1,970141,255,0,79.85,0.54,20.24,0.51,0.5384537430532784,0.0007646823758818115,0.07800000000000007,0.009803620203612959,0.1305806451612903,0.07444168734491334,0.38461538461538464,0.5086294331145521
25,1,970180,255,0,81.28,0.55,20.64,0.549,0.5540013076168611,0.0005465433187200262,0.07799999999999996,0.007006965624615724,0.13316129032258064,0.06534325889164616,0.2564102564102568,0.3326879070586118
25,1,970219,255,0,82.49,0.56,21.03,0.588,0.5644033998038501,0.0004479642177801928,0.07799999999999996,0.005743130997181962,0.1356774193548387,0.057071960297766615,0.1282051282051284,0.23017409745098225
25,1,970258,255,0,83.7,0.56,21.33,0.627,0.5719548872180377,0.0004328313888031872,0.08000000000000007,0.005410392360039835,0.13761290322580644,0.05645161290322576,0.12499999999999861,0.15985616214448925
25,1,970299,255,0,84.8,0.57,21.73,0.668,0.5771918927754093,0.00046197515804965403,0.07999999999999996,0.005774689475620679,0.14019354838709677,0.056451612903226187,0.24999999999999895,0.11854364171297599
25,1,970338,255,0,85.79,0.58,22.03,0.707,0.5814383785550757,0.0005016844240949041,0.07799999999999996,0.0064318515909603125,0.14212903225806453,0.048800661703887416,0.1282051282051284,0.10452552786648765
25,1,970377,255,0,86.78,0.58,22.32,0.746,0.5853448839489953,0.0005286938763654199,0.07800000000000007,0.00677812662006948,0.144,0.04052936311000817,0.1282051282051282,0.09069496483684082
25,1,970416,255,0,87.67,0.59,22.52,0.785,0.5885125858123493,0.00053152146107346,0.07799999999999996,0.006814377706070004,0.14529032258064517,0.03308519437551713,0.1282051282051284,0.07108071181297726
25,1,970455,255,0,88.55,0.59,22.72,0.824,0.5908891794704075,0.0005089154164224148,0.07699999999999996,0.006609291122369026,0.14658064516129032,0.03351487222454982,0.0,0.05930976509596875
25,1,970493,255,0,89.32,0.59,22.92,0.862,0.5930794377247389,0.0004666272433001524,0.07700000000000007,0.0060600940688331426,0.1478709677419355,0.03351487222454977,0.0,0.04462030287463325
25,1,970532,255,0,90.09,0.59,23.12,0.901,0.5943249427917543,0.00041373350314841064,0.07799999999999996,0.005304275681389883,0.14916129032258066,0.033085194375516776,0.1282051282051284,0.03642048264473756
25,1,970571,255,0,90.86,0.6,23.32,0.94,0.5959202353710285,0.00035942585840811604,0.07799999999999996,0.00460802382574508,0.1504516129032258,0.02481389578163758,0.1282051282051284,0.0396895248153815
25,1,970610,255,0,91.41,0.6,23.42,0.979,0.597420725727354,0.0003107857220477257,0.08000000000000007,0.0038848215255965677,0.1510967741935484,0.02338709677419356,0.0,0.03816606734226843
