MS, MPT, t (s), PWMi, PWMe, Pressure (Psi), LW (V), Displacement (mm)
5 ,  5 ,  109744 ,  0 ,  255 ,  14.10 ,  0.03 ,  1.98
5 ,  5 ,  109766 ,  210 ,  0 ,  13.88 ,  0.03 ,  1.98
5 ,  5 ,  109788 ,  210 ,  0 ,  13.99 ,  0.02 ,  1.89
5 ,  5 ,  109810 ,  210 ,  0 ,  14.76 ,  0.02 ,  1.98
5 ,  5 ,  109833 ,  210 ,  0 ,  17.73 ,  0.02 ,  1.98
5 ,  5 ,  109855 ,  210 ,  0 ,  21.59 ,  0.04 ,  2.38
5 ,  5 ,  109878 ,  210 ,  0 ,  25.33 ,  0.04 ,  2.98
5 ,  5 ,  109900 ,  210 ,  0 ,  28.86 ,  0.05 ,  3.57
5 ,  5 ,  109925 ,  210 ,  0 ,  31.83 ,  0.06 ,  4.17
5 ,  5 ,  109947 ,  210 ,  0 ,  34.58 ,  0.07 ,  4.76
5 ,  5 ,  109969 ,  210 ,  0 ,  36.79 ,  0.08 ,  5.26
5 ,  5 ,  109991 ,  210 ,  0 ,  38.55 ,  0.08 ,  5.75
5 ,  5 ,  110013 ,  210 ,  0 ,  39.98 ,  0.09 ,  6.15
5 ,  5 ,  110035 ,  210 ,  0 ,  41.30 ,  0.10 ,  6.65
5 ,  5 ,  110058 ,  210 ,  0 ,  42.40 ,  0.11 ,  6.95
5 ,  5 ,  110080 ,  210 ,  0 ,  43.50 ,  0.12 ,  7.24
5 ,  5 ,  110102 ,  210 ,  0 ,  44.39 ,  0.13 ,  7.54
5 ,  5 ,  110125 ,  210 ,  0 ,  45.27 ,  0.13 ,  7.84
5 ,  5 ,  110149 ,  210 ,  0 ,  46.04 ,  0.14 ,  8.14
5 ,  5 ,  110171 ,  210 ,  0 ,  46.70 ,  0.15 ,  8.43
5 ,  5 ,  110193 ,  210 ,  0 ,  47.36 ,  0.15 ,  8.63
5 ,  5 ,  110216 ,  210 ,  0 ,  47.91 ,  0.15 ,  8.83
5 ,  5 ,  110237 ,  210 ,  0 ,  48.35 ,  0.16 ,  9.03
5 ,  5 ,  110260 ,  210 ,  0 ,  48.90 ,  0.17 ,  9.23
5 ,  5 ,  110282 ,  210 ,  0 ,  49.45 ,  0.17 ,  9.33
5 ,  5 ,  110304 ,  210 ,  0 ,  49.89 ,  0.18 ,  9.62
5 ,  5 ,  110326 ,  210 ,  0 ,  50.33 ,  0.18 ,  9.72
5 ,  5 ,  110351 ,  210 ,  0 ,  50.88 ,  0.18 ,  9.92
5 ,  5 ,  110373 ,  210 ,  0 ,  51.21 ,  0.18 ,  10.02
5 ,  5 ,  110395 ,  210 ,  0 ,  51.54 ,  0.19 ,  10.22
5 ,  5 ,  110417 ,  210 ,  0 ,  51.87 ,  0.19 ,  10.32
5 ,  5 ,  110440 ,  210 ,  0 ,  52.20 ,  0.19 ,  10.52
5 ,  5 ,  110461 ,  210 ,  0 ,  52.54 ,  0.20 ,  10.62
5 ,  5 ,  110484 ,  210 ,  0 ,  52.87 ,  0.20 ,  10.72
5 ,  5 ,  110507 ,  210 ,  0 ,  53.09 ,  0.20 ,  10.81
5 ,  5 ,  110528 ,  210 ,  0 ,  53.42 ,  0.21 ,  10.91
5 ,  5 ,  110553 ,  210 ,  0 ,  53.75 ,  0.21 ,  11.01
5 ,  5 ,  110575 ,  210 ,  0 ,  53.97 ,  0.22 ,  11.11
5 ,  5 ,  110598 ,  210 ,  0 ,  54.19 ,  0.21 ,  11.21
5 ,  5 ,  110620 ,  210 ,  0 ,  54.41 ,  0.22 ,  11.31
5 ,  5 ,  110642 ,  210 ,  0 ,  54.63 ,  0.22 ,  11.41
5 ,  5 ,  110664 ,  210 ,  0 ,  54.85 ,  0.22 ,  11.51
5 ,  5 ,  110687 ,  210 ,  0 ,  55.07 ,  0.22 ,  11.61
5 ,  5 ,  110708 ,  210 ,  0 ,  55.18 ,  0.23 ,  11.71
5 ,  5 ,  110731 ,  210 ,  0 ,  55.40 ,  0.23 ,  11.71
5 ,  5 ,  110755 ,  210 ,  0 ,  55.62 ,  0.23 ,  11.81
5 ,  5 ,  110778 ,  210 ,  0 ,  55.73 ,  0.23 ,  11.91
5 ,  5 ,  110799 ,  210 ,  0 ,  55.95 ,  0.24 ,  11.91
5 ,  5 ,  110822 ,  210 ,  0 ,  56.06 ,  0.24 ,  12.01
5 ,  5 ,  110844 ,  210 ,  0 ,  56.28 ,  0.24 ,  12.10
5 ,  5 ,  110867 ,  210 ,  0 ,  56.39 ,  0.24 ,  12.10
5 ,  5 ,  110888 ,  210 ,  0 ,  56.50 ,  0.24 ,  12.20
5 ,  5 ,  110911 ,  210 ,  0 ,  56.61 ,  0.24 ,  12.20
5 ,  5 ,  110934 ,  210 ,  0 ,  56.72 ,  0.24 ,  12.30
5 ,  5 ,  110958 ,  210 ,  0 ,  56.83 ,  0.24 ,  12.30
5 ,  5 ,  110980 ,  210 ,  0 ,  56.94 ,  0.24 ,  12.40
5 ,  5 ,  111002 ,  210 ,  0 ,  57.05 ,  0.24 ,  12.40
5 ,  5 ,  111025 ,  210 ,  0 ,  57.16 ,  0.24 ,  12.40
5 ,  5 ,  111046 ,  210 ,  0 ,  57.27 ,  0.25 ,  12.50
5 ,  5 ,  111069 ,  210 ,  0 ,  57.27 ,  0.25 ,  12.50
5 ,  5 ,  111091 ,  210 ,  0 ,  57.38 ,  0.25 ,  12.60
5 ,  5 ,  111113 ,  210 ,  0 ,  57.49 ,  0.25 ,  12.60
5 ,  5 ,  111135 ,  210 ,  0 ,  57.60 ,  0.25 ,  12.70
5 ,  5 ,  111158 ,  210 ,  0 ,  57.71 ,  0.25 ,  12.70
5 ,  5 ,  111182 ,  210 ,  0 ,  57.82 ,  0.25 ,  12.80
5 ,  5 ,  111205 ,  210 ,  0 ,  57.93 ,  0.26 ,  12.80
5 ,  5 ,  111226 ,  210 ,  0 ,  57.93 ,  0.26 ,  12.90
5 ,  5 ,  111249 ,  210 ,  0 ,  58.04 ,  0.25 ,  12.90
5 ,  5 ,  111271 ,  210 ,  0 ,  58.15 ,  0.26 ,  12.90
5 ,  5 ,  111293 ,  210 ,  0 ,  58.15 ,  0.26 ,  12.90
5 ,  5 ,  111316 ,  210 ,  0 ,  58.15 ,  0.26 ,  13.00
5 ,  5 ,  111338 ,  210 ,  0 ,  58.26 ,  0.26 ,  13.00
5 ,  5 ,  111361 ,  210 ,  0 ,  58.37 ,  0.26 ,  13.00
5 ,  5 ,  111385 ,  210 ,  0 ,  58.48 ,  0.26 ,  13.10
5 ,  5 ,  111408 ,  210 ,  0 ,  58.48 ,  0.26 ,  13.00
5 ,  5 ,  111429 ,  210 ,  0 ,  58.59 ,  0.26 ,  13.10
5 ,  5 ,  111452 ,  210 ,  0 ,  58.59 ,  0.26 ,  13.10
5 ,  5 ,  111474 ,  210 ,  0 ,  58.59 ,  0.26 ,  13.20
5 ,  5 ,  111497 ,  210 ,  0 ,  58.59 ,  0.26 ,  13.20
5 ,  5 ,  111518 ,  210 ,  0 ,  58.70 ,  0.27 ,  13.20
5 ,  5 ,  111541 ,  210 ,  0 ,  58.81 ,  0.26 ,  13.20
5 ,  5 ,  111563 ,  210 ,  0 ,  58.81 ,  0.27 ,  13.30
5 ,  5 ,  111588 ,  210 ,  0 ,  58.81 ,  0.27 ,  13.30
5 ,  5 ,  111609 ,  210 ,  0 ,  58.92 ,  0.27 ,  13.30
5 ,  5 ,  111632 ,  210 ,  0 ,  58.92 ,  0.27 ,  13.30
5 ,  5 ,  111654 ,  210 ,  0 ,  59.03 ,  0.27 ,  13.30
5 ,  5 ,  111676 ,  210 ,  0 ,  59.03 ,  0.27 ,  13.39
5 ,  5 ,  111698 ,  210 ,  0 ,  59.03 ,  0.27 ,  13.39
5 ,  5 ,  111721 ,  210 ,  0 ,  59.03 ,  0.27 ,  13.39
5 ,  5 ,  111744 ,  210 ,  0 ,  59.14 ,  0.27 ,  13.39
5 ,  5 ,  111765 ,  210 ,  0 ,  59.14 ,  0.27 ,  13.39
5 ,  5 ,  111790 ,  210 ,  0 ,  59.25 ,  0.27 ,  13.39
5 ,  5 ,  111812 ,  210 ,  0 ,  59.14 ,  0.27 ,  13.49
5 ,  5 ,  111853 ,  210 ,  0 ,  59.25 ,  0.27 ,  13.49
5 ,  5 ,  111876 ,  210 ,  0 ,  59.25 ,  0.28 ,  13.49
5 ,  5 ,  111897 ,  210 ,  0 ,  59.36 ,  0.27 ,  13.49
5 ,  5 ,  111920 ,  210 ,  0 ,  59.36 ,  0.27 ,  13.49
5 ,  5 ,  111942 ,  210 ,  0 ,  59.36 ,  0.27 ,  13.49
5 ,  5 ,  111964 ,  210 ,  0 ,  59.36 ,  0.27 ,  13.49
5 ,  5 ,  111986 ,  210 ,  0 ,  59.36 ,  0.27 ,  13.59
5 ,  5 ,  112011 ,  210 ,  0 ,  59.47 ,  0.28 ,  13.59
5 ,  5 ,  112033 ,  210 ,  0 ,  59.47 ,  0.28 ,  13.59
5 ,  5 ,  112055 ,  210 ,  0 ,  59.47 ,  0.28 ,  13.59
5 ,  5 ,  112077 ,  210 ,  0 ,  59.58 ,  0.28 ,  13.59
5 ,  5 ,  112100 ,  210 ,  0 ,  59.58 ,  0.28 ,  13.59
5 ,  5 ,  112121 ,  210 ,  0 ,  59.58 ,  0.28 ,  13.59
5 ,  5 ,  112144 ,  210 ,  0 ,  59.58 ,  0.28 ,  13.59
5 ,  5 ,  112166 ,  210 ,  0 ,  59.58 ,  0.28 ,  13.69
5 ,  5 ,  112189 ,  210 ,  0 ,  59.58 ,  0.28 ,  13.59
5 ,  5 ,  112212 ,  210 ,  0 ,  59.58 ,  0.28 ,  13.69
5 ,  5 ,  112235 ,  210 ,  0 ,  59.69 ,  0.28 ,  13.69
5 ,  5 ,  112258 ,  210 ,  0 ,  59.69 ,  0.28 ,  13.69
5 ,  5 ,  112280 ,  210 ,  0 ,  59.69 ,  0.28 ,  13.69
5 ,  5 ,  112302 ,  210 ,  0 ,  59.69 ,  0.28 ,  13.69
5 ,  5 ,  112324 ,  210 ,  0 ,  59.69 ,  0.28 ,  13.69
5 ,  5 ,  112347 ,  210 ,  0 ,  59.80 ,  0.28 ,  13.69
5 ,  5 ,  112368 ,  210 ,  0 ,  59.80 ,  0.28 ,  13.69
5 ,  5 ,  112391 ,  210 ,  0 ,  59.69 ,  0.28 ,  13.79
5 ,  5 ,  112415 ,  210 ,  0 ,  59.69 ,  0.28 ,  13.79
5 ,  5 ,  112438 ,  210 ,  0 ,  59.80 ,  0.28 ,  13.79
5 ,  5 ,  112459 ,  210 ,  0 ,  59.80 ,  0.28 ,  13.79
5 ,  5 ,  112482 ,  210 ,  0 ,  59.80 ,  0.28 ,  13.79
5 ,  5 ,  112504 ,  210 ,  0 ,  59.80 ,  0.28 ,  13.79
5 ,  5 ,  112526 ,  210 ,  0 ,  59.80 ,  0.28 ,  13.79
5 ,  5 ,  112548 ,  210 ,  0 ,  59.80 ,  0.28 ,  13.79
5 ,  5 ,  112571 ,  210 ,  0 ,  59.80 ,  0.28 ,  13.79
5 ,  5 ,  112593 ,  210 ,  0 ,  59.91 ,  0.28 ,  13.79
5 ,  5 ,  112615 ,  210 ,  0 ,  59.80 ,  0.28 ,  13.79
5 ,  5 ,  112640 ,  210 ,  0 ,  59.80 ,  0.28 ,  13.79
5 ,  5 ,  112662 ,  210 ,  0 ,  59.91 ,  0.28 ,  13.79
5 ,  5 ,  112685 ,  210 ,  0 ,  59.91 ,  0.28 ,  13.89
5 ,  5 ,  112706 ,  0 ,  255 ,  59.91 ,  0.28 ,  13.89
5 ,  5 ,  112729 ,  0 ,  255 ,  59.80 ,  0.28 ,  13.89
5 ,  5 ,  112751 ,  0 ,  255 ,  59.58 ,  0.28 ,  13.89
5 ,  5 ,  112773 ,  0 ,  255 ,  58.59 ,  0.28 ,  13.89
5 ,  5 ,  112795 ,  0 ,  255 ,  54.63 ,  0.25 ,  13.39
5 ,  5 ,  112818 ,  0 ,  255 ,  51.65 ,  0.23 ,  12.60
5 ,  5 ,  112842 ,  0 ,  255 ,  48.46 ,  0.20 ,  11.81
5 ,  5 ,  112864 ,  0 ,  255 ,  45.82 ,  0.17 ,  11.01
5 ,  5 ,  112886 ,  0 ,  255 ,  43.50 ,  0.15 ,  10.32
5 ,  5 ,  112909 ,  0 ,  255 ,  41.41 ,  0.13 ,  9.62
5 ,  5 ,  112930 ,  0 ,  255 ,  39.43 ,  0.11 ,  9.03
5 ,  5 ,  112953 ,  0 ,  255 ,  37.56 ,  0.10 ,  8.43
5 ,  5 ,  112975 ,  0 ,  255 ,  35.91 ,  0.09 ,  7.94
5 ,  5 ,  112997 ,  0 ,  255 ,  34.36 ,  0.08 ,  7.44
5 ,  5 ,  113019 ,  0 ,  255 ,  32.93 ,  0.07 ,  6.95
5 ,  5 ,  113044 ,  0 ,  255 ,  31.50 ,  0.06 ,  6.55
5 ,  5 ,  113067 ,  0 ,  255 ,  30.29 ,  0.06 ,  6.25
5 ,  5 ,  113088 ,  0 ,  255 ,  29.19 ,  0.05 ,  5.85
5 ,  5 ,  113111 ,  0 ,  255 ,  28.20 ,  0.05 ,  5.56
5 ,  5 ,  113133 ,  0 ,  255 ,  27.32 ,  0.05 ,  5.26
5 ,  5 ,  113155 ,  0 ,  255 ,  26.32 ,  0.04 ,  5.06
5 ,  5 ,  113177 ,  0 ,  255 ,  25.44 ,  0.05 ,  4.86
5 ,  5 ,  113199 ,  0 ,  255 ,  24.78 ,  0.04 ,  4.66
5 ,  5 ,  113221 ,  0 ,  255 ,  24.12 ,  0.04 ,  4.46
5 ,  5 ,  113246 ,  0 ,  255 ,  23.35 ,  0.04 ,  4.27
5 ,  5 ,  113268 ,  0 ,  255 ,  22.80 ,  0.04 ,  4.07
5 ,  5 ,  113290 ,  0 ,  255 ,  22.14 ,  0.04 ,  3.87
5 ,  5 ,  113312 ,  0 ,  255 ,  21.70 ,  0.03 ,  3.77
5 ,  5 ,  113335 ,  0 ,  255 ,  21.15 ,  0.04 ,  3.67
5 ,  5 ,  113356 ,  0 ,  255 ,  20.71 ,  0.04 ,  3.57
5 ,  5 ,  113379 ,  0 ,  255 ,  20.38 ,  0.04 ,  3.47
5 ,  5 ,  113401 ,  0 ,  255 ,  19.94 ,  0.03 ,  3.37
5 ,  5 ,  113423 ,  0 ,  255 ,  19.50 ,  0.03 ,  3.27
5 ,  5 ,  113445 ,  0 ,  255 ,  19.17 ,  0.03 ,  3.17
5 ,  5 ,  113470 ,  0 ,  255 ,  18.73 ,  0.03 ,  3.08
5 ,  5 ,  113491 ,  0 ,  255 ,  18.51 ,  0.03 ,  2.98
5 ,  5 ,  113514 ,  0 ,  255 ,  18.18 ,  0.03 ,  2.98
5 ,  5 ,  113537 ,  0 ,  255 ,  17.96 ,  0.03 ,  2.88
5 ,  5 ,  113558 ,  0 ,  255 ,  17.73 ,  0.03 ,  2.78
5 ,  5 ,  113581 ,  0 ,  255 ,  17.40 ,  0.03 ,  2.78
5 ,  5 ,  113603 ,  0 ,  255 ,  17.18 ,  0.03 ,  2.68
5 ,  5 ,  113625 ,  0 ,  255 ,  16.96 ,  0.03 ,  2.68
5 ,  5 ,  113647 ,  0 ,  255 ,  16.74 ,  0.03 ,  2.58
5 ,  5 ,  113672 ,  0 ,  255 ,  16.52 ,  0.03 ,  2.58
5 ,  5 ,  113693 ,  0 ,  255 ,  16.41 ,  0.03 ,  2.48
5 ,  5 ,  113716 ,  0 ,  255 ,  16.19 ,  0.03 ,  2.48
5 ,  5 ,  113738 ,  0 ,  255 ,  15.97 ,  0.03 ,  2.38
5 ,  5 ,  113760 ,  0 ,  255 ,  15.86 ,  0.03 ,  2.38
5 ,  5 ,  113782 ,  0 ,  255 ,  15.75 ,  0.03 ,  2.38
5 ,  5 ,  113805 ,  0 ,  255 ,  15.53 ,  0.03 ,  2.28
5 ,  5 ,  113826 ,  0 ,  255 ,  15.42 ,  0.03 ,  2.28
5 ,  5 ,  113849 ,  0 ,  255 ,  15.31 ,  0.03 ,  2.28
5 ,  5 ,  113873 ,  0 ,  255 ,  15.09 ,  0.03 ,  2.18
5 ,  5 ,  113896 ,  0 ,  255 ,  14.98 ,  0.02 ,  2.18
5 ,  5 ,  113918 ,  0 ,  255 ,  14.87 ,  0.02 ,  2.18
5 ,  5 ,  113941 ,  0 ,  255 ,  14.76 ,  0.03 ,  2.18
5 ,  5 ,  113963 ,  0 ,  255 ,  14.65 ,  0.02 ,  2.08
5 ,  5 ,  113985 ,  0 ,  255 ,  14.54 ,  0.02 ,  2.08
5 ,  5 ,  114007 ,  0 ,  255 ,  14.43 ,  0.03 ,  1.98
