MS, MPT, t (s), PWMi, PWMe, Pressure (Psi), LW (V), Displacement (mm)
5 ,  2 ,  96629 ,  0 ,  255 ,  14.21 ,  0.03 ,  1.89
5 ,  2 ,  96652 ,  210 ,  0 ,  14.10 ,  0.03 ,  1.98
5 ,  2 ,  96674 ,  210 ,  0 ,  14.10 ,  0.02 ,  1.89
5 ,  2 ,  96696 ,  210 ,  0 ,  14.76 ,  0.03 ,  1.89
5 ,  2 ,  96718 ,  210 ,  0 ,  17.73 ,  0.03 ,  1.98
5 ,  2 ,  96741 ,  210 ,  0 ,  21.59 ,  0.03 ,  2.38
5 ,  2 ,  96762 ,  210 ,  0 ,  25.33 ,  0.04 ,  2.88
5 ,  2 ,  96785 ,  210 ,  0 ,  28.86 ,  0.05 ,  3.47
5 ,  2 ,  96809 ,  210 ,  0 ,  31.72 ,  0.06 ,  4.07
5 ,  2 ,  96832 ,  210 ,  0 ,  34.58 ,  0.07 ,  4.76
5 ,  2 ,  96854 ,  210 ,  0 ,  36.68 ,  0.08 ,  5.26
5 ,  2 ,  96876 ,  210 ,  0 ,  38.44 ,  0.09 ,  5.66
5 ,  2 ,  96898 ,  210 ,  0 ,  39.98 ,  0.09 ,  6.15
5 ,  2 ,  96920 ,  210 ,  0 ,  41.30 ,  0.10 ,  6.55
5 ,  2 ,  96942 ,  210 ,  0 ,  42.51 ,  0.11 ,  6.85
5 ,  2 ,  96964 ,  210 ,  0 ,  43.50 ,  0.12 ,  7.14
5 ,  2 ,  96986 ,  210 ,  0 ,  44.39 ,  0.12 ,  7.54
5 ,  2 ,  97007 ,  210 ,  0 ,  45.16 ,  0.13 ,  7.74
5 ,  2 ,  97032 ,  210 ,  0 ,  46.04 ,  0.14 ,  8.04
5 ,  2 ,  97054 ,  210 ,  0 ,  46.81 ,  0.14 ,  8.24
5 ,  2 ,  97076 ,  210 ,  0 ,  47.36 ,  0.15 ,  8.53
5 ,  2 ,  97098 ,  210 ,  0 ,  47.91 ,  0.15 ,  8.63
5 ,  2 ,  97120 ,  210 ,  0 ,  48.46 ,  0.16 ,  8.93
5 ,  2 ,  97142 ,  210 ,  0 ,  49.01 ,  0.16 ,  9.03
5 ,  2 ,  97164 ,  210 ,  0 ,  49.45 ,  0.17 ,  9.23
5 ,  2 ,  97186 ,  210 ,  0 ,  49.89 ,  0.17 ,  9.43
5 ,  2 ,  97208 ,  210 ,  0 ,  50.33 ,  0.17 ,  9.62
5 ,  2 ,  97232 ,  210 ,  0 ,  50.77 ,  0.18 ,  9.72
