MS, MPT, t (s), PWMi, PWMe, Pressure (Psi), LW (V), Displacement (mm)
17 ,  3 ,  335477 ,  0 ,  245 ,  13.44 ,  0.09 ,  1.98
17 ,  3 ,  335511 ,  255 ,  0 ,  13.44 ,  0.09 ,  1.98
17 ,  3 ,  335544 ,  255 ,  0 ,  14.32 ,  0.09 ,  1.98
17 ,  3 ,  335577 ,  255 ,  0 ,  24.56 ,  0.10 ,  2.88
17 ,  3 ,  335610 ,  255 ,  0 ,  36.90 ,  0.15 ,  5.36
17 ,  3 ,  335643 ,  255 ,  0 ,  47.03 ,  0.22 ,  8.33
17 ,  3 ,  335676 ,  255 ,  0 ,  54.08 ,  0.29 ,  11.11
17 ,  3 ,  335710 ,  255 ,  0 ,  59.47 ,  0.36 ,  13.39
17 ,  3 ,  335745 ,  255 ,  0 ,  63.77 ,  0.42 ,  15.18
17 ,  3 ,  335778 ,  255 ,  0 ,  66.85 ,  0.46 ,  16.37
17 ,  3 ,  335811 ,  255 ,  0 ,  69.49 ,  0.50 ,  17.46
17 ,  3 ,  335849 ,  255 ,  0 ,  71.92 ,  0.53 ,  18.36
17 ,  3 ,  335882 ,  255 ,  0 ,  73.68 ,  0.55 ,  19.05
17 ,  3 ,  335915 ,  255 ,  0 ,  75.33 ,  0.56 ,  19.55
17 ,  3 ,  335948 ,  255 ,  0 ,  76.65 ,  0.57 ,  20.04
17 ,  3 ,  335981 ,  255 ,  0 ,  77.97 ,  0.58 ,  20.44
17 ,  3 ,  336014 ,  255 ,  0 ,  79.19 ,  0.58 ,  20.84
17 ,  3 ,  336049 ,  255 ,  0 ,  80.40 ,  0.59 ,  21.13
17 ,  3 ,  336082 ,  255 ,  0 ,  81.39 ,  0.59 ,  21.43
17 ,  3 ,  336115 ,  255 ,  0 ,  82.38 ,  0.60 ,  21.73
17 ,  3 ,  336148 ,  255 ,  0 ,  83.37 ,  0.60 ,  22.03
17 ,  3 ,  336181 ,  255 ,  0 ,  84.25 ,  0.60 ,  22.22
17 ,  3 ,  336214 ,  255 ,  0 ,  85.02 ,  0.60 ,  22.52
17 ,  3 ,  336246 ,  255 ,  0 ,  85.79 ,  0.60 ,  22.72
17 ,  3 ,  336280 ,  255 ,  0 ,  86.56 ,  0.60 ,  22.82
17 ,  3 ,  336313 ,  255 ,  0 ,  87.23 ,  0.61 ,  23.02
17 ,  3 ,  336348 ,  255 ,  0 ,  87.89 ,  0.61 ,  23.22
17 ,  3 ,  336380 ,  255 ,  0 ,  88.55 ,  0.61 ,  23.32
17 ,  3 ,  336414 ,  255 ,  0 ,  89.10 ,  0.61 ,  23.51
17 ,  3 ,  336447 ,  255 ,  0 ,  89.65 ,  0.61 ,  23.61
17 ,  3 ,  336480 ,  255 ,  0 ,  90.20 ,  0.61 ,  23.71
17 ,  3 ,  336513 ,  255 ,  0 ,  90.64 ,  0.61 ,  23.81
17 ,  3 ,  336545 ,  255 ,  0 ,  91.19 ,  0.61 ,  24.01
17 ,  3 ,  336578 ,  255 ,  0 ,  91.63 ,  0.61 ,  24.11
17 ,  3 ,  336612 ,  255 ,  0 ,  92.07 ,  0.61 ,  24.21
17 ,  3 ,  336647 ,  255 ,  0 ,  92.51 ,  0.61 ,  24.31
17 ,  3 ,  336679 ,  255 ,  0 ,  92.95 ,  0.61 ,  24.31
17 ,  3 ,  336712 ,  255 ,  0 ,  93.28 ,  0.61 ,  24.41
17 ,  3 ,  336746 ,  255 ,  0 ,  93.61 ,  0.61 ,  24.51
17 ,  3 ,  336779 ,  255 ,  0 ,  93.83 ,  0.61 ,  24.61
17 ,  3 ,  336812 ,  255 ,  0 ,  94.16 ,  0.61 ,  24.71
17 ,  3 ,  336844 ,  255 ,  0 ,  94.38 ,  0.61 ,  24.71
17 ,  3 ,  336877 ,  255 ,  0 ,  94.60 ,  0.61 ,  24.71
17 ,  3 ,  336910 ,  255 ,  0 ,  94.82 ,  0.61 ,  24.80
17 ,  3 ,  336946 ,  255 ,  0 ,  95.04 ,  0.61 ,  24.90
17 ,  3 ,  336978 ,  255 ,  0 ,  95.15 ,  0.61 ,  24.90
17 ,  3 ,  337011 ,  255 ,  0 ,  95.26 ,  0.61 ,  24.90
17 ,  3 ,  337044 ,  255 ,  0 ,  95.37 ,  0.61 ,  25.00
17 ,  3 ,  337078 ,  255 ,  0 ,  95.48 ,  0.61 ,  25.00
17 ,  3 ,  337111 ,  255 ,  0 ,  95.48 ,  0.61 ,  25.00
17 ,  3 ,  337143 ,  255 ,  0 ,  95.59 ,  0.61 ,  25.00
17 ,  3 ,  337176 ,  255 ,  0 ,  95.70 ,  0.61 ,  25.00
17 ,  3 ,  337209 ,  255 ,  0 ,  95.70 ,  0.61 ,  25.10
17 ,  3 ,  337245 ,  255 ,  0 ,  95.82 ,  0.61 ,  25.10
17 ,  3 ,  337277 ,  255 ,  0 ,  95.82 ,  0.61 ,  25.10
17 ,  3 ,  337310 ,  255 ,  0 ,  95.82 ,  0.61 ,  25.10
17 ,  3 ,  337343 ,  255 ,  0 ,  95.82 ,  0.61 ,  25.10
17 ,  3 ,  337376 ,  255 ,  0 ,  95.93 ,  0.61 ,  25.20
17 ,  3 ,  337410 ,  255 ,  0 ,  95.93 ,  0.62 ,  25.20
17 ,  3 ,  337442 ,  255 ,  0 ,  95.93 ,  0.61 ,  25.20
17 ,  3 ,  337475 ,  255 ,  0 ,  96.04 ,  0.62 ,  25.20
17 ,  3 ,  337508 ,  255 ,  0 ,  96.04 ,  0.61 ,  25.20
17 ,  3 ,  337543 ,  255 ,  0 ,  96.04 ,  0.61 ,  25.20
17 ,  3 ,  337576 ,  255 ,  0 ,  95.93 ,  0.61 ,  25.20
17 ,  3 ,  337609 ,  255 ,  0 ,  96.04 ,  0.61 ,  25.30
17 ,  3 ,  337642 ,  255 ,  0 ,  96.04 ,  0.61 ,  25.20
17 ,  3 ,  337675 ,  255 ,  0 ,  96.04 ,  0.61 ,  25.30
17 ,  3 ,  337708 ,  255 ,  0 ,  96.04 ,  0.61 ,  25.30
17 ,  3 ,  337741 ,  255 ,  0 ,  96.04 ,  0.61 ,  25.30
17 ,  3 ,  337774 ,  255 ,  0 ,  96.04 ,  0.61 ,  25.30
17 ,  3 ,  337807 ,  255 ,  0 ,  96.04 ,  0.61 ,  25.30
17 ,  3 ,  337842 ,  255 ,  0 ,  96.04 ,  0.61 ,  25.30
17 ,  3 ,  337875 ,  255 ,  0 ,  96.04 ,  0.61 ,  25.30
17 ,  3 ,  337908 ,  255 ,  0 ,  96.04 ,  0.61 ,  25.30
17 ,  3 ,  337941 ,  255 ,  0 ,  96.04 ,  0.61 ,  25.30
17 ,  3 ,  337974 ,  255 ,  0 ,  96.04 ,  0.61 ,  25.30
17 ,  3 ,  338007 ,  255 ,  0 ,  96.04 ,  0.61 ,  25.30
17 ,  3 ,  338039 ,  255 ,  0 ,  96.04 ,  0.61 ,  25.30
17 ,  3 ,  338073 ,  255 ,  0 ,  96.04 ,  0.61 ,  25.30
17 ,  3 ,  338106 ,  255 ,  0 ,  96.04 ,  0.61 ,  25.40
17 ,  3 ,  338141 ,  255 ,  0 ,  96.04 ,  0.61 ,  25.40
17 ,  3 ,  338173 ,  255 ,  0 ,  96.04 ,  0.61 ,  25.40
17 ,  3 ,  338207 ,  255 ,  0 ,  96.04 ,  0.61 ,  25.40
17 ,  3 ,  338240 ,  255 ,  0 ,  96.04 ,  0.61 ,  25.40
17 ,  3 ,  338273 ,  255 ,  0 ,  96.04 ,  0.61 ,  25.40
17 ,  3 ,  338306 ,  255 ,  0 ,  96.04 ,  0.61 ,  25.40
