MS, MPT, t (s), PWMi, PWMe, Pressure (Psi), LW (V), Displacement (mm)
8 ,  2 ,  161733 ,  0 ,  255 ,  12.89 ,  0.03 ,  1.98
8 ,  2 ,  161759 ,  225 ,  0 ,  12.78 ,  0.04 ,  1.89
8 ,  2 ,  161783 ,  225 ,  0 ,  12.78 ,  0.04 ,  1.89
8 ,  2 ,  161808 ,  225 ,  0 ,  15.53 ,  0.04 ,  1.89
8 ,  2 ,  161833 ,  225 ,  0 ,  20.93 ,  0.05 ,  2.28
8 ,  2 ,  161858 ,  225 ,  0 ,  26.88 ,  0.06 ,  3.27
8 ,  2 ,  161883 ,  225 ,  0 ,  32.27 ,  0.08 ,  4.37
8 ,  2 ,  161908 ,  225 ,  0 ,  36.79 ,  0.10 ,  5.36
8 ,  2 ,  161936 ,  225 ,  0 ,  40.53 ,  0.11 ,  6.45
8 ,  2 ,  161960 ,  225 ,  0 ,  43.61 ,  0.14 ,  7.44
8 ,  2 ,  161985 ,  225 ,  0 ,  46.04 ,  0.15 ,  8.24
8 ,  2 ,  162010 ,  225 ,  0 ,  47.91 ,  0.16 ,  8.93
8 ,  2 ,  162034 ,  225 ,  0 ,  49.56 ,  0.18 ,  9.53
8 ,  2 ,  162059 ,  225 ,  0 ,  50.99 ,  0.19 ,  10.12
8 ,  2 ,  162084 ,  225 ,  0 ,  52.20 ,  0.20 ,  10.62
8 ,  2 ,  162109 ,  225 ,  0 ,  53.42 ,  0.22 ,  11.01
8 ,  2 ,  162134 ,  225 ,  0 ,  54.41 ,  0.22 ,  11.41
8 ,  2 ,  162158 ,  225 ,  0 ,  55.29 ,  0.23 ,  11.81
8 ,  2 ,  162186 ,  225 ,  0 ,  56.39 ,  0.24 ,  12.20
8 ,  2 ,  162210 ,  225 ,  0 ,  57.05 ,  0.25 ,  12.50
8 ,  2 ,  162235 ,  225 ,  0 ,  57.82 ,  0.26 ,  12.80
8 ,  2 ,  162259 ,  225 ,  0 ,  58.48 ,  0.27 ,  13.10
8 ,  2 ,  162285 ,  225 ,  0 ,  59.14 ,  0.28 ,  13.39
8 ,  2 ,  162310 ,  225 ,  0 ,  59.80 ,  0.28 ,  13.49
8 ,  2 ,  162334 ,  225 ,  0 ,  60.46 ,  0.29 ,  13.89
8 ,  2 ,  162359 ,  225 ,  0 ,  61.01 ,  0.30 ,  14.09
8 ,  2 ,  162383 ,  225 ,  0 ,  61.57 ,  0.30 ,  14.19
8 ,  2 ,  162411 ,  225 ,  0 ,  62.12 ,  0.31 ,  14.49
8 ,  2 ,  162436 ,  225 ,  0 ,  62.56 ,  0.32 ,  14.68
8 ,  2 ,  162460 ,  225 ,  0 ,  63.11 ,  0.32 ,  14.88
8 ,  2 ,  162486 ,  225 ,  0 ,  63.55 ,  0.33 ,  14.98
8 ,  2 ,  162510 ,  225 ,  0 ,  63.99 ,  0.34 ,  15.18
8 ,  2 ,  162535 ,  225 ,  0 ,  64.43 ,  0.34 ,  15.38
8 ,  2 ,  162560 ,  225 ,  0 ,  64.76 ,  0.35 ,  15.48
8 ,  2 ,  162584 ,  225 ,  0 ,  65.20 ,  0.35 ,  15.68
8 ,  2 ,  162610 ,  225 ,  0 ,  65.64 ,  0.36 ,  15.78
8 ,  2 ,  162636 ,  225 ,  0 ,  65.97 ,  0.36 ,  15.88
8 ,  2 ,  162661 ,  225 ,  0 ,  66.19 ,  0.37 ,  16.07
8 ,  2 ,  162686 ,  225 ,  0 ,  66.52 ,  0.37 ,  16.17
8 ,  2 ,  162711 ,  225 ,  0 ,  66.85 ,  0.37 ,  16.27
8 ,  2 ,  162736 ,  225 ,  0 ,  67.18 ,  0.37 ,  16.37
8 ,  2 ,  162760 ,  225 ,  0 ,  67.51 ,  0.38 ,  16.47
8 ,  2 ,  162785 ,  225 ,  0 ,  67.73 ,  0.38 ,  16.57
8 ,  2 ,  162810 ,  225 ,  0 ,  67.95 ,  0.39 ,  16.67
8 ,  2 ,  162835 ,  225 ,  0 ,  68.17 ,  0.39 ,  16.77
8 ,  2 ,  162862 ,  225 ,  0 ,  68.39 ,  0.39 ,  16.87
8 ,  2 ,  162887 ,  225 ,  0 ,  68.61 ,  0.40 ,  16.97
8 ,  2 ,  162912 ,  225 ,  0 ,  68.83 ,  0.40 ,  16.97
8 ,  2 ,  162936 ,  225 ,  0 ,  69.05 ,  0.40 ,  17.07
8 ,  2 ,  162961 ,  225 ,  0 ,  69.16 ,  0.40 ,  17.16
