MS, MPT, t (s), PWMi, PWMe, Pressure (Psi), LW (V), Displacement (mm)
2 ,  3 ,  60591 ,  74 ,  249 ,  38.55 ,  0.07 ,  8.93
2 ,  3 ,  60610 ,  74 ,  249 ,  37.78 ,  0.07 ,  8.73
2 ,  3 ,  60630 ,  74 ,  249 ,  37.12 ,  0.06 ,  8.43
2 ,  3 ,  60649 ,  74 ,  249 ,  36.24 ,  0.07 ,  8.24
2 ,  3 ,  60669 ,  74 ,  249 ,  35.47 ,  0.06 ,  7.94
2 ,  3 ,  60689 ,  74 ,  249 ,  34.80 ,  0.06 ,  7.74
2 ,  3 ,  60708 ,  45 ,  228 ,  34.14 ,  0.06 ,  7.54
2 ,  3 ,  60728 ,  45 ,  228 ,  33.70 ,  0.05 ,  7.34
2 ,  3 ,  60749 ,  45 ,  228 ,  33.48 ,  0.06 ,  7.24
2 ,  3 ,  60769 ,  45 ,  228 ,  33.26 ,  0.06 ,  7.14
2 ,  3 ,  60788 ,  45 ,  228 ,  33.15 ,  0.05 ,  7.04
2 ,  3 ,  60808 ,  45 ,  228 ,  33.04 ,  0.05 ,  7.04
2 ,  3 ,  60827 ,  210 ,  27 ,  32.93 ,  0.05 ,  6.95
2 ,  3 ,  60847 ,  210 ,  27 ,  32.93 ,  0.05 ,  6.95
2 ,  3 ,  60866 ,  210 ,  27 ,  33.04 ,  0.05 ,  6.85
2 ,  3 ,  60886 ,  210 ,  27 ,  33.04 ,  0.05 ,  6.85
2 ,  3 ,  60905 ,  210 ,  27 ,  34.58 ,  0.05 ,  6.85
2 ,  3 ,  60924 ,  210 ,  27 ,  36.46 ,  0.06 ,  7.04
2 ,  3 ,  60946 ,  61 ,  238 ,  38.55 ,  0.06 ,  7.44
2 ,  3 ,  60965 ,  61 ,  238 ,  38.77 ,  0.07 ,  7.54
2 ,  3 ,  60985 ,  61 ,  238 ,  38.66 ,  0.06 ,  7.64
2 ,  3 ,  61004 ,  61 ,  238 ,  38.55 ,  0.07 ,  7.64
2 ,  3 ,  61024 ,  61 ,  238 ,  38.44 ,  0.06 ,  7.64
2 ,  3 ,  61043 ,  61 ,  238 ,  38.33 ,  0.07 ,  7.64
2 ,  3 ,  61062 ,  39 ,  234 ,  38.33 ,  0.06 ,  7.64
2 ,  3 ,  61081 ,  39 ,  234 ,  38.22 ,  0.07 ,  7.64
2 ,  3 ,  61101 ,  39 ,  234 ,  38.22 ,  0.07 ,  7.64
2 ,  3 ,  61122 ,  39 ,  234 ,  38.11 ,  0.07 ,  7.64
2 ,  3 ,  61142 ,  39 ,  234 ,  38.00 ,  0.06 ,  7.64
2 ,  3 ,  61161 ,  65 ,  223 ,  38.00 ,  0.06 ,  7.64
2 ,  3 ,  61180 ,  65 ,  223 ,  38.00 ,  0.06 ,  7.64
2 ,  3 ,  61200 ,  65 ,  223 ,  37.89 ,  0.06 ,  7.64
2 ,  3 ,  61219 ,  65 ,  223 ,  37.89 ,  0.06 ,  7.64
2 ,  3 ,  61239 ,  65 ,  223 ,  37.78 ,  0.06 ,  7.64
2 ,  3 ,  61258 ,  65 ,  223 ,  37.78 ,  0.06 ,  7.64
2 ,  3 ,  61278 ,  244 ,  45 ,  37.67 ,  0.06 ,  7.64
2 ,  3 ,  61299 ,  244 ,  45 ,  37.67 ,  0.06 ,  7.64
2 ,  3 ,  61319 ,  244 ,  45 ,  37.56 ,  0.06 ,  7.64
2 ,  3 ,  61338 ,  244 ,  45 ,  40.53 ,  0.07 ,  7.74
2 ,  3 ,  61358 ,  244 ,  45 ,  44.28 ,  0.09 ,  8.63
2 ,  3 ,  61377 ,  244 ,  45 ,  48.13 ,  0.11 ,  9.62
2 ,  3 ,  61396 ,  236 ,  61 ,  51.76 ,  0.13 ,  10.62
2 ,  3 ,  61416 ,  236 ,  61 ,  54.96 ,  0.17 ,  11.71
2 ,  3 ,  61435 ,  236 ,  61 ,  57.60 ,  0.19 ,  12.50
2 ,  3 ,  61454 ,  236 ,  61 ,  59.80 ,  0.21 ,  13.30
2 ,  3 ,  61473 ,  236 ,  61 ,  61.68 ,  0.23 ,  13.89
2 ,  3 ,  61496 ,  21 ,  255 ,  63.55 ,  0.25 ,  14.59
2 ,  3 ,  61515 ,  21 ,  255 ,  63.11 ,  0.26 ,  14.78
2 ,  3 ,  61535 ,  21 ,  255 ,  62.01 ,  0.25 ,  14.78
2 ,  3 ,  61554 ,  21 ,  255 ,  60.13 ,  0.24 ,  14.49
2 ,  3 ,  61574 ,  21 ,  255 ,  57.49 ,  0.22 ,  14.19
2 ,  3 ,  61593 ,  21 ,  255 ,  55.18 ,  0.21 ,  13.59
2 ,  3 ,  61613 ,  3 ,  223 ,  52.87 ,  0.19 ,  13.00
2 ,  3 ,  61631 ,  3 ,  223 ,  51.10 ,  0.17 ,  12.50
2 ,  3 ,  61650 ,  3 ,  223 ,  49.89 ,  0.16 ,  12.01
2 ,  3 ,  61673 ,  3 ,  223 ,  48.68 ,  0.15 ,  11.71
2 ,  3 ,  61691 ,  3 ,  223 ,  47.80 ,  0.13 ,  11.41
2 ,  3 ,  61711 ,  238 ,  69 ,  46.92 ,  0.13 ,  11.11
2 ,  3 ,  61730 ,  238 ,  69 ,  46.92 ,  0.12 ,  11.01
2 ,  3 ,  61750 ,  238 ,  69 ,  47.03 ,  0.12 ,  11.01
2 ,  3 ,  61769 ,  238 ,  69 ,  47.36 ,  0.12 ,  11.01
2 ,  3 ,  61789 ,  238 ,  69 ,  49.56 ,  0.13 ,  11.11
2 ,  3 ,  61808 ,  238 ,  69 ,  52.09 ,  0.15 ,  11.61
2 ,  3 ,  61828 ,  233 ,  26 ,  54.63 ,  0.17 ,  12.20
2 ,  3 ,  61853 ,  233 ,  26 ,  57.60 ,  0.20 ,  13.10
2 ,  3 ,  61873 ,  233 ,  26 ,  59.47 ,  0.22 ,  13.59
2 ,  3 ,  61892 ,  233 ,  26 ,  61.13 ,  0.23 ,  13.99
2 ,  3 ,  61912 ,  233 ,  26 ,  62.56 ,  0.24 ,  14.49
2 ,  3 ,  61931 ,  242 ,  26 ,  63.77 ,  0.26 ,  14.88
2 ,  3 ,  61949 ,  242 ,  26 ,  65.09 ,  0.27 ,  15.28
2 ,  3 ,  61969 ,  242 ,  26 ,  66.30 ,  0.29 ,  15.68
2 ,  3 ,  61988 ,  242 ,  26 ,  67.51 ,  0.30 ,  16.07
2 ,  3 ,  62008 ,  242 ,  26 ,  68.72 ,  0.31 ,  16.37
2 ,  3 ,  62030 ,  242 ,  26 ,  69.94 ,  0.32 ,  16.77
2 ,  3 ,  62050 ,  225 ,  0 ,  70.82 ,  0.33 ,  16.97
2 ,  3 ,  62068 ,  225 ,  0 ,  71.48 ,  0.34 ,  17.26
2 ,  3 ,  62088 ,  225 ,  0 ,  71.70 ,  0.35 ,  17.26
2 ,  3 ,  62107 ,  225 ,  0 ,  71.92 ,  0.35 ,  17.46
2 ,  3 ,  62127 ,  225 ,  0 ,  72.14 ,  0.35 ,  17.56
2 ,  3 ,  62146 ,  225 ,  0 ,  72.36 ,  0.36 ,  17.56
2 ,  3 ,  62166 ,  40 ,  234 ,  72.47 ,  0.36 ,  17.66
2 ,  3 ,  62185 ,  40 ,  234 ,  72.36 ,  0.36 ,  17.76
2 ,  3 ,  62206 ,  40 ,  234 ,  71.59 ,  0.36 ,  17.76
2 ,  3 ,  62226 ,  40 ,  234 ,  69.49 ,  0.35 ,  17.56
2 ,  3 ,  62245 ,  40 ,  234 ,  67.51 ,  0.34 ,  17.36
2 ,  3 ,  62265 ,  64 ,  243 ,  65.53 ,  0.32 ,  16.87
