MS, MPT, t (s), PWMi, PWMe, Pressure (Psi), LW (V), Displacement (mm)
1 ,  4 ,  38578 ,  0 ,  255 ,  6.06 ,  0.02 ,  0.40
1 ,  4 ,  38597 ,  255 ,  0 ,  5.95 ,  0.02 ,  0.30
1 ,  4 ,  38617 ,  255 ,  0 ,  5.95 ,  0.02 ,  0.30
1 ,  4 ,  38636 ,  255 ,  0 ,  10.03 ,  0.02 ,  0.40
1 ,  4 ,  38656 ,  255 ,  0 ,  17.73 ,  0.03 ,  0.89
1 ,  4 ,  38675 ,  255 ,  0 ,  26.99 ,  0.04 ,  1.89
1 ,  4 ,  38694 ,  255 ,  0 ,  35.91 ,  0.06 ,  3.37
1 ,  4 ,  38713 ,  255 ,  0 ,  43.39 ,  0.09 ,  4.96
1 ,  4 ,  38732 ,  0 ,  255 ,  49.56 ,  0.13 ,  6.65
1 ,  4 ,  38755 ,  0 ,  255 ,  49.12 ,  0.14 ,  7.34
1 ,  4 ,  38773 ,  0 ,  255 ,  48.35 ,  0.14 ,  7.24
1 ,  4 ,  38793 ,  0 ,  255 ,  46.04 ,  0.13 ,  7.14
1 ,  4 ,  38812 ,  0 ,  255 ,  43.84 ,  0.12 ,  6.95
1 ,  4 ,  38832 ,  0 ,  255 ,  41.63 ,  0.11 ,  6.55
1 ,  4 ,  38850 ,  0 ,  255 ,  39.54 ,  0.10 ,  6.15
1 ,  4 ,  38870 ,  0 ,  255 ,  37.67 ,  0.08 ,  5.75
1 ,  4 ,  38889 ,  0 ,  255 ,  35.80 ,  0.07 ,  5.36
1 ,  4 ,  38907 ,  0 ,  255 ,  34.14 ,  0.07 ,  5.06
1 ,  4 ,  38929 ,  0 ,  255 ,  32.38 ,  0.06 ,  4.76
1 ,  4 ,  38948 ,  0 ,  255 ,  30.95 ,  0.05 ,  4.46
1 ,  4 ,  38968 ,  0 ,  255 ,  29.52 ,  0.05 ,  4.17
1 ,  4 ,  38987 ,  0 ,  255 ,  28.31 ,  0.04 ,  3.87
1 ,  4 ,  39006 ,  0 ,  255 ,  27.10 ,  0.04 ,  3.67
1 ,  4 ,  39025 ,  0 ,  255 ,  25.88 ,  0.04 ,  3.47
1 ,  4 ,  39045 ,  0 ,  255 ,  24.89 ,  0.03 ,  3.27
1 ,  4 ,  39064 ,  0 ,  255 ,  23.90 ,  0.03 ,  3.08
